Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,1.9166538513802353e7,2446.7418837409473,0.8942345051175002
NENGREST_conventional_hydroelectric_1,1,-8.1570798642546e-12,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,135800.85092985196,432.36619586785696,0.035854746257433456
NaturalGas_CTAvgCF_Moderate,1,240296.53933588212,1337.8273323131477,0.020504224374683896
NaturalGas_CCCCSAvgCF_Moderate,1,2.7909423245527144e6,2349.7610611058444,0.13558856143056672
NaturalGas_CCS100_Moderate,1,2.6647582223359898e7,5748.729331608078,0.5291537078110963
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.922567667562001e7,12018.540095653625,0.37257578178917883
UtilityPV_Class1_Moderate_100_0.2,1,9.802156058983045e6,7782.279358434568,0.14378404257990865
Liion_Moderate,1,1.9166235418286775e6,1497.276463804042,0.0
TEGS,1,581076.2046589225,6666.666666666667,0.0
