BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.929071726493645e7,2.888103084748109e6,-5.202163887237245e6,0.0,0.0,50332.95063109903,3030.5869215867256,0.0,0.0,-9.703002e7
t1,12287.754855319248,0.0,-3053.7548553192482,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,12150.65423945901,0.0,-3418.6542394590115,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,12374.128243311196,0.0,-4015.1282433111965,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,11286.920359539523,0.0,-3115.920359539522,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,9778.813585076923,0.0,-1636.8135850769231,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8594.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,8873.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9345.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,9809.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,10089.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,10191.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,10242.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,10149.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,10049.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,10108.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,10793.97981398879,299.0201860112111,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,10150.176825560588,1876.8231744394118,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,10440.830131184288,1515.1698688157105,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,10273.5673798348,1317.4326201651993,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,11092.05805652041,69.94194347959207,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,10565.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,9825.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,8995.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,9342.833626641372,0.0,-1049.833626641371,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,8797.17317551763,0.0,-929.1731755176309,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,9529.290464211292,0.0,-1865.2904642112928,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,9951.56036106082,0.0,-2334.5603610608205,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,9452.51411932956,0.0,-1667.5141193295603,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,8740.961923014933,0.0,-530.9619230149337,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,8848.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,9372.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,10013.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,10671.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,11811.112984937987,0.0,-658.1129849379879,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,13062.38858798458,0.0,-1712.3885879845802,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,13968.253411410282,0.0,-2636.253411410284,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,15417.409025408322,0.0,-4159.409025408323,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,13770.75791919264,0.0,-2547.7579191926407,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
t40,12932.41096292202,0.0,-1539.410962922022,0.0,0.0,0.0,0.0,0.0,0.0,-11393.0
t41,13395.132553719732,0.0,-932.1325537197336,0.0,0.0,0.0,0.0,0.0,0.0,-12463.0
t42,14110.398255629298,0.0,-566.3982556292964,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0
t43,13771.134246942718,0.0,-346.13424694271816,0.0,0.0,0.0,0.0,0.0,0.0,-13425.0
t44,13314.47992992626,0.0,-213.4799299262595,0.0,0.0,0.0,0.0,0.0,0.0,-13101.0
t45,12704.588676116644,0.0,-133.5886761166415,0.0,0.0,0.0,0.0,0.0,0.0,-12571.0
t46,11823.474053247031,0.0,-85.4740532470314,0.0,0.0,0.0,0.0,0.0,0.0,-11738.0
t47,10760.496952206639,0.0,-56.496952206638525,0.0,0.0,0.0,0.0,0.0,0.0,-10704.0
t48,9806.045451298474,0.0,-39.04545129847369,0.0,0.0,0.0,0.0,0.0,0.0,-9767.0
t49,9175.53525969845,0.0,-28.535259698450925,0.0,0.0,0.0,0.0,0.0,0.0,-9147.0
t50,8858.205481643803,0.0,-22.20548164380307,0.0,0.0,0.0,0.0,0.0,0.0,-8836.0
t51,8705.393363678131,0.0,-18.393363678131816,0.0,0.0,0.0,0.0,0.0,0.0,-8687.0
t52,8721.097510133388,0.0,-16.09751013338852,0.0,0.0,0.0,0.0,0.0,0.0,-8705.0
t53,9031.714829023735,0.0,-14.714829023734637,0.0,0.0,0.0,0.0,0.0,0.0,-9017.0
t54,9958.882107330586,0.0,-13.882107330586829,0.0,0.0,0.0,0.0,0.0,0.0,-9945.0
t55,11181.145608388235,401.85439161176674,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11583.0
t56,11638.21038447349,863.7896155265109,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12502.0
t57,11809.576472449862,847.4235275501255,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12657.0
t58,12227.724268702172,516.2757312978264,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12744.0
t59,12420.837422506233,438.1625774937687,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12859.0
t60,12879.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12879.0
t61,13468.159024458204,0.0,-641.1590244582017,0.0,0.0,0.0,0.0,0.0,0.0,-12827.0
t62,12961.764097133804,0.0,-153.76409713380508,0.0,0.0,0.0,0.0,0.0,0.0,-12808.0
t63,13302.59136689824,0.0,-542.5913668982396,0.0,0.0,0.0,0.0,0.0,0.0,-12760.0
t64,12938.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12938.0
t65,12729.627536151798,1217.372463848201,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13947.0
t66,12654.552719417265,2395.4472805827354,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15050.0
t67,13267.39247231252,1812.6075276874801,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15080.0
t68,13312.635675546398,1513.3643244536008,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14826.0
t69,12661.407750210275,1682.5922497897238,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14344.0
t70,12777.943273691477,720.0567263085254,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13498.0
t71,12368.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12368.0
t72,11594.596678691314,0.0,-216.59667869131485,0.0,0.0,0.0,0.0,0.0,0.0,-11378.0
t73,11786.537540895646,0.0,-1022.5375408956472,0.0,0.0,0.0,0.0,0.0,0.0,-10764.0
t74,11198.375898855233,0.0,-758.3758988552338,0.0,0.0,0.0,0.0,0.0,0.0,-10440.0
t75,10862.479389997652,0.0,-586.479389997657,0.0,0.0,0.0,0.0,0.0,0.0,-10276.0
t76,10809.722120171531,0.0,-514.7221201715297,0.0,0.0,0.0,0.0,0.0,0.0,-10295.0
t77,10574.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10574.0
t78,11172.606181956173,274.39381804382685,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11447.0
t79,11402.639371280728,1634.3606287192733,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13037.0
t80,11413.428223453973,2488.5717765460276,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13902.0
t81,11634.853292374082,2284.146707625916,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13919.0
t82,12705.55743905124,1176.4425609487625,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13882.0
t83,13461.886458637016,390.11354136298576,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13852.0
t84,13716.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13716.0
t85,13817.14948837294,0.0,-298.14948837293986,0.0,0.0,0.0,0.0,0.0,0.0,-13519.0
t86,14055.299724279672,0.0,-652.2997242796721,0.0,0.0,0.0,0.0,0.0,0.0,-13403.0
t87,14158.1260304356,0.0,-860.126030435601,0.0,0.0,0.0,0.0,0.0,0.0,-13298.0
t88,13436.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13436.0
t89,13370.459757313569,1004.5402426864302,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14375.0
t90,13409.792387474587,1729.2076125254246,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15139.0
t91,13335.75805491006,1686.2419450899379,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15022.0
t92,13157.527254291752,1514.4727457082472,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14672.0
t93,13021.797644590119,1088.2023554098787,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14110.0
t94,13182.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t95,12000.485442661913,0.0,-1.4854426619128178,0.0,0.0,0.0,0.0,0.0,0.0,-11999.0
t96,11288.107328580398,0.0,-385.10732858039745,0.0,0.0,0.0,0.0,0.0,0.0,-10903.0
t97,10748.076809560152,0.0,-544.0768095601524,0.0,0.0,0.0,0.0,0.0,0.0,-10204.0
t98,10375.076809560152,0.0,-544.0768095601524,0.0,0.0,0.0,0.0,0.0,0.0,-9831.0
