Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,1.982196859891006e7,2549.1603407493267,0.8876576994224695
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,188900.43922170586,600.0675427290422,0.03593591645039286
NaturalGas_CTAvgCF_Moderate,1,211013.04114417045,1298.2264229292377,0.018554734582896797
NaturalGas_CCCCSAvgCF_Moderate,1,2.653467352000247e6,2313.875214773126,0.13090906114105139
NaturalGas_CCS100_Moderate,1,2.632331870422578e7,5696.091135787165,0.5275451157515154
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.859888456363061e7,11842.27198918549,0.37207939195864637
UtilityPV_Class1_Moderate_100_0.2,1,9.692567164435068e6,7695.272848150365,0.14378404257990654
Liion_Moderate,1,2.460606831893538e6,2344.585738780219,0.0
TEGS,1,59436.617028483444,666.6666666666666,0.0
