Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.982196859891006e7,0.0,0.0,188900.43922170586,211013.04114417045,2.653467352000247e6,2.632331870422578e7,0.0,0.0,3.859888456363061e7,9.692567164435068e6,2.460606831893538e6,59436.617028483444,1.0001016331248967e8
t1,2549.160340749322,0.0,0.0,0.0,0.0,0.0,963.0033954136957,0.0,0.0,6757.200397029241,0.0,0.0,0.0,10269.364133192259
t2,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,963.0033954136957,0.0,0.0,6638.7776771373765,0.0,0.0,0.0,10150.9414133004
t3,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,963.0033954136957,0.0,0.0,6831.806710561109,0.0,0.0,0.0,10343.970446724132
t4,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,963.0033954136957,0.0,0.0,5892.7145418187,0.0,0.0,0.0,9404.878277981723
t5,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,1002.7750362423776,0.0,0.0,4590.064623008296,0.0,0.0,0.0,8142.0
t6,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,2625.874807691645,0.0,0.0,3110.9648515590284,0.0,0.0,0.0,8286.0
t7,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,3424.1448680439244,0.0,0.0,2620.694791206749,0.0,0.0,0.0,8594.0
t8,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,3850.2340592794653,0.0,0.0,2418.191940191677,55.413659779530775,0.0,0.0,8873.0
t9,2549.1603407493267,0.0,0.0,0.0,0.0,0.0,4565.7629681344215,0.0,0.0,1378.440459541191,852.6362315750604,0.0,0.0,9346.0
