BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.749011986356826e7,2.520043448922026e6,-3.0370322334265825e6,0.0,0.0,51420.10872718805,5468.812208470838,0.0,0.0,-9.703002e7
t1,10269.364133192259,0.0,-1035.3641331922581,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,10150.9414133004,0.0,-1418.9414133003988,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,10343.970446724132,0.0,-1984.9704467241306,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,9404.878277981723,0.0,-1233.878277981722,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8594.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,8873.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9346.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,9809.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,10089.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,10192.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,10242.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,10150.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,9966.081262036329,82.91873796367145,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,9698.221652519333,409.77834748066675,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,10061.424741248284,1031.5752587517163,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,9504.957702843349,2522.042297156652,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,9756.01386901408,2199.986130985919,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,9611.538150746015,1979.461849253984,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,10318.521788500391,843.4782114996095,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,10530.498457106814,34.50154289318426,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,9825.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,8995.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,9143.737967878365,0.0,-850.7379678783664,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,8672.415542708783,0.0,-804.415542708783,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,9304.792866931286,0.0,-1640.7928669312882,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,9669.534844198202,0.0,-2052.534844198202,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,9238.476143791846,0.0,-1453.4761437918467,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,8623.862227553123,0.0,-413.86222755312264,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,8269.778295076478,578.2217049235228,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,8470.621225928702,901.3787740712983,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,9034.93409887894,978.0659011210596,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,10217.317437814132,453.6825621858684,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,11430.331638508113,0.0,-277.3316385081102,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,12554.756260430366,0.0,-1204.7562604303662,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,13393.928648803088,0.0,-2061.9286488030875,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,13187.63331791011,0.0,-1929.633317910108,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,13103.81345382632,0.0,-1880.8134538263207,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
t40,11475.06090734952,0.0,-82.06090734951941,0.0,0.0,0.0,0.0,0.0,0.0,-11393.0
t41,12465.263575845098,0.0,-2.263575845097536,0.0,0.0,0.0,0.0,0.0,0.0,-12463.0
t42,13545.865249850605,0.0,-1.865249850602974,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0
t43,13426.625357445737,0.0,-1.625357445735664,0.0,0.0,0.0,0.0,0.0,0.0,-13425.0
t44,13102.480881898802,0.0,-1.4808818988002106,0.0,0.0,0.0,0.0,0.0,0.0,-13101.0
t45,12572.393871292217,0.0,-1.3938712922170298,0.0,0.0,0.0,0.0,0.0,0.0,-12571.0
t46,11739.34146902887,0.0,-1.3414690288681566,0.0,0.0,0.0,0.0,0.0,0.0,-11738.0
t47,10705.309909690162,0.0,-1.3099096901630283,0.0,0.0,0.0,0.0,0.0,0.0,-10704.0
t48,9768.290903032896,0.0,-1.2909030328961593,0.0,0.0,0.0,0.0,0.0,0.0,-9767.0
t49,9148.279456246135,0.0,-1.2794562461348657,0.0,0.0,0.0,0.0,0.0,0.0,-9147.0
t50,8837.272562402293,0.0,-1.2725624022935318,0.0,0.0,0.0,0.0,0.0,0.0,-8836.0
t51,8688.268410574894,0.0,-1.268410574893684,0.0,0.0,0.0,0.0,0.0,0.0,-8687.0
t52,8706.265910130853,0.0,-1.2659101308525287,0.0,0.0,0.0,0.0,0.0,0.0,-8705.0
t53,9018.26440423482,0.0,-1.2644042348205555,0.0,0.0,0.0,0.0,0.0,0.0,-9017.0
t54,9946.263497306765,0.0,-1.2634973067630806,0.0,0.0,0.0,0.0,0.0,0.0,-9945.0
t55,11471.819145497713,111.18085450228565,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11583.0
t56,11820.666121832744,681.3338781672537,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12502.0
t57,11979.494202750637,677.5057972493632,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12657.0
t58,12358.5510207779,385.44897922209856,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12744.0
