Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.9166538513802353e7,-8.1570798642546e-12,0.0,135800.85092985196,240296.53933588212,2.7909423245527144e6,2.6647582223359898e7,0.0,0.0,3.922567667562001e7,9.802156058983045e6,1.9166235418286775e6,581076.2046589225,1.0050669293307135e8
t1,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,1513.0999956183946,0.0,0.0,6857.778978579959,0.0,0.0,0.0,10817.6208579393
t2,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,1513.0999956183946,0.0,0.0,6737.593577623422,0.0,0.0,0.0,10697.435456982763
t3,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,1513.0999956183946,0.0,0.0,6933.495781182576,0.0,0.0,0.0,10893.337660541918
t4,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,1513.0999956183946,0.0,0.0,5980.425551597244,0.0,0.0,0.0,9940.267430956585
t5,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,1513.0999956183946,0.0,0.0,4658.386141075345,0.0,0.0,0.0,8618.228020434686
t6,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2681.987633130845,0.0,0.0,3157.270483128207,0.0,0.0,0.0,8286.0
t7,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3487.555193090905,0.0,0.0,2659.702923168147,0.0,0.0,0.0,8594.0
t8,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3916.0320350664947,0.0,0.0,2454.18588753247,56.040193660087326,0.0,0.0,8872.999999999998
t9,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4638.0234962104205,0.0,0.0,1398.958067134082,862.2765529145502,0.0,0.0,9346.000000000002
t10,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4245.992132889322,0.0,0.0,1177.8169293740552,1938.4490539956744,0.0,0.0,9809.0
t11,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3550.3019296481575,0.0,0.0,932.6387114227214,3159.317475188173,0.0,0.0,10088.999999999998
t12,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3674.4998704402205,0.0,0.0,985.5202878435973,3085.237957975234,0.0,0.0,10192.0
t13,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4320.406070530107,0.0,0.0,1283.5800822158071,2191.271963513138,0.0,0.0,10242.0
t14,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4792.198882979392,0.0,0.0,1618.8973508845431,1292.1618823951171,0.0,0.0,10150.0
t15,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114777,0.0,0.0,1538.373132243664,498.67289672977023,0.0,22.895535170842777,10049.0
t16,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114777,0.0,0.0,1640.53072305672,125.98732053369721,0.0,352.4235205538589,10108.0
t17,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114777,0.0,0.0,2130.8871589593878,4.66936761506074,241.70332631580268,726.6817112540286,11093.000000000004
t18,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114778,0.0,0.0,1570.8231905019288,0.0,1497.276463804042,969.8419098383038,12027.0
t19,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114778,0.0,0.0,1825.6162405297857,0.0,1497.276463804042,644.0488598104539,11956.000000000007
t20,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114778,0.0,0.0,1678.9900513628113,0.0,1497.276463804042,425.67504897742197,11591.0
t21,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5542.316552114773,0.0,0.0,2396.496895073333,0.0,776.444669070946,0.0,11162.0
t22,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5506.62935347352,0.0,0.0,2611.6287627855327,0.0,0.0,0.0,10565.0
t23,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4398.862026546518,0.0,0.0,2979.396089712534,0.0,0.0,0.0,9825.0
t24,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2595.3602787985747,0.0,0.0,3952.8978374604776,0.0,0.0,0.0,8995.0
t25,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4276.19656603356,0.0,0.0,0.0,9250.234797538844
t26,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,3797.8586702265457,0.0,0.0,0.0,8771.89690173183
t27,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4439.648711334449,0.0,0.0,0.0,9413.686942839733
t28,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4809.819746280581,0.0,0.0,0.0,9783.857977785865
t29,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4372.344886798789,0.0,0.0,0.0,9346.383118304073
t30,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,3748.5826558343656,0.0,0.0,0.0,8722.62088733965
t31,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,3389.228306974322,0.0,484.7334615203936,0.0,8848.0
t32,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,3558.689722323038,34.24981145647054,805.0222347152076,0.0,9372.0
t33,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,3926.4570492500393,238.47238638051047,874.0323328641671,0.0,10013.0
t34,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4073.0832384170135,1288.1150971287313,335.76343294897106,0.0,10671.0
t35,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,4652.376871027518,1937.5930032662466,0.0,0.0,11564.00810579905
t36,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,5244.890897743242,2484.3059104756335,0.0,0.0,12703.235039724159
t37,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,5383.1041088432585,3195.240476706707,0.0,0.0,13552.38281705525
t38,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,5832.597508420704,2538.704043191091,0.0,0.0,13345.339783117077
t39,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2527.2963477643366,0.0,0.0,6592.169242466013,1697.0427482970342,0.0,0.0,13263.25022226833
t40,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,2638.084204462937,0.0,0.0,6069.3627483050805,570.837973220534,0.0,0.0,11725.0268097295
t41,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3637.88074103251,0.0,0.0,6542.893228073834,40.46785266385975,0.0,0.0,12667.983705511151
t42,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4208.104367111651,0.0,0.0,7017.625561852152,0.0,0.0,0.0,13672.47181270475
t43,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4129.558457970494,0.0,0.0,6931.092073163445,0.0,0.0,0.0,13507.392414874887
t44,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3851.120168730088,0.0,0.0,6857.778978579959,0.0,0.0,0.0,13155.641031050993
t45,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3949.8024609205577,0.0,0.0,6212.383375443359,0.0,0.0,0.0,12608.927720104864
t46,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3776.1695286180984,0.0,0.0,5542.950692115452,0.0,0.0,0.0,11765.862104474498
t47,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3480.0551290035455,0.0,0.0,4799.003060194493,0.0,0.0,0.0,10725.800072938986
t48,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3255.7092514662686,0.0,0.0,4082.6980704935363,0.0,0.0,0.0,9785.149205700753
t49,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,3987.999980184932,0.0,0.0,2728.208601713373,0.0,0.0,0.0,9162.950465639253
t50,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4238.143462287262,0.0,0.0,2165.7409252367834,0.0,0.0,0.0,8850.626271264993
t51,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,4946.469727144557,0.0,0.0,1307.6171624071144,0.0,0.0,0.0,8700.828773292618
t52,2446.7418837409473,0.0,0.0,0.0,0.0,0.0,5489.199635020171,0.0,0.0,782.4069602270511,0.0,0.0,0.0,8718.34847898817
t53,2446.7418837409473,0.0,0.0,0.0,0.0,280.5333072917165,5748.729331608078,0.0,0.0,554.0546984096321,0.0,0.0,0.0,9030.059221050375
t54,2446.7418837409473,0.0,0.0,0.0,0.0,1351.3797284196307,5748.729331608078,0.0,0.0,411.034071271354,0.0,0.0,0.0,9957.885015040009
t55,2446.7418837409473,0.0,0.0,276.71436535542847,239.92722149074328,2349.7610611058444,5748.729331608078,0.0,0.0,435.07115146266125,0.0,86.05498523629664,0.0,11583.0
t56,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,483.1453118452757,29.55709700333449,636.8128352493766,0.0,12502.0
t57,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608061,0.0,0.0,508.3842460461483,165.03101607496345,631.0999819768913,0.0,12656.999999999998
t58,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608061,0.0,0.0,668.2308293183415,389.0906210836531,334.1937936960094,0.0,12744.0
t59,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,736.7365078635672,498.3304764379991,271.44825979642155,0.0,12859.0
t60,2446.7418837409473,0.0,0.0,432.36619586785696,170.9481453121546,2349.7610611058444,5748.729331608078,0.0,0.0,1106.907542809699,651.0265797298438,0.0,0.0,12906.480740174424
t61,2446.7418837409473,0.0,0.0,432.36619586785696,170.9481453121546,2349.7610611058444,5748.729331608078,0.0,0.0,1771.5328100993443,901.0478686782711,0.0,0.0,13821.127296412498
t62,2446.7418837409473,0.0,0.0,432.36619586785696,170.9481453121546,2349.7610611058444,5748.729331608078,0.0,0.0,1419.389585296693,638.9796112829871,0.0,0.0,13206.91581421456
t63,2446.7418837409473,0.0,0.0,432.36619586785696,170.9481453121546,2349.7610611058444,5748.729331608078,0.0,0.0,2076.8037285289465,394.45261156161456,0.0,0.0,13619.802957725444
t64,2446.7418837409473,0.0,0.0,432.36619586785696,170.9481453121546,2349.7610611058444,5748.729331608078,0.0,0.0,1632.1177449897623,192.2378647120507,0.0,0.0,12972.902227336695
t65,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,1454.2433515740886,14.015885124540658,0.0,1126.2560073993566,13947.0
t66,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,1401.3617751532126,0.0,256.2828073324931,2039.8706616122813,15050.0
t67,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,1938.5905174289296,0.0,1497.276463804042,291.64826286501795,15080.000000000002
t68,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.729331608078,0.0,0.0,1978.2516997445866,0.0,1495.2635443534061,0.0,14826.000000000005
t69,2446.7418837409473,0.0,0.0,432.36619586785696,374.8862835792864,2349.7610611058444,5748.72933160808,0.0,0.0,1407.3710452010394,0.0,1497.276463804042,86.86773509290242,14344.000000000002
t70,2446.7418837409473,0.0,0.0,432.36619586785696,246.99478415828506,2349.7610611058444,5748.72933160808,0.0,0.0,1509.5286360140951,0.0,763.8781075048909,0.0,13497.999999999998
t71,2446.7418837409473,0.0,0.0,432.36619586785696,7.067562667541779,2349.7610611058444,5748.729331608078,0.0,0.0,1383.333965009732,0.0,0.0,0.0,12368.0
t72,2446.7418837409473,0.0,0.0,432.36619586785696,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,1243.91889990015,0.0,0.0,0.0,12221.517372222877
t73,2446.7418837409473,0.0,0.0,202.34737966615708,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,1412.1784612393008,0.0,0.0,0.0,12159.758117360327
t74,2446.7418837409473,0.0,0.0,432.36619586785696,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,896.5830911357605,0.0,0.0,0.0,11874.181563458487
t75,2446.7418837409473,0.0,0.0,202.34737966615708,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,602.1288587922465,0.0,0.0,0.0,11349.708514913273
t76,2446.7418837409473,0.0,0.0,432.36619586785696,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,432.6674434435305,0.0,0.0,0.0,11410.265915766257
t77,2446.7418837409473,0.0,0.0,333.705515811007,0.0,2349.7610611058444,5748.729331608078,0.0,0.0,342.52839272612835,0.0,0.0,0.0,11221.466184992005
t78,2446.7418837409473,0.0,0.0,432.36619586785696,170.13987929549853,2349.7610611058444,5748.729331608078,0.0,0.0,299.2616483817753,0.0,0.0,0.0,11447.0
t79,2446.7418837409473,0.0,0.0,432.36619586785696,722.8708808158276,2349.7610611058444,5748.729331608078,0.0,0.0,262.004174085249,0.0,330.3948941246957,744.131578651501,13037.0
t80,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,235.56338587481105,38.911396792172845,1470.2758981802879,316.0086569544865,13902.0
t81,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,242.77450993220322,241.4919107715831,1460.917329197417,132.57558790055486,13919.0
t82,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,376.1803049939585,1114.2667585406614,515.1886159326788,35.12365833445861,13881.999999999998
t83,2446.7418837409473,0.0,0.0,432.36619586785696,674.3730544619482,2349.7610611058444,5748.729331608078,0.0,0.0,484.34716585484114,1715.6813073604849,0.0,0.0,13852.0
t84,2446.7418837409473,0.0,0.0,432.36619586785696,393.82083858323443,2349.7610611058444,5748.729331608078,0.0,0.0,515.5953701035405,2099.970262079984,0.0,0.0,13986.984943089486
t85,2446.7418837409473,0.0,0.0,432.36619586785696,393.82083858323443,2349.7610611058444,5748.729331608078,0.0,0.0,705.4883036148678,2204.8676055523233,0.0,0.0,14281.775220073152
t86,2446.7418837409473,0.0,0.0,432.36619586785696,393.82083858323443,2349.7610611058444,5748.729331608078,0.0,0.0,1033.5944482262116,2238.1057206921973,0.0,0.0,14643.11947982437
t87,2446.7418837409473,0.0,0.0,432.36619586785696,393.82083858323443,2349.7610611058444,5748.729331608078,0.0,0.0,1451.839643554958,1882.463336291096,0.0,0.0,14705.722290752015
t88,2446.7418837409473,0.0,0.0,432.36619586785696,393.82083858323443,2349.7610611058444,5748.729331608078,0.0,0.0,1520.3453221001837,568.1375222831572,0.0,0.0,13459.902155289303
t89,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,1962.6275976202369,26.45974981867753,544.6719903628436,0.0,14375.0
t90,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,2021.5184440889395,0.0,1276.2408937128203,0.0,15139.0
t91,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,1956.6183275724102,0.0,1224.1410102293485,0.0,15022.0
t92,2446.7418837409473,0.0,0.0,432.36619586785696,863.6421898755141,2349.7610611058444,5748.729331608078,0.0,0.0,1800.377306328913,0.0,1030.3820314728455,0.0,14672.0
t93,2446.7418837409473,0.0,0.0,432.36619586785696,656.9043837558454,2349.7610611058444,5748.729331608078,0.0,0.0,1681.3937593819421,0.0,794.1033845395142,0.0,14110.00000000003
t94,2446.7418837409473,0.0,0.0,276.71436535542847,104.17338223551639,2349.7610611058444,5748.729331608078,0.0,0.0,2255.8799759541853,0.0,0.0,0.0,13182.0
t95,2446.7418837409473,0.0,0.0,0.0,0.0,1486.7131085767069,5748.729331608078,0.0,0.0,2326.7893625185416,0.0,0.0,0.0,12008.973686444275
t96,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608078,0.0,0.0,2275.1096401072314,0.0,0.0,0.0,11261.941373478043
t97,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608078,0.0,0.0,2152.5205311315644,0.0,0.0,0.0,11139.352264502375
t98,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608078,0.0,0.0,1711.440109621076,0.0,0.0,0.0,10698.271842991888
t99,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608078,0.0,0.0,1808.7902843958705,0.0,0.0,0.0,10795.622017766682
t100,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608078,0.0,0.0,1794.368036281086,0.0,0.0,0.0,10781.199769651897
t101,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608076,0.0,0.0,1711.440109621076,0.0,0.0,0.0,10698.271842991886
t102,2446.7418837409473,0.0,0.0,0.0,0.0,791.3605180217866,5748.729331608076,0.0,0.0,2198.190983495048,0.0,0.0,0.0,11185.022716865857
t103,2446.7418837409473,0.0,0.0,0.0,0.0,1278.5018861465057,5748.729331608078,0.0,0.0,1491.5008258706148,0.0,1232.526072633854,0.0,12198.0
