BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.800899318658365e7,2.4976997464876003e6,-3.5362339104194543e6,0.0,0.0,52362.692027664554,7198.285320520604,0.0,0.0,-9.703002e7
t1,10817.6208579393,0.0,-1583.6208579393005,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,10697.435456982763,0.0,-1965.4354569827635,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,10893.337660541918,0.0,-2534.33766054192,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,9940.267430956585,0.0,-1769.267430956588,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8618.228020434686,0.0,-476.22802043468704,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8594.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,8872.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9346.000000000002,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,9809.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,10088.999999999998,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,10192.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,10242.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,10150.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,10026.104464829157,22.895535170842777,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,9755.576479446141,352.4235205538589,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,10124.614962430172,968.3850375698313,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,9559.881626357654,2467.1183736423454,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,9814.67467638551,2141.3253236144956,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,9668.048487218535,1922.9515127814639,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,10385.555330929054,776.444669070946,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,10565.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,9825.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,8995.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,9250.234797538844,0.0,-957.2347975388429,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,8771.89690173183,0.0,-903.8969017318295,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,9413.686942839733,0.0,-1749.686942839733,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,9783.857977785865,0.0,-2166.857977785865,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,9346.383118304073,0.0,-1561.3831183040713,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,8722.62088733965,0.0,-512.620887339649,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,8363.266538479606,484.7334615203936,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,8566.977765284793,805.0222347152076,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,9138.967667135834,874.0323328641671,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,10335.23656705103,335.76343294897106,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,11564.00810579905,0.0,-411.0081057990483,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,12703.235039724159,0.0,-1353.2350397241573,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,13552.38281705525,0.0,-2220.3828170552492,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,13345.339783117077,0.0,-2087.339783117082,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,13263.25022226833,0.0,-2040.2502222683306,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
t40,11725.0268097295,0.0,-332.02680972949867,0.0,0.0,0.0,0.0,0.0,0.0,-11393.0
t41,12667.983705511151,0.0,-204.98370551115173,0.0,0.0,0.0,0.0,0.0,0.0,-12463.0
t42,13672.47181270475,0.0,-128.47181270475144,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0
t43,13507.392414874887,0.0,-82.39241487488592,0.0,0.0,0.0,0.0,0.0,0.0,-13425.0
t44,13155.641031050993,0.0,-54.641031050993966,0.0,0.0,0.0,0.0,0.0,0.0,-13101.0
t45,12608.927720104864,0.0,-37.92772010486442,0.0,0.0,0.0,0.0,0.0,0.0,-12571.0
t46,11765.862104474498,0.0,-27.862104474497755,0.0,0.0,0.0,0.0,0.0,0.0,-11738.0
t47,10725.800072938986,0.0,-21.800072938985977,0.0,0.0,0.0,0.0,0.0,0.0,-10704.0
t48,9785.149205700753,0.0,-18.149205700752645,0.0,0.0,0.0,0.0,0.0,0.0,-9767.0
t49,9162.950465639253,0.0,-15.950465639252798,0.0,0.0,0.0,0.0,0.0,0.0,-9147.0
t50,8850.626271264993,0.0,-14.626271264992587,0.0,0.0,0.0,0.0,0.0,0.0,-8836.0
t51,8700.828773292618,0.0,-13.82877329261828,0.0,0.0,0.0,0.0,0.0,0.0,-8687.0
t52,8718.34847898817,0.0,-13.348478988169518,0.0,0.0,0.0,0.0,0.0,0.0,-8705.0
t53,9030.059221050375,0.0,-13.059221050373404,0.0,0.0,0.0,0.0,0.0,0.0,-9017.0
t54,9957.885015040009,0.0,-12.885015040009117,0.0,0.0,0.0,0.0,0.0,0.0,-9945.0
t55,11496.945014763704,86.05498523629664,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11583.0
t56,11865.187164750623,636.8128352493766,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12502.0
t57,12025.900018023107,631.0999819768913,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12657.0
t58,12409.80620630399,334.1937936960094,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12744.0
t59,12587.551740203578,271.44825979642155,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12859.0
t60,12906.480740174424,0.0,-27.480740174422863,0.0,0.0,0.0,0.0,0.0,0.0,-12879.0
t61,13821.127296412498,0.0,-994.1272964124973,0.0,0.0,0.0,0.0,0.0,0.0,-12827.0
t62,13206.91581421456,0.0,-398.9158142145905,0.0,0.0,0.0,0.0,0.0,0.0,-12808.0
t63,13619.802957725444,0.0,-859.8029577254457,0.0,0.0,0.0,0.0,0.0,0.0,-12760.0
t64,12972.902227336695,0.0,-34.90222733669543,0.0,0.0,0.0,0.0,0.0,0.0,-12938.0
t65,12820.743992600643,1126.2560073993566,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13947.0
t66,12753.846531055226,2296.1534689447744,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15050.0
t67,13291.075273330942,1788.92472666906,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15080.0
t68,13330.7364556466,1495.2635443534061,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14826.0
t69,12759.855801103056,1584.1441988969443,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14344.0
t70,12734.121892495108,763.8781075048909,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13498.0
t71,12368.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12368.0
t72,12221.517372222877,0.0,-843.5173722228749,0.0,0.0,0.0,0.0,0.0,0.0,-11378.0
t73,12159.758117360327,0.0,-1395.7581173603273,0.0,0.0,0.0,0.0,0.0,0.0,-10764.0
t74,11874.181563458487,0.0,-1434.1815634584875,0.0,0.0,0.0,0.0,0.0,0.0,-10440.0
t75,11349.708514913273,0.0,-1073.7085149132733,0.0,0.0,0.0,0.0,0.0,0.0,-10276.0
t76,11410.265915766257,0.0,-1115.2659157662567,0.0,0.0,0.0,0.0,0.0,0.0,-10295.0
t77,11221.466184992005,0.0,-647.4661849920046,0.0,0.0,0.0,0.0,0.0,0.0,-10574.0
t78,11447.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11447.0
t79,11962.473527223803,1074.5264727761967,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13037.0
t80,12115.715444865225,1786.2845551347743,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13902.0
t81,12325.507082902028,1593.492917097972,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13919.0
t82,13331.687725732862,550.3122742671374,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13882.0
t83,13852.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13852.0
t84,13986.984943089486,0.0,-270.9849430894849,0.0,0.0,0.0,0.0,0.0,0.0,-13716.0
t85,14281.775220073152,0.0,-762.7752200731513,0.0,0.0,0.0,0.0,0.0,0.0,-13519.0
t86,14643.11947982437,0.0,-1240.1194798243603,0.0,0.0,0.0,0.0,0.0,0.0,-13403.0
t87,14705.722290752015,0.0,-1407.7222907520152,0.0,0.0,0.0,0.0,0.0,0.0,-13298.0
t88,13459.902155289303,0.0,-23.902155289302755,0.0,0.0,0.0,0.0,0.0,0.0,-13436.0
t89,13830.328009637156,544.6719903628436,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14375.0
t90,13862.75910628718,1276.2408937128203,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15139.0
t91,13797.858989770652,1224.1410102293485,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15022.0
t92,13641.617968527155,1030.3820314728455,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14672.0
t93,13315.896615460515,794.1033845395142,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14110.0
t94,13182.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t95,12008.973686444275,0.0,-9.97368644427468,0.0,0.0,0.0,0.0,0.0,0.0,-11999.0
t96,11261.941373478043,0.0,-358.9413734780432,0.0,0.0,0.0,0.0,0.0,0.0,-10903.0
