Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,1.410441864593188e7,1806.9014433459588,0.8910798420474076
NENGREST_conventional_hydroelectric_1,1,2.401044787994461e-10,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,106916.71271464783,321.6443215282277,0.03794596507465069
NaturalGas_CTAvgCF_Moderate,1,236970.8879719274,1390.7252863744197,0.0194513406024237
NaturalGas_CCCCSAvgCF_Moderate,1,3.1526668392887902e6,2389.4631981285365,0.1506168728970299
NaturalGas_CCS100_Moderate,1,2.688307598851963e7,5828.711120588164,0.5265047842373131
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,4.454243414125464e7,13710.061586023636,0.3708774555057072
UtilityPV_Class1_Moderate_100_0.2,1,1.0264234049254872e7,8190.197532499555,0.1430632424943199
Liion_Moderate,1,822728.5577445625,542.5913668982396,0.0
TEGS,1,2.0653745270035458e6,6666.666666666667,0.0
