,Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Resource_Type,region,cluster,region.1
0,res_hydro_1,1,0,0,0,0,0,1,0,0,0,-1,41108.0,0.0,0,-1,-1,-1,0,0,0,0.0,0.0,0,586240.0,0,0,0,0,0.0,,1.0,0,0,0,0,0.14,0.14,4788.1,0.27,0,1.0,1.0,0,0,0,0,1,0.020833333,0.041666667,res_hydro,QC,1,QC
1,natural_gas_ccs_2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,-1,-1,-1,0,0,0,2628982.4839999997,0.0,0,1340000.0,0,0,6,0,7.22,NGCCS,500.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.053333333,0.106666667,natural_gas_ccs,NE,1,NE
2,solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0,-1,-1,-1,0,0,0,932376.13,0.0,0,260000.0,0,0,0,0,0.0,,100.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.083333333,0.166666667,solar_pv,NE,1,NE
3,onshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0,-1,-1,-1,0,0,0,1148579.2906,0.0,0,660000.0,0,0,0,0,0.0,,200.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.083333333,0.166666667,onshore_wind,NE,1,NE
4,battery_2,2,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0,-1,-1,-1,0,0,0,297816.9478,176594.97405999998,0,100000.0,240000,0,0,0,0.0,,60.0,0,0,0,0,1.0,1.0,1.0,0.0,0,0.92,0.92,1,1000,0,0,1,0.083333333,0.166666667,battery,NE,1,NE
5,fixed_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,1600.0,0.0,0,-1,-1,-1,0,0,0,3665816.852,0.0,0,1360000.0,0,0,0,0,0.0,,1000.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.083333333,0.166666667,fixed_offshore_wind,NE,1,NE
6,float_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,7748.0,0.0,0,-1,-1,-1,0,0,0,5930446.884,0.0,0,1180000.0,0,0,0,0,0.0,,1000.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.083333333,0.166666667,floating_offshore_wind,NE,1,NE
7,natural_gas_2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,-1,-1,-1,0,0,0,1291387.6776,0.0,0,560000.0,0,0,2,0,6.36,NG,500.0,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.053333333,0.106666667,natural_gas,NE,1,NE
8,nuclear_2,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,-1,-1,-1,0,0,0,7576575.218,0.0,0,2920000.0,0,0,3,0,10.44,nuclear,2156.0,0,0,36,36,0.25,0.25,1.0,0.5,0,1.0,1.0,0,0,0,0,1,0.020833333,0.041666667,nuclear,NE,1,NE
9,ror_hydro_2,2,0,0,1,0,0,0,0,0,0,0,1958.5,0.0,0,-1,-1,-1,0,0,0,0.0,0.0,0,586240.0,0,0,0,0,0.0,,1.0,0,0,0,0,1.0,1.0,1.0,0.05,0,1.0,1.0,0,0,0,0,1,0.020833333,0.041666667,ror_hydro,NE,1,NE
10,pumped_hydro_2,2,0,0,0,1,0,0,0,0,0,0,1830.2,21962.4,0,-1,-1,-1,0,0,0,0.0,0.0,0,145600.0,0,0,0,0,0.0,,1.0,0,0,0,0,1.0,1.0,1.0,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,pumped_hydro,NE,1,NE
11,fusion_2,2,1,1,0,0,0,0,0,0,0,1,0.0,0.0,0,-1,-1,-1,0,0,0,9427647.916,0.0,0,959725.65,0,0,2,0,8.53,,262.86,0,0,0,0,1.0,1.0,1.0,0.0,0,1.0,1.0,0,0,0,0,1,0.020833333,0.041666667,fusion,NE,1,NE
