Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000.0,1.0,1.0,1.0,1.0,168.0,1.0,1,23198.562,18015.14947679223
,,,,,,,2,23090.427,16554.503051736807
,,,,,,,3,22618.549,15966.64259854683
,,,,,,,4,22491.546,15426.855113576672
,,,,,,,5,22617.659,15194.3185974649
,,,,,,,6,22909.846,15811.668222460134
,,,,,,,7,23433.967,16617.985417260923
,,,,,,,8,24304.298,17644.1621938748
,,,,,,,9,24539.436,18255.563293730025
,,,,,,,10,25193.319,19702.197766645622
,,,,,,,11,25770.84,20801.00617388329
,,,,,,,12,25612.42,22426.4605134482
,,,,,,,13,25449.817,23842.726800352237
,,,,,,,14,25215.124,23353.20991342301
,,,,,,,15,24869.181,23088.288536563632
,,,,,,,16,24991.823,22813.619175670472
,,,,,,,17,25703.111,23585.14853477837
,,,,,,,18,26172.408,24074.437102376138
,,,,,,,19,25947.416,27793.879983771803
,,,,,,,20,25326.107,27630.559138531786
,,,,,,,21,25089.634,26470.876512400755
,,,,,,,22,24566.403,25191.377740491665
,,,,,,,23,23547.264,23569.91215834192
,,,,,,,24,23010.594,21110.471019863508
,,,,,,,25,22465.113,17827.248946288968
,,,,,,,26,22235.582,16848.09741694566
,,,,,,,27,22050.017,16279.958114770465
,,,,,,,28,22152.901,16205.276981706367
,,,,,,,29,22425.508,16181.125742293283
,,,,,,,30,22708.617,17131.680633550764
,,,,,,,31,23209.331,18367.045569551003
,,,,,,,32,23297.708,20672.513760287195
,,,,,,,33,23464.761,21611.56690940849
,,,,,,,34,24232.92,22657.80583086184
,,,,,,,35,24935.041,23367.187517001643
,,,,,,,36,25062.044,24686.81439148131
,,,,,,,37,24655.314,25489.473624277314
,,,,,,,38,24450.703,24630.60259259051
,,,,,,,39,24564.712,24311.068058066365
,,,,,,,40,25114.999,25446.750939641945
,,,,,,,41,27027.253,27602.256286079053
,,,,,,,42,28005.007,30601.92666020654
,,,,,,,43,28069.265,29791.373161392432
,,,,,,,44,27575.315,25727.30564511137
,,,,,,,45,27080.119,24448.565460809485
,,,,,,,46,26314.541,22918.378464356192
,,,,,,,47,25698.75,21029.36417238352
,,,,,,,48,24801.096,19164.875126044622
,,,,,,,49,24733.901,17899.518787014364
,,,,,,,50,24553.676,16867.68608165589
,,,,,,,51,24681.213,16355.259633673557
,,,,,,,52,24996.273,16324.429583516789
,,,,,,,53,25679.526,16479.190604249445
,,,,,,,54,26917.783,17838.17696496102
,,,,,,,55,28338.757,21759.932747304007
,,,,,,,56,29412.72,27390.57952195959
,,,,,,,57,30006.617,28774.631467340558
,,,,,,,58,30227.604,28503.4886475676
,,,,,,,59,29713.896,27809.142781489107
,,,,,,,60,30411.033,28481.192253828514
,,,,,,,61,29949.568,28924.20142048868
,,,,,,,62,29670.553,28117.619420128576
,,,,,,,63,30045.688,28085.73061019506
,,,,,,,64,31174.475,29348.988180540768
,,,,,,,65,33206.701,31934.67258535191
,,,,,,,66,33959.552,35409.0367392596
,,,,,,,67,33420.123,35916.91418828774
,,,,,,,68,33327.385,33008.77841687205
