Unnamed: 0.1,Unnamed: 0,Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
0,0,1,0.262,1,0.0,0.523222217736349,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
1,1,2,0.262,1,0.0,0.5124573562618705,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
2,2,3,0.262,1,0.0,0.470280373657993,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
3,3,4,0.262,1,0.0,0.4908407173918739,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
4,4,5,0.262,1,0.0,0.5178077448667706,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
5,5,6,0.262,1,0.0,0.5487117805267033,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
6,6,7,0.262,1,0.0,0.4820367083963774,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
7,7,8,0.262,1,0.0025462742956933,0.4115588612091786,1,0.81,1,1,0.552743642,1,1,0.81,0.0014913892303346468,0.0013549816787796487
8,8,9,0.262,1,0.0647535952439723,0.4765677284281672,1,0.8067642410311813,1,1,0.552743642,1,1,0.8067642410311813,0.0379271057857552,0.03445816318339954
9,9,10,0.262,1,0.2400977458914488,0.5960059164759929,1,0.81,1,1,0.552743642,1,1,0.81,0.14062867973642,0.12776630049223522
10,10,11,0.262,1,0.6170431661098228,0.5677105396530462,1,0.8040549040409084,1,1,0.552743642,1,1,0.8040549040409084,0.36141099729289616,0.32835511339415563
11,11,12,0.262,1,0.3138199456678678,0.6357604239117554,1,0.797551466985575,1,1,0.552743642,1,1,0.797551466985575,0.18380882531975112,0.16699704251611533
12,12,13,0.262,1,0.3317517801787605,0.6611595901526583,1,0.8016879570750903,1,1,0.552743642,1,1,0.8016879570750903,0.1943117569618454,0.17653934016655465
13,13,14,0.262,1,0.2849936558564441,0.6110747493083982,1,0.7979857706561817,1,1,0.552743642,1,1,0.7979857706561817,0.16692485557306008,0.15165733829503628
14,14,15,0.262,1,0.5469073304547023,0.571991561510795,1,0.7674386278195842,1,1,0.552743642,1,1,0.7674386278195842,0.3203314364091827,0.29103282942053793
15,15,16,0.262,1,0.2540673425784557,0.4911711262659961,1,0.7914885032637106,1,1,0.552743642,1,1,0.7914885032637106,0.14881087208166688,0.13520012158639247
16,16,17,0.262,1,0.0,0.4001661845070388,1,0.764874354288736,1,1,0.552743642,1,1,0.764874354288736,0.0,0.0
17,17,18,0.262,1,0.0,0.2957015680464754,1,0.7252172965036016,1,1,0.552743642,1,1,0.7252172965036016,0.0,0.0
18,18,19,0.262,1,0.0,0.2799284813958217,1,0.6183531199181939,1,1,0.552743642,1,1,0.6183531199181939,0.0,0.0
