Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,comm_solar_pv_2,res_solar_pv_2
1,0.262,1,0.0,0.7187199546070946,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
2,0.262,1,0.0,0.6389454645038383,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
3,0.262,1,0.0,0.5601097882598824,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
4,0.262,1,0.0,0.4859999657883188,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
5,0.262,1,0.0,0.602370619527793,1,0.8057343217930695,1,1,0.552743642,1,1,0.8057343217930695,0.0,0.0
6,0.262,1,0.0,0.4155397188940904,1,0.8023940434299164,1,1,0.552743642,1,1,0.8023940434299164,0.0,0.0
7,0.262,1,0.0,0.4076323964919028,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
8,0.262,1,0.0413142817898284,0.4130690178284742,1,0.81,1,1,0.552743642,1,1,0.81,0.024198365048328,0.0219850999524443
9,0.262,1,0.2850960411647583,0.3181757409979547,1,0.81,1,1,0.552743642,1,1,0.81,0.1669848241107869,0.151711821905532
10,0.262,1,0.500462059101309,0.330833894706225,1,0.81,1,1,0.552743642,1,1,0.81,0.2931277774736238,0.2663173100217679
11,0.262,1,0.7164784831865811,0.4114318588191951,1,0.7831589348221811,1,1,0.552743642,1,1,0.7831589348221811,0.4196516830092832,0.3812689071242877
12,0.262,1,0.8256,0.5215913255380779,1,0.8078395119928915,1,1,0.552743642,1,1,0.8078395119928915,0.4835657142857142,0.4393371428571427
13,0.262,1,0.8256,0.5297611954698304,1,0.7700364686473724,1,1,0.552743642,1,1,0.7700364686473724,0.4835657142857142,0.4393371428571427
14,0.262,1,0.4333939885502385,0.468629927402456,1,0.7376944001973221,1,1,0.552743642,1,1,0.7376944001973221,0.2538450504365682,0.2306275153356625
15,0.262,1,0.5593888373484182,0.4940645440065568,1,0.6939456020604196,1,1,0.552743642,1,1,0.6939456020604196,0.3276420333040734,0.2976747741604081
16,0.262,1,0.2708823260719014,0.3935356023767128,1,0.5030071179330339,1,1,0.552743642,1,1,0.5030071179330339,0.1586596481278279,0.1441480949454046
17,0.262,1,0.0,0.3985683584873741,1,0.4803781667911655,1,1,0.552743642,1,1,0.4803781667911655,0.0,0.0
18,0.262,1,0.0,0.268714923304249,1,0.4243634025642545,1,1,0.552743642,1,1,0.4243634025642545,0.0,0.0
19,0.262,1,0.0,0.2822116308477509,1,0.5204452791470067,1,1,0.552743642,1,1,0.5204452791470067,0.0,0.0
20,0.262,1,0.0,0.3421992146044179,1,0.5627717054597692,1,1,0.552743642,1,1,0.5627717054597692,0.0,0.0
21,0.262,1,0.0,0.238400361155392,1,0.5260514902647171,1,1,0.552743642,1,1,0.5260514902647171,0.0,0.0
22,0.262,1,0.0,0.3008139388741101,1,0.5043232312723471,1,1,0.552743642,1,1,0.5043232312723471,0.0,0.0
23,0.262,1,0.0,0.3771141443250453,1,0.5271752491795205,1,1,0.552743642,1,1,0.5271752491795205,0.0,0.0
24,0.262,1,0.0,0.3685694103360454,1,0.6344555291175821,1,1,0.552743642,1,1,0.6344555291175821,0.0,0.0
25,0.262,1,0.0,0.4049418578861397,1,0.6654059270091693,1,1,0.552743642,1,1,0.6654059270091693,0.0,0.0
26,0.262,1,0.0,0.4509596942340486,1,0.6388668036908745,1,1,0.552743642,1,1,0.6388668036908745,0.0,0.0
27,0.262,1,0.0,0.4790918851285927,1,0.6990854224105649,1,1,0.552743642,1,1,0.6990854224105649,0.0,0.0
28,0.262,1,0.0,0.4124735216823727,1,0.7711678544419259,1,1,0.552743642,1,1,0.7711678544419259,0.0,0.0
29,0.262,1,0.0,0.4273699186238692,1,0.76892827722829,1,1,0.552743642,1,1,0.76892827722829,0.0,0.0
30,0.262,1,0.0,0.4382776124484816,1,0.7808432394395073,1,1,0.552743642,1,1,0.7808432394395073,0.0,0.0
31,0.262,1,0.0,0.490334689996146,1,0.7195831923482467,1,1,0.552743642,1,1,0.7195831923482467,0.0,0.0
