,Unnamed: 0,Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2
0,0,1,0.262,1,0.0,0.3978830770468498,1,0.6962584642080984,1,1,0.552743642,1,1,0.6962584642080984
1,1,2,0.262,1,0.0,0.3413702345798619,1,0.6744725484086322,1,1,0.552743642,1,1,0.6744725484086322
2,2,3,0.262,1,0.0,0.3225821898677293,1,0.6221804191890878,1,1,0.552743642,1,1,0.6221804191890878
3,3,4,0.262,1,0.0,0.284748293174007,1,0.6156667452006981,1,1,0.552743642,1,1,0.6156667452006981
4,4,5,0.262,1,0.0,0.2095812325112098,1,0.6497926138710912,1,1,0.552743642,1,1,0.6497926138710912
5,5,6,0.262,1,0.0,0.1820665936567472,1,0.67845896488824,1,1,0.552743642,1,1,0.67845896488824
6,6,7,0.262,1,0.0,0.2210386392899964,1,0.657206971787897,1,1,0.552743642,1,1,0.657206971787897
7,7,8,0.262,1,0.0079795916256198,0.2477027274823401,1,0.6750324427120411,1,1,0.552743642,1,1,0.6750324427120411
8,8,9,0.262,1,0.1830299333076625,0.2809024106509943,1,0.4740070055270399,1,1,0.552743642,1,1,0.4740070055270399
9,9,10,0.262,1,0.342031151202595,0.3318488364080845,1,0.5927814446646692,1,1,0.552743642,1,1,0.5927814446646692
10,10,11,0.262,1,0.5217477349304972,0.2229196321209526,1,0.6047592839206934,1,1,0.552743642,1,1,0.6047592839206934
11,11,12,0.262,1,0.7178968814402245,0.2791645723907422,1,0.7582344441249476,1,1,0.552743642,1,1,0.7582344441249476
12,12,13,0.262,1,0.1218366058094875,0.3499327534759996,1,0.7864377730046848,1,1,0.552743642,1,1,0.7864377730046848
13,13,14,0.262,1,0.1015390590598482,0.430712821375749,1,0.75408621794322,1,1,0.552743642,1,1,0.75408621794322
14,14,15,0.262,1,0.5488116853761762,0.3933315502016225,1,0.5412932892416924,1,1,0.552743642,1,1,0.5412932892416924
15,15,16,0.262,1,0.2417468551225797,0.3408453747639645,1,0.4482254175114988,1,1,0.552743642,1,1,0.4482254175114988
16,16,17,0.262,1,0.0,0.3302719542225413,1,0.3734057864711932,1,1,0.552743642,1,1,0.3734057864711932
17,17,18,0.262,1,0.0,0.3279878457415007,1,0.5254451639757896,1,1,0.552743642,1,1,0.5254451639757896
18,18,19,0.262,1,0.0,0.339696713808912,1,0.6298511425727502,1,1,0.552743642,1,1,0.6298511425727502
19,19,20,0.262,1,0.0,0.3275922808810452,1,0.7203884980040816,1,1,0.552743642,1,1,0.7203884980040816
20,20,21,0.262,1,0.0,0.3364578196746234,1,0.7314750887504275,1,1,0.552743642,1,1,0.7314750887504275
21,21,22,0.262,1,0.0,0.4509525577366513,1,0.81,1,1,0.552743642,1,1,0.81
22,22,23,0.262,1,0.0,0.3940100695802968,1,0.8028858066275844,1,1,0.552743642,1,1,0.8028858066275844
23,23,24,0.262,1,0.0,0.4870166863891402,1,0.8070333190303276,1,1,0.552743642,1,1,0.8070333190303276
24,24,25,0.262,1,0.0,0.4371587589594398,1,0.8046858455020673,1,1,0.552743642,1,1,0.8046858455020673
25,25,26,0.262,1,0.0,0.4441135230665143,1,0.81,1,1,0.552743642,1,1,0.81
26,26,27,0.262,1,0.0,0.4659031314212474,1,0.81,1,1,0.552743642,1,1,0.81
27,27,28,0.262,1,0.0,0.443954334916524,1,0.81,1,1,0.552743642,1,1,0.81
28,28,29,0.262,1,0.0,0.4410765316158024,1,0.81,1,1,0.552743642,1,1,0.81
29,29,30,0.262,1,0.0,0.4118760234305012,1,0.81,1,1,0.552743642,1,1,0.81
30,30,31,0.262,1,0.0,0.4499780818307326,1,0.81,1,1,0.552743642,1,1,0.81
31,31,32,0.262,1,0.0459043753233088,0.465010556933104,1,0.796074389170906,1,1,0.552743642,1,1,0.796074389170906
32,32,33,0.262,1,0.3147992504078954,0.4745236698907253,1,0.647600386869319,1,1,0.552743642,1,1,0.647600386869319
33,33,34,0.262,1,0.543728849205415,0.3775723650603451,1,0.4820360948385331,1,1,0.552743642,1,1,0.4820360948385331
34,34,35,0.262,1,0.5484452249180266,0.3003616866185498,1,0.4268813251946133,1,1,0.552743642,1,1,0.4268813251946133
35,35,36,0.262,1,0.7217943397247922,0.3022903039719982,1,0.3496981164893907,1,1,0.552743642,1,1,0.3496981164893907
36,36,37,0.262,1,0.7670792142447538,0.3599217971371866,1,0.4625787393260384,1,1,0.552743642,1,1,0.4625787393260384
37,37,38,0.262,1,0.7219420136581168,0.4097424886921168,1,0.4047564730448444,1,1,0.552743642,1,1,0.4047564730448444
38,38,39,0.262,1,0.5772237994045619,0.3834942860015345,1,0.3190708009925167,1,1,0.552743642,1,1,0.3190708009925167
39,39,40,0.262,1,0.280464642808468,0.3298467193606182,1,0.3955538352407576,1,1,0.552743642,1,1,0.3955538352407576
40,40,41,0.262,1,0.0,0.3391362243443842,1,0.4812445778902857,1,1,0.552743642,1,1,0.4812445778902857
41,41,42,0.262,1,0.0,0.3010175497995743,1,0.5121987774731416,1,1,0.552743642,1,1,0.5121987774731416
42,42,43,0.262,1,0.0,0.2574170505905784,1,0.527654143510121,1,1,0.552743642,1,1,0.527654143510121
43,43,44,0.262,1,0.0,0.2753923607767899,1,0.5932881922829049,1,1,0.552743642,1,1,0.5932881922829049
44,44,45,0.262,1,0.0,0.3287282005495819,1,0.7003172281731043,1,1,0.552743642,1,1,0.7003172281731043
45,45,46,0.262,1,0.0,0.4193939230949492,1,0.7498599321979309,1,1,0.552743642,1,1,0.7498599321979309
46,46,47,0.262,1,0.0,0.5168507913302507,1,0.7050695136544418,1,1,0.552743642,1,1,0.7050695136544418
47,47,48,0.262,1,0.0,0.3906814095338363,1,0.686511068872107,1,1,0.552743642,1,1,0.686511068872107
48,48,49,0.262,1,0.0,0.3437658175546578,1,0.8087127368870685,1,1,0.552743642,1,1,0.8087127368870685
49,49,50,0.262,1,0.0,0.2509480740150114,1,0.8097741122578113,1,1,0.552743642,1,1,0.8097741122578113
50,50,51,0.262,1,0.0,0.230311837222664,1,0.81,1,1,0.552743642,1,1,0.81
51,51,52,0.262,1,0.0,0.2696235850825638,1,0.81,1,1,0.552743642,1,1,0.81
