Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000.0,1.0,1.0,1.0,1.0,168.0,1.0,1,23198.562,16587.20971901944
,,,,,,,2,23090.427,15097.065783201191
,,,,,,,3,22618.549,14520.292322252424
,,,,,,,4,22491.546,13969.158106227109
,,,,,,,5,22617.659,13682.72079336649
,,,,,,,6,22909.846,14262.629604919846
,,,,,,,7,23433.967,14918.005081436584
,,,,,,,8,24304.298,15983.252896446937
,,,,,,,9,24539.436,16405.218833719624
,,,,,,,10,25193.319,17830.629598066043
,,,,,,,11,25770.84,18981.993704893463
,,,,,,,12,25612.42,20592.282229521385
,,,,,,,13,25449.817,22045.164080721668
,,,,,,,14,25215.124,21868.090128413016
,,,,,,,15,24869.181,21886.97614866897
,,,,,,,16,24991.823,21926.7412636226
,,,,,,,17,25703.111,22703.802655596563
,,,,,,,18,26172.408,23148.01009508384
,,,,,,,19,25947.416,26808.4902158799
,,,,,,,20,25326.107,26417.64403396308
,,,,,,,21,25089.634,24975.93508375883
,,,,,,,22,24566.403,23653.69950321845
,,,,,,,23,23547.264,22037.603879023423
,,,,,,,24,23010.594,19396.12683899324
,,,,,,,25,22465.113,16037.503242646237
,,,,,,,26,22235.582,14810.75380756512
,,,,,,,27,22050.017,14210.33445710704
,,,,,,,28,22152.901,14094.937885957272
,,,,,,,29,22425.508,14023.013938065573
,,,,,,,30,22708.617,15038.061219677971
,,,,,,,31,23209.331,16289.936058579164
,,,,,,,32,23297.708,18668.05509544241
,,,,,,,33,23464.761,19662.426081218804
,,,,,,,34,24232.92,20683.245933744773
,,,,,,,35,24935.041,21444.642386429427
,,,,,,,36,25062.044,22803.114555443724
,,,,,,,37,24655.314,23734.286604092096
,,,,,,,38,24450.703,23253.04854586831
,,,,,,,39,24564.712,23063.19700925648
,,,,,,,40,25114.999,24809.77579009263
,,,,,,,41,27027.253,26990.106832757974
,,,,,,,42,28005.007,30016.494788720946
,,,,,,,43,28069.265,29375.240536068333
,,,,,,,44,27575.315,25104.926827473217
,,,,,,,45,27080.119,23727.568680556757
,,,,,,,46,26314.541,22129.68564020104
,,,,,,,47,25698.75,20232.968348636685
,,,,,,,48,24801.096,18435.00346056401
,,,,,,,49,24733.901,17143.235443041987
,,,,,,,50,24553.676,16063.909816546507
,,,,,,,51,24681.213,15553.311873420036
,,,,,,,52,24996.273,15450.738378528407
,,,,,,,53,25679.526,15589.08915513348
,,,,,,,54,26917.783,16898.557761786462
,,,,,,,55,28338.757,20767.067138846887
,,,,,,,56,29412.72,26407.934765751703
,,,,,,,57,30006.617,27638.834443220887
,,,,,,,58,30227.604,27410.219690460865
,,,,,,,59,29713.896,26709.812085338766
,,,,,,,60,30411.033,27358.796653252604
,,,,,,,61,29949.568,27787.117183464685
,,,,,,,62,29670.553,27165.17906720991
,,,,,,,63,30045.688,27091.16162541434
,,,,,,,64,31174.475,28541.35536205708
,,,,,,,65,33206.701,31256.055443171404
,,,,,,,66,33959.552,34662.71277200017
,,,,,,,67,33420.123,35176.69905328715
,,,,,,,68,33327.385,32227.806633556283
,,,,,,,69,32668.073,31083.23583991304
,,,,,,,70,32129.445,24547.939852329266
,,,,,,,71,31511.429,21741.711221266465
,,,,,,,72,29114.57,20020.4795065316
,,,,,,,73,29226.71,18521.092327902246
,,,,,,,74,29469.235,17553.98289215707
,,,,,,,75,29809.571,17271.58082197165
,,,,,,,76,29449.477,17284.608285060152
,,,,,,,77,29951.882,17680.20184185846
,,,,,,,78,30980.722,19082.391635336106
,,,,,,,79,32531.903,23689.027555322955
,,,,,,,80,33593.05,30118.825475328653
,,,,,,,81,33803.357,31628.882094726647
,,,,,,,82,33463.555,31098.022504827997
,,,,,,,83,32927.597,29985.650096959187
,,,,,,,84,32994.258,30586.219295360726
,,,,,,,85,32917.451,31329.279061543657
,,,,,,,86,33048.459,30673.62388635758
,,,,,,,87,33020.424,30814.542872115275
,,,,,,,88,32965.333,32650.870651911584
,,,,,,,89,33250.044,35798.41076453119
,,,,,,,90,34016.245,39242.72637504822
,,,,,,,91,33521.494,39357.93991078279
,,,,,,,92,32839.665,36036.11775260509
,,,,,,,93,31718.71,34534.021582290894
,,,,,,,94,31166.109,27365.586309751736
,,,,,,,95,29721.105,24515.54638340867
,,,,,,,96,28145.36,22921.583656347524
,,,,,,,97,27486.493,21068.741800838863
,,,,,,,98,27015.95,20330.95715022893
