Unnamed: 0.1,Unnamed: 0,Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,commercial_pv_2,residential_pv_2
0,0,1,0.262,1,0.0,0.5114632010739664,1,0.7971599796261354,1,1,0.552743642,1,1,0.7971599796261354,0.0,0.0
1,1,2,0.262,1,0.0,0.5033086832670204,1,0.789524603691178,1,1,0.552743642,1,1,0.789524603691178,0.0,0.0
2,2,3,0.262,1,0.0,0.5441755627091384,1,0.7979014009252056,1,1,0.552743642,1,1,0.7979014009252056,0.0,0.0
3,3,4,0.262,1,0.0,0.5005078361645098,1,0.8030727919980232,1,1,0.552743642,1,1,0.8030727919980232,0.0,0.0
4,4,5,0.262,1,0.0,0.5019612292467983,1,0.7957055778909414,1,1,0.552743642,1,1,0.7957055778909414,0.0,0.0
5,5,6,0.262,1,0.0,0.512475461742147,1,0.7839375458342573,1,1,0.552743642,1,1,0.7839375458342573,0.0,0.0
6,6,7,0.262,1,0.0,0.5272242012484054,1,0.7774091935487677,1,1,0.552743642,1,1,0.7774091935487677,0.0,0.0
7,7,8,0.262,1,0.0809825762707549,0.4816630039991197,1,0.6795590587678746,1,1,0.552743642,1,1,0.6795590587678746,0.047432651815727866,0.04309429951550885
8,8,9,0.262,1,0.3180661723927828,0.5087736992698683,1,0.779070282855759,1,1,0.552743642,1,1,0.779070282855759,0.1862959009729156,0.16925664173758795
9,9,10,0.262,1,0.6021309290789949,0.587476165009235,1,0.7819781256614408,1,1,0.552743642,1,1,0.7819781256614408,0.3526766870319827,0.32041967297417934
10,10,11,0.262,1,0.786356393479422,0.5717563664469351,1,0.8047730977107883,1,1,0.552743642,1,1,0.8047730977107883,0.4605801733236614,0.41845393795869235
11,11,12,0.262,1,0.8256,0.6172493262412304,1,0.7888317281632617,1,1,0.552743642,1,1,0.7888317281632617,0.4835657142857142,0.43933714285714276
12,12,13,0.262,1,0.8256,0.567784844890858,1,0.7968051084630852,1,1,0.552743642,1,1,0.7968051084630852,0.4835657142857142,0.43933714285714276
13,13,14,0.262,1,0.817996477120559,0.5117477130665143,1,0.7960906646645007,1,1,0.552743642,1,1,0.7960906646645007,0.4791122223134702,0.43529098246772596
14,14,15,0.262,1,0.5812417603695047,0.5337371838304773,1,0.7890615803689511,1,1,0.552743642,1,1,0.7890615803689511,0.3404416025021384,0.30930365105377206
15,15,16,0.262,1,0.2424811998849768,0.5688405142567423,1,0.7782783445601089,1,1,0.552743642,1,1,0.7782783445601089,0.1420247027897721,0.12903463851021976
16,16,17,0.262,1,0.0,0.4765327574196119,1,0.7722786002097148,1,1,0.552743642,1,1,0.7722786002097148,0.0,0.0
17,17,18,0.262,1,0.0,0.4647144302428289,1,0.7952346580779378,1,1,0.552743642,1,1,0.7952346580779378,0.0,0.0
18,18,19,0.262,1,0.0,0.4348790585331747,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
19,19,20,0.262,1,0.0,0.4085567592297718,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
20,20,21,0.262,1,0.0,0.3601482263092126,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
21,21,22,0.262,1,0.0,0.3603877140028074,1,0.8042404750588963,1,1,0.552743642,1,1,0.8042404750588963,0.0,0.0
22,22,23,0.262,1,0.0,0.3869803784342659,1,0.8014754668908761,1,1,0.552743642,1,1,0.8014754668908761,0.0,0.0
23,23,24,0.262,1,0.0,0.1813705913168932,1,0.8005142427887124,1,1,0.552743642,1,1,0.8005142427887124,0.0,0.0
24,24,25,0.262,1,0.0,0.2246714318606905,1,0.7947197207395942,1,1,0.552743642,1,1,0.7947197207395942,0.0,0.0
25,25,26,0.262,1,0.0,0.2762341965524112,1,0.7925926018276211,1,1,0.552743642,1,1,0.7925926018276211,0.0,0.0
26,26,27,0.262,1,0.0,0.2793599413573288,1,0.799609517177705,1,1,0.552743642,1,1,0.799609517177705,0.0,0.0
27,27,28,0.262,1,0.0,0.2813854495496725,1,0.795742692094539,1,1,0.552743642,1,1,0.795742692094539,0.0,0.0
28,28,29,0.262,1,0.0,0.2557961740424287,1,0.8014165482803683,1,1,0.552743642,1,1,0.8014165482803683,0.0,0.0
29,29,30,0.262,1,0.0,0.2339306389275326,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
30,30,31,0.262,1,0.0,0.3714748339719982,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
31,31,32,0.262,1,0.0616237132276963,0.4353463783932509,1,0.81,1,1,0.552743642,1,1,0.81,0.03609388917622212,0.032792618824738384
32,32,33,0.262,1,0.2939626439814783,0.4540680381916347,1,0.81,1,1,0.552743642,1,1,0.81,0.1721781200462944,0.15643012126157235
33,33,34,0.262,1,0.5885052626681575,0.4732805388131889,1,0.81,1,1,0.552743642,1,1,0.81,0.34469593956277794,0.3131688719198409
34,34,35,0.262,1,0.7743596488867017,0.5093164148930225,1,0.81,1,1,0.552743642,1,1,0.81,0.4535535086336395,0.412069956014709
35,35,36,0.262,1,0.8256,0.3779240370451354,1,0.8062353635845834,1,1,0.552743642,1,1,0.8062353635845834,0.4835657142857142,0.43933714285714276
36,36,37,0.262,1,0.8256,0.370135240754195,1,0.7864978917684048,1,1,0.552743642,1,1,0.7864978917684048,0.4835657142857142,0.43933714285714276
37,37,38,0.262,1,0.7526940268503752,0.3887071547572797,1,0.7733985694051536,1,1,0.552743642,1,1,0.7733985694051536,0.44086364429807684,0.40054075000252104
38,38,39,0.262,1,0.4394180536841326,0.3938816529150094,1,0.7420240053731,1,1,0.552743642,1,1,0.7420240053731,0.25737343144356334,0.23383317856762767
39,39,40,0.262,1,0.2126148743816899,0.3529259344643831,1,0.6963806157068634,1,1,0.552743642,1,1,0.6963806157068634,0.12453156928070408,0.1131414867245421
40,40,41,0.262,1,0.0,0.2815916586942997,1,0.7348313043276173,1,1,0.552743642,1,1,0.7348313043276173,0.0,0.0
41,41,42,0.262,1,0.0,0.2546615007834192,1,0.6947402271607469,1,1,0.552743642,1,1,0.6947402271607469,0.0,0.0
42,42,43,0.262,1,0.0,0.2799375113380823,1,0.7374829330883783,1,1,0.552743642,1,1,0.7374829330883783,0.0,0.0
43,43,44,0.262,1,0.0,0.2639410554357403,1,0.7821723395277271,1,1,0.552743642,1,1,0.7821723395277271,0.0,0.0
44,44,45,0.262,1,0.0,0.3076208758105375,1,0.7670835909162804,1,1,0.552743642,1,1,0.7670835909162804,0.0,0.0
