Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000.0,1.0,1.0,1.0,1.0,168.0,1.0,1,23198.562,22977.74828834535
,,,,,,,2,23090.427,21551.523684509084
,,,,,,,3,22618.549,21216.325544245323
,,,,,,,4,22491.546,21002.97288329329
,,,,,,,5,22617.659,21061.19150852749
,,,,,,,6,22909.846,21846.417989058653
,,,,,,,7,23433.967,22735.768346064488
,,,,,,,8,24304.298,23939.97015578148
,,,,,,,9,24539.436,24510.815872271203
,,,,,,,10,25193.319,25975.40182768932
,,,,,,,11,25770.84,27155.49194332664
,,,,,,,12,25612.42,28643.64368255232
,,,,,,,13,25449.817,29950.644077646404
,,,,,,,14,25215.124,29499.731758186856
,,,,,,,15,24869.181,28900.82785878346
,,,,,,,16,24991.823,28159.462797325017
,,,,,,,17,25703.111,28705.6766233607
,,,,,,,18,26172.408,29030.92434691765
,,,,,,,19,25947.416,32524.84623155371
,,,,,,,20,25326.107,32261.497171411196
,,,,,,,21,25089.634,30949.04590221544
,,,,,,,22,24566.403,29834.89135091464
,,,,,,,23,23547.264,28285.616259921648
,,,,,,,24,23010.594,25827.47596583628
,,,,,,,25,22465.113,22543.20445250761
,,,,,,,26,22235.582,21529.46540671977
,,,,,,,27,22050.017,20891.68397129772
,,,,,,,28,22152.901,20850.24723105014
,,,,,,,29,22425.508,21002.567175478656
,,,,,,,30,22708.617,21989.543018733777
,,,,,,,31,23209.331,23133.184149788027
,,,,,,,32,23297.708,25202.671849515034
,,,,,,,33,23464.761,26334.64465324053
,,,,,,,34,24232.92,27415.84745802987
,,,,,,,35,24935.041,28187.57897931087
,,,,,,,36,25062.044,29527.35370287115
,,,,,,,37,24655.314,30129.022522292493
,,,,,,,38,24450.703,29239.433345987145
,,,,,,,39,24564.712,28692.206212351768
,,,,,,,40,25114.999,29744.054643471198
,,,,,,,41,27027.253,31815.86405687408
,,,,,,,42,28005.007,34653.950272829294
,,,,,,,43,28069.265,33699.68242047162
,,,,,,,44,27575.315,29450.813770905843
,,,,,,,45,27080.119,28020.17340568531
,,,,,,,46,26314.541,26481.98210114853
,,,,,,,47,25698.75,24582.999605553672
,,,,,,,48,24801.096,22689.296205334955
,,,,,,,49,24733.901,21396.673612893293
,,,,,,,50,24553.676,20249.31251989321
,,,,,,,51,24681.213,19651.924996704067
,,,,,,,52,24996.273,19535.260418980262
,,,,,,,53,25679.526,19688.216586760347
,,,,,,,54,26917.783,20979.478769357946
,,,,,,,55,28338.757,24830.708320005542
,,,,,,,56,29412.72,30563.160035088156
,,,,,,,57,30006.617,31895.398247899564
,,,,,,,58,30227.604,31757.300721304277
,,,,,,,59,29713.896,31299.142056275225
,,,,,,,60,30411.033,31890.389542663364
,,,,,,,61,29949.568,31873.756808499274
