Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,float_offshore_wind_2,comm_solar_pv_2,res_solar_pv_2
1,0.262,1,0.0,0.5931006006690938,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
2,0.262,1,0.0,0.7149853817104869,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
3,0.262,1,0.0,0.7740487192592244,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
4,0.262,1,0.0,0.7177959380502803,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
5,0.262,1,0.0,0.6458787647880149,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
6,0.262,1,0.0,0.707907699123599,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
7,0.262,1,0.0,0.664060264386269,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
8,0.262,1,0.0093461458653621,0.6570020072511238,1,0.81,1,1,0.552743642,1,1,0.81,0.005474171149712,0.0049734847640676
9,0.262,1,0.0915967634200061,0.7741314745449828,1,0.81,1,1,0.552743642,1,1,0.81,0.0536495328602892,0.0487425633913603
10,0.262,1,0.3456202770430209,0.7780821590114315,1,0.81,1,1,0.552743642,1,1,0.81,0.2024347336966264,0.1839193617121789
11,0.262,1,0.6150914151527695,0.7852449571625875,1,0.81,1,1,0.552743642,1,1,0.81,0.3602678288751935,0.327316503063438
12,0.262,1,0.8107041545994496,0.7991551855026311,1,0.81,1,1,0.552743642,1,1,0.81,0.4748410048368204,0.4314104251261356
13,0.262,1,0.8094887409083791,0.768821810349415,1,0.81,1,1,0.552743642,1,1,0.81,0.4741291196749077,0.4307636514119587
14,0.262,1,0.4674911185524201,0.7596017481241766,1,0.81,1,1,0.552743642,1,1,0.81,0.2738162265807031,0.2487720595153949
15,0.262,1,0.2298054585775807,0.787217847661904,1,0.81,1,1,0.552743642,1,1,0.81,0.1346003400240115,0.1222893333144982
16,0.262,1,0.2855483566102191,0.7787507904505993,1,0.81,1,1,0.552743642,1,1,0.81,0.1672497517288426,0.1519525183390094
17,0.262,1,0.0,0.7607164802783616,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
18,0.262,1,0.0,0.6944571257194485,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
19,0.262,1,0.0,0.6370036252329774,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
20,0.262,1,0.0,0.5561844433937042,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
21,0.262,1,0.0,0.5195240386958477,1,0.81,1,1,0.552743642,1,1,0.81,0.0,0.0
22,0.262,1,0.0,0.4142873907996934,1,0.8088068121253513,1,1,0.552743642,1,1,0.8088068121253513,0.0,0.0
23,0.262,1,0.0,0.4123427583736282,1,0.7951767004896758,1,1,0.552743642,1,1,0.7951767004896758,0.0,0.0
24,0.262,1,0.0,0.39211306780731,1,0.7526685593231808,1,1,0.552743642,1,1,0.7526685593231808,0.0,0.0
25,0.262,1,0.0,0.3061653908007848,1,0.6925486947133048,1,1,0.552743642,1,1,0.6925486947133048,0.0,0.0
26,0.262,1,0.0,0.2611659381742321,1,0.4435901060046224,1,1,0.552743642,1,1,0.4435901060046224,0.0,0.0
27,0.262,1,0.0,0.407219296939357,1,0.4750848418890123,1,1,0.552743642,1,1,0.4750848418890123,0.0,0.0
28,0.262,1,0.0,0.4368051886490111,1,0.5569021673990955,1,1,0.552743642,1,1,0.5569021673990955,0.0,0.0
29,0.262,1,0.0,0.3932361495338363,1,0.5763268278438628,1,1,0.552743642,1,1,0.5763268278438628,0.0,0.0
30,0.262,1,0.0,0.3847206308451918,1,0.6026705262788483,1,1,0.552743642,1,1,0.6026705262788483,0.0,0.0
31,0.262,1,0.0,0.3285359763115499,1,0.5947433782745658,1,1,0.552743642,1,1,0.5947433782745658,0.0,0.0
32,0.262,1,0.0287853165002996,0.318005206955853,1,0.5792182609624689,1,1,0.552743642,1,1,0.5792182609624689,0.0168599710930326,0.0153179005662308
33,0.262,1,0.3050412977108276,0.3553474537731695,1,0.4982779572356315,1,1,0.552743642,1,1,0.4982779572356315,0.1786670458020561,0.1623255477104046
34,0.262,1,0.5597360639465254,0.2162102554465506,1,0.4459077617580608,1,1,0.552743642,1,1,0.4459077617580608,0.3278454088829648,0.297859548314401
35,0.262,1,0.7851358367542038,0.1492933172955796,1,0.3650703559648999,1,1,0.552743642,1,1,0.3650703559648999,0.4598652758131765,0.4178044274156298
36,0.262,1,0.8256,0.1289245345849801,1,0.2309400384302668,1,1,0.552743642,1,1,0.2309400384302668,0.4835657142857142,0.4393371428571427
37,0.262,1,0.8256,0.0606884399999999,1,0.1365878452141518,1,1,0.552743642,1,1,0.1365878452141518,0.4835657142857142,0.4393371428571427
38,0.262,1,0.7834238803587066,0.04325805,1,0.0761146334877415,1,1,0.552743642,1,1,0.0761146334877415,0.4588625584958138,0.4168934220480259
39,0.262,1,0.4856221824168609,0.0153737999999999,1,0.0378534392081784,1,1,0.552743642,1,1,0.0378534392081784,0.2844358497013042,0.258420375643258
40,0.262,1,0.2001639474229564,0.0,1,0.0043786329870642,1,1,0.552743642,1,1,0.0043786329870642,0.1172388834905887,0.1065158148786446
41,0.262,1,0.0,0.0,1,0.009791474789623,1,1,0.552743642,1,1,0.009791474789623,0.0,0.0
42,0.262,1,0.0,0.0,1,0.0170891024681638,1,1,0.552743642,1,1,0.0170891024681638,0.0,0.0
43,0.262,1,0.0,0.0560349688218466,1,0.0227740317432496,1,1,0.552743642,1,1,0.0227740317432496,0.0,0.0
44,0.262,1,0.0,0.0745378632074862,1,0.0582918295598398,1,1,0.552743642,1,1,0.0582918295598398,0.0,0.0
45,0.262,1,0.0,0.0555792074901718,1,0.0536736444794038,1,1,0.552743642,1,1,0.0536736444794038,0.0,0.0
46,0.262,1,0.0,0.0637965701955541,1,0.2542642391206974,1,1,0.552743642,1,1,0.2542642391206974,0.0,0.0
47,0.262,1,0.0,0.0092506528106367,1,0.3526439983605257,1,1,0.552743642,1,1,0.3526439983605257,0.0,0.0
48,0.262,1,0.0,0.1080221945874838,1,0.4187038746098483,1,1,0.552743642,1,1,0.4187038746098483,0.0,0.0
49,0.262,1,0.0,0.1804911565046864,1,0.3581808916769092,1,1,0.552743642,1,1,0.3581808916769092,0.0,0.0
50,0.262,1,0.0,0.1631988,1,0.3681311356808505,1,1,0.552743642,1,1,0.3681311356808505,0.0,0.0
51,0.262,1,0.0,0.13709088,1,0.4184681376175476,1,1,0.552743642,1,1,0.4184681376175476,0.0,0.0
52,0.262,1,0.0,0.2133344468315371,1,0.3955898822548946,1,1,0.552743642,1,1,0.3955898822548946,0.0,0.0
53,0.262,1,0.0,0.2865379276003411,1,0.4125825891002312,1,1,0.552743642,1,1,0.4125825891002312,0.0,0.0
54,0.262,1,0.0,0.2525684342226338,1,0.3584500782137965,1,1,0.552743642,1,1,0.3584500782137965,0.0,0.0
55,0.262,1,0.0,0.3111234130456829,1,0.459127006631157,1,1,0.552743642,1,1,0.459127006631157,0.0,0.0
56,0.262,1,0.0101454571707794,0.2112197686482154,1,0.447827631738343,1,1,0.552743642,1,1,0.447827631738343,0.0059423392000279,0.005398832565879
57,0.262,1,0.037714712565921,0.2108684115981715,1,0.3184433620419791,1,1,0.552743642,1,1,0.3184433620419791,0.022090045931468,0.0200696149011508
58,0.262,1,0.2672482058169773,0.371746113381537,1,0.3627291239176912,1,1,0.552743642,1,1,0.3627291239176912,0.1565310919785152,0.1422142238097486
59,0.262,1,0.733350049614637,0.2851366949533949,1,0.6266715240515786,1,1,0.552743642,1,1,0.6266715240515786,0.429533600488573,0.3902469906877889
60,0.262,1,0.8256,0.2614426022179001,1,0.792870958354603,1,1,0.552743642,1,1,0.792870958354603,0.4835657142857142,0.4393371428571427
61,0.262,1,0.7330829739641513,0.3977282355878128,1,0.8028384531674608,1,1,0.552743642,1,1,0.8028384531674608,0.4293771704647171,0.3901048682880662
62,0.262,1,0.7969266497696261,0.4831432143022961,1,0.7866781990666584,1,1,0.552743642,1,1,0.7866781990666584,0.4667713234364952,0.4240788243416938
63,0.262,1,0.5387084645783526,0.5023400743477946,1,0.761844206373457,1,1,0.552743642,1,1,0.761844206373457,0.3155292435387493,0.2866698615077662
