Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000,1,1,1,1,8760,8760,1,23198.562,16178.63359
,,,,,,,2,23090.427,14847.35185
,,,,,,,3,22618.549,14381.36105
,,,,,,,4,22491.546,13906.16746
,,,,,,,5,22617.659,13651.36289
,,,,,,,6,22909.846,14202.95404
,,,,,,,7,23433.967,14735.96313
,,,,,,,8,24304.298,15719.2253
,,,,,,,9,24539.436,16672.19987
,,,,,,,10,25193.319,18347.05583
,,,,,,,11,25770.84,19618.86845
,,,,,,,12,25612.42,21132.92899
,,,,,,,13,25449.817,22250.15471
,,,,,,,14,25215.124,22150.03443
,,,,,,,15,24869.181,21986.53607
,,,,,,,16,24991.823,21574.09501
,,,,,,,17,25703.111,22079.12703
,,,,,,,18,26172.408,22339.01006
,,,,,,,19,25947.416,25834.16468
,,,,,,,20,25326.107,25712.052
,,,,,,,21,25089.634,24384.62714
,,,,,,,22,24566.403,22977.66423
,,,,,,,23,23547.264,21104.12553
,,,,,,,24,23010.594,18309.89558
,,,,,,,25,22465.113,14854.36121
,,,,,,,26,22235.582,13596.66033
,,,,,,,27,22050.017,12866.48586
,,,,,,,28,22152.901,12558.76705
,,,,,,,29,22425.508,12315.48987
,,,,,,,30,22708.617,13162.27955
,,,,,,,31,23209.331,14373.90952
,,,,,,,32,23297.708,16729.81625
,,,,,,,33,23464.761,17811.47776
,,,,,,,34,24232.92,18972.93108
,,,,,,,35,24935.041,19775.97933
,,,,,,,36,25062.044,21188.87294
,,,,,,,37,24655.314,22379.78398
,,,,,,,38,24450.703,22298.03933
,,,,,,,39,24564.712,22453.07787
,,,,,,,40,25114.999,24128.46424
,,,,,,,41,27027.253,26359.54119
,,,,,,,42,28005.007,29442.46656
,,,,,,,43,28069.265,28848.68597
,,,,,,,44,27575.315,24794.32763
,,,,,,,45,27080.119,23382.7766
,,,,,,,46,26314.541,21746.05194
,,,,,,,47,25698.75,19869.13558
,,,,,,,48,24801.096,18033.38954
,,,,,,,49,24733.901,16812.21579
,,,,,,,50,24553.676,15800.42426
,,,,,,,51,24681.213,15448.26963
,,,,,,,52,24996.273,15488.90205
,,,,,,,53,25679.526,15717.29744
,,,,,,,54,26917.783,17148.70689
,,,,,,,55,28338.757,21100.57346
,,,,,,,56,29412.72,26875.57333
,,,,,,,57,30006.617,28183.88289
,,,,,,,58,30227.604,28115.29941
,,,,,,,59,29713.896,27538.0372
,,,,,,,60,30411.033,28302.49256
,,,,,,,61,29949.568,28951.09784
,,,,,,,62,29670.553,28419.86046
,,,,,,,63,30045.688,28529.46529
,,,,,,,64,31174.475,30135.98638
,,,,,,,65,33206.701,33012.39554
,,,,,,,66,33959.552,36679.53
,,,,,,,67,33420.123,37316.1216
,,,,,,,68,33327.385,34433.47921
,,,,,,,69,32668.073,33702.12518
,,,,,,,70,32129.445,27426.58861
,,,,,,,71,31511.429,24928.95797
,,,,,,,72,29114.57,23326.02927
,,,,,,,73,29226.71,21938.3183
,,,,,,,74,29469.235,21191.37464
,,,,,,,75,29809.571,20923.75785
,,,,,,,76,29449.477,21045.27209
,,,,,,,77,29951.882,21480.81742
,,,,,,,78,30980.722,23128.02579
,,,,,,,79,32531.903,27917.22723
,,,,,,,80,33593.05,34312.41498
,,,,,,,81,33803.357,35829.34269
,,,,,,,82,33463.555,35371.63821
,,,,,,,83,32927.597,34035.6846
,,,,,,,84,32994.258,34428.56615
,,,,,,,85,32917.451,34715.23803
,,,,,,,86,33048.459,33292.12489
,,,,,,,87,33020.424,32758.31472
,,,,,,,88,32965.333,33860.70623
,,,,,,,89,33250.044,36514.75558
,,,,,,,90,34016.245,39698.84641
,,,,,,,91,33521.494,39452.5468
,,,,,,,92,32839.665,36017.12515
,,,,,,,93,31718.71,34306.45017
,,,,,,,94,31166.109,26875.76225
,,,,,,,95,29721.105,23707.25145
,,,,,,,96,28145.36,21839.03723
,,,,,,,97,27486.493,19761.76275
,,,,,,,98,27015.95,18672.7557
,,,,,,,99,27040.959,18154.28556
,,,,,,,100,26312.316,17979.55306
,,,,,,,101,26279.831,18100.0504
,,,,,,,102,27610.114,19322.91645
,,,,,,,103,29425.358,23349.83688
,,,,,,,104,30444.052,29238.35454
,,,,,,,105,30220.039,30298.42606
,,,,,,,106,29018.895,29815.19141
,,,,,,,107,28513.998,28973.83898
,,,,,,,108,28165.741,29533.02491
,,,,,,,109,27535.087,29847.16181
,,,,,,,110,27380.583,29043.63297
,,,,,,,111,27495.927,28926.07002
,,,,,,,112,28468.786,30491.19277
,,,,,,,113,30499.232,33042.92184
,,,,,,,114,31775.225,36025.45372
,,,,,,,115,31639.856,36110.56554
,,,,,,,116,31532.7,32436.28686
,,,,,,,117,31015.076,31163.33019
,,,,,,,118,30241.755,24926.90956
,,,,,,,119,29204.371,22096.06573
,,,,,,,120,27533.307,20152.91336
,,,,,,,121,26806.088,18159.72123
,,,,,,,122,26604.77,17124.57152
,,,,,,,123,26615.895,16734.42758
,,,,,,,124,26823.443,16743.85791
,,,,,,,125,27312.943,16816.61254
,,,,,,,126,28517.647,18093.0611
,,,,,,,127,30000.565,21781.76125
,,,,,,,128,32503.957,27338.75179
,,,,,,,129,32536.353,28321.46004
,,,,,,,130,33034.664,28142.62494
,,,,,,,131,32754.136,27355.45969
,,,,,,,132,33080.321,27849.93338
,,,,,,,133,32672.078,28207.64392
,,,,,,,134,32551.038,27388.78788
,,,,,,,135,31517.748,27413.9359
,,,,,,,136,32113.158,28765.15978
,,,,,,,137,32823.378,31049.88466
,,,,,,,138,33040.627,33828.41593
,,,,,,,139,32698.956,32977.74596
,,,,,,,140,31884.873,29208.28657
,,,,,,,141,31069.455,27757.34054
,,,,,,,142,30265.518,22869.85098
,,,,,,,143,29427.761,20558.48252
,,,,,,,144,27456.144,18803.62284
,,,,,,,145,26655.5,17370.08233
,,,,,,,146,26111.799,15612.8321
,,,,,,,147,25926.946,15058.61288
,,,,,,,148,25793.713,14545.81001
