Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
52561,0.262,1,0.0,0.0,0.0,0.238182208,1,0.074656223,0.074656223,1,1,0.552743642,1,1
52562,0.262,1,0.0,0.0,0.0,0.382796694,1,0.100320141,0.100320141,1,1,0.552743642,1,1
52563,0.262,1,0.0,0.0,0.0,0.396894528,1,0.183966039,0.183966039,1,1,0.552743642,1,1
52564,0.262,1,0.0,0.0,0.0,0.549576262,1,0.289907856,0.289907856,1,1,0.552743642,1,1
52565,0.262,1,0.0,0.0,0.0,0.496391094,1,0.472200928,0.472200928,1,1,0.552743642,1,1
52566,0.262,1,0.0,0.0,0.0,0.557597212,1,0.728566443,0.728566443,1,1,0.552743642,1,1
52567,0.262,1,0.0,0.0,0.0,0.667863008,1,0.806410125,0.806410125,1,1,0.552743642,1,1
52568,0.262,1,0.000352636,0.000202088,0.000185812,0.640375543,1,0.81,0.81,1,1,0.552743642,1,1
52569,0.262,1,0.015669444,0.008979797,0.008256592,0.642547657,1,0.81,0.81,1,1,0.552743642,1,1
52570,0.262,1,0.034394627,0.019710767,0.018123323,0.737938049,1,0.81,0.81,1,1,0.552743642,1,1
52571,0.262,1,0.05762803,0.033025294,0.030365539,0.746218674,1,0.81,0.81,1,1,0.552743642,1,1
52572,0.262,1,0.055759716,0.031954606,0.029381081,0.694328504,1,0.81,0.81,1,1,0.552743642,1,1
52573,0.262,1,0.100471293,0.057577779,0.052940643,0.738508172,1,0.81,0.81,1,1,0.552743642,1,1
52574,0.262,1,0.08902732,0.051019503,0.046910549,0.690444455,1,0.81,0.81,1,1,0.552743642,1,1
52575,0.262,1,0.034268507,0.019638491,0.018056867,0.695496701,1,0.81,0.81,1,1,0.552743642,1,1
52576,0.262,1,0.011295981,0.006473466,0.005952113,0.684495297,1,0.81,0.81,1,1,0.552743642,1,1
52577,0.262,1,0.0,0.0,0.0,0.730272201,1,0.7425,0.7425,1,1,0.552743642,1,1
52578,0.262,1,0.0,0.0,0.0,0.703923857,1,0.81,0.81,1,1,0.552743642,1,1
52579,0.262,1,0.0,0.0,0.0,0.597665017,1,0.81,0.81,1,1,0.552743642,1,1
52580,0.262,1,0.0,0.0,0.0,0.600803454,1,0.81,0.81,1,1,0.552743642,1,1
52581,0.262,1,0.0,0.0,0.0,0.485144683,1,0.81,0.81,1,1,0.552743642,1,1
