Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000,1,1,1,1,8760,8760,1,23198.562,18800.27
,,,,,,,2,23090.427,17667.77
,,,,,,,3,22618.549,17282.75
,,,,,,,4,22491.546,17509.89
,,,,,,,5,22617.659,18596.57
,,,,,,,6,22909.846,20081.57
,,,,,,,7,23433.967,21983.11
,,,,,,,8,24304.298,22968.27
,,,,,,,9,24539.436,24601.34
,,,,,,,10,25193.319,25963.03
,,,,,,,11,25770.84,27359.76
,,,,,,,12,25612.42,28984.91
,,,,,,,13,25449.817,27666.9
,,,,,,,14,25215.124,27516.71
,,,,,,,15,24869.181,26846.14
,,,,,,,16,24991.823,27724.13
,,,,,,,17,25703.111,29062.26
,,,,,,,18,26172.408,33904.21
,,,,,,,19,25947.416,33425.4
,,,,,,,20,25326.107,32591.26
,,,,,,,21,25089.634,31069.94
,,,,,,,22,24566.403,28543.41
,,,,,,,23,23547.264,25345.38
,,,,,,,24,23010.594,21492.49
,,,,,,,25,22465.113,19933.19
,,,,,,,26,22235.582,19492.67
,,,,,,,27,22050.017,19865.27
,,,,,,,28,22152.901,20396.37
,,,,,,,29,22425.508,21936.21
,,,,,,,30,22708.617,24437.74
,,,,,,,31,23209.331,28635.77
,,,,,,,32,23297.708,31745.17
,,,,,,,33,23464.761,33221.44
,,,,,,,34,24232.92,33666.47
,,,,,,,35,24935.041,34610.12
,,,,,,,36,25062.044,35205.0
,,,,,,,37,24655.314,32978.91
,,,,,,,38,24450.703,31705.02
,,,,,,,39,24564.712,32567.95
,,,,,,,40,25114.999,35028.54
,,,,,,,41,27027.253,38674.77
,,,,,,,42,28005.007,38391.6
,,,,,,,43,28069.265,34644.72
,,,,,,,44,27575.315,32996.26
,,,,,,,45,27080.119,31264.04
,,,,,,,46,26314.541,27762.16
,,,,,,,47,25698.75,24924.14
,,,,,,,48,24801.096,23001.76
,,,,,,,49,24733.901,21116.72
,,,,,,,50,24553.676,20227.11
,,,,,,,51,24681.213,19771.3
,,,,,,,52,24996.273,19798.79
,,,,,,,53,25679.526,21168.54
,,,,,,,54,26917.783,25324.4
,,,,,,,55,28338.757,30998.32
,,,,,,,56,29412.72,31833.47
,,,,,,,57,30006.617,31180.6
,,,,,,,58,30227.604,30241.79
,,,,,,,59,29713.896,31096.75
,,,,,,,60,30411.033,31736.08
,,,,,,,61,29949.568,30741.89
,,,,,,,62,29670.553,30441.08
,,,,,,,63,30045.688,31528.18
,,,,,,,64,31174.475,34379.65
,,,,,,,65,33206.701,38031.97
,,,,,,,66,33959.552,38756.44
,,,,,,,67,33420.123,34913.94
,,,,,,,68,33327.385,32716.13
,,,,,,,69,32668.073,25666.39
,,,,,,,70,32129.445,24261.55
,,,,,,,71,31511.429,21948.06
,,,,,,,72,29114.57,19740.28
,,,,,,,73,29226.71,18141.85
,,,,,,,74,29469.235,17496.63
,,,,,,,75,29809.571,17380.97
,,,,,,,76,29449.477,17830.93
,,,,,,,77,29951.882,19380.92
,,,,,,,78,30980.722,24600.64
,,,,,,,79,32531.903,30440.58
,,,,,,,80,33593.05,30955.7
,,,,,,,81,33803.357,30042.23
,,,,,,,82,33463.555,29231.11
,,,,,,,83,32927.597,30618.82
,,,,,,,84,32994.258,31690.11
,,,,,,,85,32917.451,30711.31
,,,,,,,86,33048.459,30698.03
,,,,,,,87,33020.424,32375.24
,,,,,,,88,32965.333,35324.71
,,,,,,,89,33250.044,38631.21
,,,,,,,90,34016.245,38819.41
,,,,,,,91,33521.494,35203.23
,,,,,,,92,32839.665,33202.41
,,,,,,,93,31718.71,25890.91
,,,,,,,94,31166.109,25786.1
,,,,,,,95,29721.105,23976.28
,,,,,,,96,28145.36,21320.17
,,,,,,,97,27486.493,20215.74
,,,,,,,98,27015.95,19522.7
,,,,,,,99,27040.959,19433.21
,,,,,,,100,26312.316,19606.8
,,,,,,,101,26279.831,21125.4
