Time_Index,res_hydro_1,natural_gas_2,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,fixed_offshore_wind_2,float_offshore_wind_2,battery_2,ror_hydro_2,pumped_hydro_2,fusion_2
1,0.262,1,1,0.0,0.0,0.0,0.8537,0.8994,0.8994,1,0.552743642,1,1
2,0.262,1,1,0.0,0.0,0.0,0.2935,0.4908,0.4908,1,0.552743642,1,1
3,0.262,1,1,0.0,0.0,0.0,0.7151,0.9103,0.9103,1,0.552743642,1,1
4,0.262,1,1,0.0,0.0,0.0,0.1542,0.4898,0.4898,1,0.552743642,1,1
5,0.262,1,1,0.0,0.0,0.0,0.6268,0.3109,0.3109,1,0.552743642,1,1
6,0.262,1,1,0.0,0.0,0.0,0.1049,0.6283,0.6283,1,0.552743642,1,1
7,0.262,1,1,0.0,0.0,0.0,0.3718,0.8459,0.8459,1,0.552743642,1,1
8,0.262,1,1,0.0012,0.0006876922788,0.0006323077211999999,0.0852,0.0487,0.0487,1,0.552743642,1,1
9,0.262,1,1,0.009796,0.0056138613026039995,0.005161738697395999,0.1868,0.3218,0.3218,1,0.552743642,1,1
10,0.262,1,1,0.012614,0.007228792003986,0.006646607996013999,0.5706,0.5871,0.5871,1,0.552743642,1,1
11,0.262,1,1,0.033394,0.019137329965206,0.017596070034794,0.8022,0.5515,0.5515,1,0.552743642,1,1
12,0.262,1,1,0.058346,0.033436744749054004,0.030743855250945997,0.2142,0.7397,0.7397,1,0.552743642,1,1
13,0.262,1,1,0.050071,0.028694533409829,0.026383566590170996,0.5543,0.5855,0.5855,1,0.552743642,1,1
14,0.262,1,1,0.038835,0.022255441372665,0.020463058627335,0.8267,0.7901,0.7901,1,0.552743642,1,1
15,0.262,1,1,0.027577,0.015803741643723,0.014530958356277,0.48,0.566,0.566,1,0.552743642,1,1
16,0.262,1,1,0.010603,0.006076334360097,0.005586965639903,0.122,0.4617,0.4617,1,0.552743642,1,1
17,0.262,1,1,0.000801,0.000459034596099,0.00042206540390099994,0.5999,0.9146,0.9146,1,0.552743642,1,1
18,0.262,1,1,0.0,0.0,0.0,0.808,0.919,0.919,1,0.552743642,1,1
19,0.262,1,1,0.0,0.0,0.0,0.3239,0.057,0.057,1,0.552743642,1,1
20,0.262,1,1,0.0,0.0,0.0,0.2712,0.8381,0.8381,1,0.552743642,1,1
21,0.262,1,1,0.0,0.0,0.0,0.8092,0.803,0.803,1,0.552743642,1,1
22,0.262,1,1,0.0,0.0,0.0,0.5708,0.2151,0.2151,1,0.552743642,1,1
23,0.262,1,1,0.0,0.0,0.0,0.6416,0.7232,0.7232,1,0.552743642,1,1
24,0.262,1,1,0.0,0.0,0.0,0.7889,0.9003,0.9003,1,0.552743642,1,1
25,0.262,1,1,0.0,0.0,0.0,0.854,0.8872,0.8872,1,0.552743642,1,1
26,0.262,1,1,0.0,0.0,0.0,0.2297,0.3144,0.3144,1,0.552743642,1,1
27,0.262,1,1,0.0,0.0,0.0,0.7201,0.9008,0.9008,1,0.552743642,1,1
28,0.262,1,1,0.0,0.0,0.0,0.5078,0.8483,0.8483,1,0.552743642,1,1
29,0.262,1,1,0.0,0.0,0.0,0.602,0.2026,0.2026,1,0.552743642,1,1
30,0.262,1,1,0.0,0.0,0.0,0.5744,0.3277,0.3277,1,0.552743642,1,1
31,0.262,1,1,0.0,0.0,0.0,0.431,0.7905,0.7905,1,0.552743642,1,1
32,0.262,1,1,0.009806,0.005619592071594,0.005167007928406,0.2753,0.1406,0.1406,1,0.552743642,1,1
33,0.262,1,1,0.113085,0.064806401123415,0.059587098876585,0.0919,0.4419,0.4419,1,0.552743642,1,1
34,0.262,1,1,0.255504,0.146423440002096,0.134630959997904,0.1321,0.2762,0.2762,1,0.552743642,1,1
35,0.262,1,1,0.485838,0.278422534456362,0.25599926554363794,0.1051,0.7928,0.7928,1,0.552743642,1,1
36,0.262,1,1,0.579774,0.33225508604082604,0.305496313959174,0.5504,0.7331,0.7331,1,0.552743642,1,1
37,0.262,1,1,0.566023,0.32437470560267706,0.298250594397323,0.095,0.687,0.687,1,0.552743642,1,1
38,0.262,1,1,0.471155,0.270008046348345,0.24826245365165497,0.2247,0.1377,0.1377,1,0.552743642,1,1
39,0.262,1,1,0.298876,0.171278931265524,0.15748466873447597,0.1327,0.0445,0.0445,1,0.552743642,1,1
40,0.262,1,1,0.10755,0.061634420487450006,0.05667057951255,0.364,0.1132,0.1132,1,0.552743642,1,1
41,0.262,1,1,0.006994,0.004008099831606,0.0036853001683939996,0.1529,0.5449,0.5449,1,0.552743642,1,1
42,0.262,1,1,0.0,0.0,0.0,0.7728,0.8473,0.8473,1,0.552743642,1,1
43,0.262,1,1,0.0,0.0,0.0,0.8102,0.7258,0.7258,1,0.552743642,1,1
44,0.262,1,1,0.0,0.0,0.0,0.4423,0.5206,0.5206,1,0.552743642,1,1
45,0.262,1,1,0.0,0.0,0.0,0.1122,0.0706,0.0706,1,0.552743642,1,1
46,0.262,1,1,0.0,0.0,0.0,0.7423,0.8974,0.8974,1,0.552743642,1,1
47,0.262,1,1,0.0,0.0,0.0,0.312,0.4327,0.4327,1,0.552743642,1,1
48,0.262,1,1,0.0,0.0,0.0,0.7963,0.5864,0.5864,1,0.552743642,1,1
49,0.262,1,1,0.0,0.0,0.0,0.3006,0.3461,0.3461,1,0.552743642,1,1
50,0.262,1,1,0.0,0.0,0.0,0.5095,0.4797,0.4797,1,0.552743642,1,1
51,0.262,1,1,0.0,0.0,0.0,0.7574,0.722,0.722,1,0.552743642,1,1
52,0.262,1,1,0.0,0.0,0.0,0.2097,0.7187,0.7187,1,0.552743642,1,1
53,0.262,1,1,0.0,0.0,0.0,0.1487,0.7082,0.7082,1,0.552743642,1,1
54,0.262,1,1,0.0,0.0,0.0,0.338,0.3933,0.3933,1,0.552743642,1,1
55,0.262,1,1,0.0,0.0,0.0,0.4242,0.2453,0.2453,1,0.552743642,1,1
56,0.262,1,1,0.009009,0.005162849783091,0.0047470502169089995,0.0998,0.8866,0.8866,1,0.552743642,1,1
57,0.262,1,1,0.088344,0.050627905565256,0.046550494434743996,0.5321,0.2381,0.2381,1,0.552743642,1,1
58,0.262,1,1,0.199911,0.114564375955989,0.105337724044011,0.8247,0.8221,0.8221,1,0.552743642,1,1
59,0.262,1,1,0.27191,0.15582533960709,0.14327566039290998,0.3255,0.1351,0.1351,1,0.552743642,1,1
60,0.262,1,1,0.260662,0.14937937064713802,0.137348829352862,0.7534,0.8114,0.8114,1,0.552743642,1,1
61,0.262,1,1,0.302135,0.173146588879365,0.15920191112063498,0.4759,0.8415,0.8415,1,0.552743642,1,1
62,0.262,1,1,0.218832,0.125407563961968,0.11530763603803199,0.8642,0.8816,0.8816,1,0.552743642,1,1
63,0.262,1,1,0.151827,0.087008546344473,0.08000115365552699,0.8157,0.8338,0.8338,1,0.552743642,1,1
64,0.262,1,1,0.062342,0.035726760037458005,0.032849439962542,0.7626,0.4176,0.4176,1,0.552743642,1,1
65,0.262,1,1,0.004004,0.002294599903596,0.0021098000964039996,0.4956,0.2627,0.2627,1,0.552743642,1,1
66,0.262,1,1,0.0,0.0,0.0,0.2867,0.4054,0.4054,1,0.552743642,1,1
67,0.262,1,1,0.0,0.0,0.0,0.4869,0.9137,0.9137,1,0.552743642,1,1
68,0.262,1,1,0.0,0.0,0.0,0.7949,0.9114,0.9114,1,0.552743642,1,1
69,0.262,1,1,0.0,0.0,0.0,0.5076,0.4712,0.4712,1,0.552743642,1,1
70,0.262,1,1,0.0,0.0,0.0,0.2918,0.1368,0.1368,1,0.552743642,1,1
71,0.262,1,1,0.0,0.0,0.0,0.5851,0.4651,0.4651,1,0.552743642,1,1
72,0.262,1,1,0.0,0.0,0.0,0.4245,0.1806,0.1806,1,0.552743642,1,1
73,0.262,1,1,0.0,0.0,0.0,0.6788,0.4473,0.4473,1,0.552743642,1,1
74,0.262,1,1,0.0,0.0,0.0,0.3524,0.8767,0.8767,1,0.552743642,1,1
75,0.262,1,1,0.0,0.0,0.0,0.3007,0.7252,0.7252,1,0.552743642,1,1
76,0.262,1,1,0.0,0.0,0.0,0.2248,0.2314,0.2314,1,0.552743642,1,1
77,0.262,1,1,0.0,0.0,0.0,0.4026,0.1605,0.1605,1,0.552743642,1,1
78,0.262,1,1,0.0,0.0,0.0,0.5567,0.56,0.56,1,0.552743642,1,1
79,0.262,1,1,0.0,0.0,0.0,0.5317,0.1683,0.1683,1,0.552743642,1,1
80,0.262,1,1,0.006,0.0034384613940000005,0.003161538606,0.0925,0.1003,0.1003,1,0.552743642,1,1
81,0.262,1,1,0.038128,0.021850276005072004,0.020090523994928,0.355,0.2128,0.2128,1,0.552743642,1,1
82,0.262,1,1,0.084624,0.048496059500976005,0.044590340499023995,0.6588,0.4152,0.4152,1,0.552743642,1,1
83,0.262,1,1,0.108925,0.062422401223575,0.05739509877642499,0.068,0.822,0.822,1,0.552743642,1,1
84,0.262,1,1,0.207374,0.11884124885322601,0.10927015114677399,0.5711,0.3512,0.3512,1,0.552743642,1,1
85,0.262,1,1,0.256417,0.146946659210883,0.13511204078911698,0.1162,0.3028,0.3028,1,0.552743642,1,1
86,0.262,1,1,0.230424,0.132050671375176,0.12141572862482398,0.1131,0.0765,0.0765,1,0.552743642,1,1
87,0.262,1,1,0.198959,0.11401880674814101,0.10483609325185898,0.1587,0.7562,0.7562,1,0.552743642,1,1
88,0.262,1,1,0.094385,0.054089863112115,0.04973363688788499,0.5642,0.4998,0.4998,1,0.552743642,1,1
89,0.262,1,1,0.007989,0.004578311346111,0.004209588653889,0.5928,0.8894,0.8894,1,0.552743642,1,1
90,0.262,1,1,0.0,0.0,0.0,0.1197,0.3128,0.3128,1,0.552743642,1,1
91,0.262,1,1,0.0,0.0,0.0,0.2164,0.0944,0.0944,1,0.552743642,1,1
