Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Resource_Type,region,cluster,region.1
res_hydro_1,1,0,0,0,0,0,1,0,0,0,-1,41108,0,0,-1,-1,-1,0,0,0,6399260.067,0,0,620000.0,0,0,0,0,0,None,1,0,0,0,0,0.14,0.14,4788.1,0.27,0,1,1,0,0,0,0,1,0.020833333,0.041666667,res_hydro,QC,1,QC
natural_gas_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,1660172.925,0,0,480000.0,0,0,1.61,0,6.196,NG,1,0,111.334375,0,0,1,1,1,0.25,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas,NE,1,NE
natural_gas_ccs_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,2434377.845,0,0,780000.0,0,0,3.32,0,7.007,NGCCS,1,0,73.80969101,0,0,1,1,1,0.5,0,1,1,0,0,0,0,1,0.053333333,0.106666667,natural_gas_ccs,NE,1,NE
solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,752000,-1,-1,0,0,0,955013.5309,0,0,260000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,solar_pv,NE,1,NE
comm_solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,51000,-1,-1,0,0,0,1301054.826,0,0,200000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,comm_solar_pv,NE,1,NE
res_solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,66000,-1,-1,0,0,0,1690917.945,0,0,280000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,res_solar_pv,NE,1,NE
onshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,63000,-1,-1,0,0,0,1382828.441,0,0,460000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,onshore_wind,NE,1,NE
fixed_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,91000,-1,-1,5946,0,0,3933764.2,0,0,1420000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,fixed_offshore_wind,NE,1,NE
float_offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,461000,-1,-1,0,0,0,6363042.092,0,0,1220000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,floating_offshore_wind,NE,1,NE
battery_2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,530258.23,309670.81,0,140000.0,70000,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.92,0.92,1,1000,0,0,1,0.083333333,0.166666667,battery,NE,1,NE
ror_hydro_2,2,0,0,1,0,0,0,0,0,0,0,1960.5,0,0,-1,-1,-1,0,0,0,5909262.461,0,0,374000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,ror_hydro,NE,1,NE
pumped_hydro_2,2,0,0,0,1,0,0,0,0,0,0,1830,21960,0,-1,-1,-1,0,0,0,9090391.44,0,0,940000.0,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,pumped_hydro,NE,1,NE
fusion_2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,9900110.391,0,0,1898141.0,0,0,2,0,8.53,None,262.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,fusion,NE,1,NE
