Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,comm_solar_pv_2,res_solar_pv_2,onshore_wind_2,battery_2,fixed_offshore_wind_2,float_offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2
96361,0.262,1,0.0,0.0,0.0,0.559154289,1,0.809642725,0.809642725,1,1,0.552743642,1,1
96362,0.262,1,0.0,0.0,0.0,0.60660187,1,0.807277069,0.807277069,1,1,0.552743642,1,1
96363,0.262,1,0.0,0.0,0.0,0.594113195,1,0.798020264,0.798020264,1,1,0.552743642,1,1
96364,0.262,1,0.0,0.0,0.0,0.59911136,1,0.766227793,0.766227793,1,1,0.552743642,1,1
96365,0.262,1,0.0,0.0,0.0,0.502915479,1,0.719893467,0.719893467,1,1,0.552743642,1,1
96366,0.262,1,0.0,0.0,0.0,0.418922275,1,0.489023561,0.489023561,1,1,0.552743642,1,1
96367,0.262,1,0.0,0.0,0.0,0.438240301,1,0.319053154,0.319053154,1,1,0.552743642,1,1
96368,0.262,1,0.042698546,0.024469551,0.022498849,0.346075576,1,0.233391429,0.233391429,1,1,0.552743642,1,1
96369,0.262,1,0.278168742,0.159412087,0.146573529,0.24513066,1,0.188729625,0.188729625,1,1,0.552743642,1,1
96370,0.262,1,0.491284008,0.281543528,0.258868881,0.182699121,1,0.167852899,0.167852899,1,1,0.552743642,1,1
96371,0.262,1,0.670933127,0.384496292,0.353530148,0.078587235,1,0.183460718,0.183460718,1,1,0.552743642,1,1
96372,0.262,1,0.790661766,0.453110012,0.416617931,0.03041876,1,0.17542786,0.17542786,1,1,0.552743642,1,1
96373,0.262,1,0.771571106,0.442169595,0.406558621,0.066074528,1,0.227216591,0.227216591,1,1,0.552743642,1,1
96374,0.262,1,0.645703227,0.370037619,0.340235931,0.16231474,1,0.250073002,0.250073002,1,1,0.552743642,1,1
96375,0.262,1,0.48720664,0.279206882,0.256720422,0.272308383,1,0.330864657,0.330864657,1,1,0.552743642,1,1
96376,0.262,1,0.236619931,0.135601422,0.124680502,0.388960569,1,0.501424487,0.501424487,1,1,0.552743642,1,1
96377,0.262,1,0.0,0.0,0.0,0.45597384,1,0.660751408,0.660751408,1,1,0.552743642,1,1
96378,0.262,1,0.0,0.0,0.0,0.53264179,1,0.756998629,0.756998629,1,1,0.552743642,1,1
