Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000,1,1,1,1,8760,8760,1,23198.562,18470.71946
,,,,,,,2,23090.427,17073.95592
,,,,,,,3,22618.549,16610.52369
,,,,,,,4,22491.546,16197.46247
,,,,,,,5,22617.659,15977.90795
,,,,,,,6,22909.846,16667.99178
,,,,,,,7,23433.967,17379.80086
,,,,,,,8,24304.298,18400.45695
,,,,,,,9,24539.436,18938.57557
,,,,,,,10,25193.319,20370.65181
,,,,,,,11,25770.84,21440.6812
,,,,,,,12,25612.42,22966.6127
,,,,,,,13,25449.817,24206.8051
,,,,,,,14,25215.124,23781.21121
,,,,,,,15,24869.181,23448.6052
,,,,,,,16,24991.823,23189.07838
,,,,,,,17,25703.111,23895.15872
,,,,,,,18,26172.408,24270.18839
,,,,,,,19,25947.416,27835.85581
,,,,,,,20,25326.107,27649.01664
,,,,,,,21,25089.634,26291.1652
,,,,,,,22,24566.403,25014.0141
,,,,,,,23,23547.264,23275.33547
,,,,,,,24,23010.594,20615.80333
,,,,,,,25,22465.113,17097.06771
,,,,,,,26,22235.582,15769.835
,,,,,,,27,22050.017,15005.55811
,,,,,,,28,22152.901,14687.40748
,,,,,,,29,22425.508,14497.23496
,,,,,,,30,22708.617,15392.73925
,,,,,,,31,23209.331,16636.8018
,,,,,,,32,23297.708,19078.24496
,,,,,,,33,23464.761,19881.22413
,,,,,,,34,24232.92,20863.06495
,,,,,,,35,24935.041,21602.71569
,,,,,,,36,25062.044,22930.24891
,,,,,,,37,24655.314,23784.89851
,,,,,,,38,24450.703,23214.26493
,,,,,,,39,24564.712,23503.57109
,,,,,,,40,25114.999,25023.00923
,,,,,,,41,27027.253,27294.51435
,,,,,,,42,28005.007,30351.0669
,,,,,,,43,28069.265,29626.54514
,,,,,,,44,27575.315,25344.48572
,,,,,,,45,27080.119,24001.39339
,,,,,,,46,26314.541,22495.68714
,,,,,,,47,25698.75,20668.71572
,,,,,,,48,24801.096,18847.79555
,,,,,,,49,24733.901,17628.33958
,,,,,,,50,24553.676,16661.34848
,,,,,,,51,24681.213,16180.37187
,,,,,,,52,24996.273,16209.10231
,,,,,,,53,25679.526,16475.60952
,,,,,,,54,26917.783,17927.00066
,,,,,,,55,28338.757,21896.52044
,,,,,,,56,29412.72,27677.63302
,,,,,,,57,30006.617,29046.22949
,,,,,,,58,30227.604,28839.8973
,,,,,,,59,29713.896,28199.37709
,,,,,,,60,30411.033,28919.7136
,,,,,,,61,29949.568,29385.64539
,,,,,,,62,29670.553,28836.4404
,,,,,,,63,30045.688,28806.15132
,,,,,,,64,31174.475,30084.96823
,,,,,,,65,33206.701,32773.12566
,,,,,,,66,33959.552,36230.61887
,,,,,,,67,33420.123,36787.91268
,,,,,,,68,33327.385,33815.59196
,,,,,,,69,32668.073,32670.12208
,,,,,,,70,32129.445,26075.71451
,,,,,,,71,31511.429,23333.92337
,,,,,,,72,29114.57,21497.92938
,,,,,,,73,29226.71,19761.26388
,,,,,,,74,29469.235,18620.19328
,,,,,,,75,29809.571,18016.14572
,,,,,,,76,29449.477,17713.02626
,,,,,,,77,29951.882,17655.07756
,,,,,,,78,30980.722,18989.06792
,,,,,,,79,32531.903,23269.19947
,,,,,,,80,33593.05,29431.05496
,,,,,,,81,33803.357,30768.56464
,,,,,,,82,33463.555,30359.36773
,,,,,,,83,32927.597,29074.22265
,,,,,,,84,32994.258,29551.42324
,,,,,,,85,32917.451,30085.21826
,,,,,,,86,33048.459,29292.48751
,,,,,,,87,33020.424,29612.25643
,,,,,,,88,32965.333,31639.7432
,,,,,,,89,33250.044,34461.66789
,,,,,,,90,34016.245,37517.48247
,,,,,,,91,33521.494,37315.88155
,,,,,,,92,32839.665,33681.41419
,,,,,,,93,31718.71,31971.75467
,,,,,,,94,31166.109,24429.50416
,,,,,,,95,29721.105,21173.74563
,,,,,,,96,28145.36,19216.25375
,,,,,,,97,27486.493,16991.31794
,,,,,,,98,27015.95,15851.42891
,,,,,,,99,27040.959,15291.96034
,,,,,,,100,26312.316,15138.13809
,,,,,,,101,26279.831,15257.81703
,,,,,,,102,27610.114,16671.2685
,,,,,,,103,29425.358,20907.0504
,,,,,,,104,30444.052,27023.75857
,,,,,,,105,30220.039,28170.9566
,,,,,,,106,29018.895,27819.55232
,,,,,,,107,28513.998,27024.82153
,,,,,,,108,28165.741,27740.2874
,,,,,,,109,27535.087,28388.8781
,,,,,,,110,27380.583,28036.7372
,,,,,,,111,27495.927,28322.30619
,,,,,,,112,28468.786,30346.78027
,,,,,,,113,30499.232,33310.49941
,,,,,,,114,31775.225,36708.87929
,,,,,,,115,31639.856,37250.86053
,,,,,,,116,31532.7,33855.84585
,,,,,,,117,31015.076,33005.79017
,,,,,,,118,30241.755,26958.50888
,,,,,,,119,29204.371,24253.66066
,,,,,,,120,27533.307,22593.90952
,,,,,,,121,26806.088,20703.04899
,,,,,,,122,26604.77,19688.10017
,,,,,,,123,26615.895,19279.84325
,,,,,,,124,26823.443,19270.08038
,,,,,,,125,27312.943,19493.29388
,,,,,,,126,28517.647,20833.04626
,,,,,,,127,30000.565,24458.11178
,,,,,,,128,32503.957,30085.3536
,,,,,,,129,32536.353,31591.91435
,,,,,,,130,33034.664,31799.69632
,,,,,,,131,32754.136,31051.48411
,,,,,,,132,33080.321,31615.93834
,,,,,,,133,32672.078,31983.34221
,,,,,,,134,32551.038,31555.78933
