resource,fusion,no_fusion
Utility_Solar,21999.999999643194,21999.999839951688
Onshore_Wind,9999.999999639907,9999.999839086737
Offshore_Fixed,3281.7853348581334,19724.910110862016
Offshore_Floating,7748.000001998413,7748.049344333202
NGCC,3992.940429265492,2923.221962173263
NGCCS,7374.599321090919,11533.988470396827
4hr_Battery,15668.671250153122,18752.41687654372
Nuclear,0.0,0.0
Fusion,7201.865125975389,0.0
ROR,1958.4999999930917,1958.4999864617475
QC_Hydro,41108.0,41108.0
PHS,1830.1999998270664,1830.1998491617624
Commercial_Solar,0.0,14999.999985621367
Residential_Solar,0.0,0.9075673441965476
