resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,0.182932931508786,0.17636493124236205,0.16618403624188047,0.16877696975948925,0.16710653837060754,0.1661013402898683,0.17065698581038619,0.16038907969015676,0.16406967516222595,0.16822743380522284,0.16592467567803126,0.17167448121402418,0.1750416998456457,0.16783014715978356,0.17339752297208083,0.17636378402933736,0.16935041054181804,0.15758935259709653,0.16554665440288083,0.16436059402096226
Onshore_Wind,0.3259457448578396,0.35587948672605807,0.3426565580613605,0.340282149428563,0.3357014175863576,0.3481294514691522,0.3461525467019897,0.3329460799098548,0.3447501968627925,0.36524488890482454,0.3301398947786701,0.312505276125454,0.3418156130129134,0.34261296952981785,0.33881540874343363,0.3451918934192792,0.34340160536585185,0.34614376635041794,0.3448845702649112,0.3401748670571916
Offshore_Fixed,0.45612834771727906,0.4988433563519934,0.48809544140499117,0.47512037075068825,0.4639106920110354,0.4917363905298251,0.4898218238493013,0.4623048512720456,0.4838696962815183,0.5017765934660041,0.45751659734855143,0.4483568296503505,0.49432299203244,0.4743125519881989,0.46923417343595214,0.47776898526204015,0.4905980445213584,0.493769968600315,0.4635758616074453,0.47323938604083843
Offshore_Floating,0.456128348803624,0.49898197283381907,0.4880954423371487,0.4751203757294246,0.46391069266133583,0.49173639058525875,0.4898218248197735,0.4623048535747846,0.48386969727740864,0.5017765915966328,0.45751660363891766,0.44835684166617673,0.49432299277572816,0.4743125523001896,0.4692341763225095,0.47776899047200355,0.4905980474975018,0.49376997039933834,0.46357587282076995,0.47323938777853697
NGCC,0.011506411521342989,0.008467597283175698,0.01084810130693514,0.0064001131640231265,0.011990871564741792,0.010747009278493572,0.009066152350037174,0.007376142515095775,0.012643193726092593,0.011385062670091324,0.00690280218375582,0.011878974146922112,0.008760324290257205,0.007163415242314873,0.008761241308949747,0.006912518218422052,0.011970794059810953,0.009678652307938861,0.008962838800068379,0.012187021928145228
NGCCS,0.16573382081204918,0.15654781653276748,0.17017494700717423,0.17746567965984736,0.18103779678512616,0.17366079791629363,0.16094773703916995,0.1744478958011704,0.1562436634870255,0.16096970216540973,0.19236711525735092,0.1836795251423485,0.16519816772627494,0.15933317556164778,0.17952211998340967,0.17729295916799756,0.1519476603236171,0.17673958711212134,0.18484952745424105,0.14301534539715813
4hr_Battery,0.10489255462218197,0.09047811486796128,0.099737719744337,0.11439101745396735,0.08727753367833171,0.09169495596062002,0.09139867218463796,0.08340513412410964,0.09042007182542977,0.08232511115288649,0.0989548677092077,0.09835107486405092,0.09035620413254966,0.08418033442551275,0.09745447388722618,0.08961113438281758,0.08569933874220956,0.08824239908449107,0.09643724966417089,0.0853460199266039
Nuclear,,,,,,,,,,,,,,,,,,,,
Fusion,0.809950476144367,0.6670738026582882,0.8144049048667519,0.8284352944621148,0.8283825595458665,0.7431372388711882,0.7517066356673973,0.8343166480311723,0.7444461546824139,0.7669300850812429,0.8166875407487709,0.8293064351207213,0.7963209415140806,0.8105667387150634,0.8018869910198082,0.8073906461620587,0.7685090760340347,0.8271254644215803,0.8215425755723215,0.7747550230456434
ROR,0.45295123596518333,0.4529512359651822,0.45295123596518283,0.452951235965183,0.4529512359651832,0.45295123596518205,0.4529512359651825,0.45295123596518294,0.45295123596518216,0.45295123596518244,0.45295123596518305,0.4529512359651828,0.45295123596518355,0.45295123596518333,0.45295123596518205,0.45295123596518233,0.4529512359651829,0.45295123596518205,0.45295123596518266,0.4529512359651825
QC_Hydro,0.5755575507599475,0.5755575505596862,0.5755575506412922,0.57555754991071,0.5755575507777535,0.5755575507848733,0.575557550532547,0.575557550620235,0.5755575505072924,0.5755575505897192,0.5755575500884751,0.575557550128324,0.5755575506414854,0.5755575508114978,0.5755575503912967,0.5755575504029093,0.5755575504806957,0.5755575507589549,0.5755575501687482,0.5755575506815197
PHS,0.09816177654154845,0.10434588254775355,0.09435943175371314,0.09276622860366592,0.08847274472319708,0.09640063702919503,0.09528968742880957,0.08809612277064258,0.10563514737335179,0.09647786198804428,0.08802967318820519,0.10776341041131349,0.09803683074981724,0.07828996357035764,0.09297352642593254,0.09229454544222072,0.08098675114291715,0.09095997285321815,0.09685612103363625,0.09639528274170478
Commercial_Solar,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Residential_Solar,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
