resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,0.16372140489006612,0.15667361270068597,0.14351819199351862,0.14763396114166932,0.1442222870722176,0.14483306674359914,0.15019282730504052,0.1395131587910219,0.14184771337400096,0.14447874745747274,0.14183865732491654,0.15202108795553035,0.15383816209928927,0.14672527363175786,0.15189381545721023,0.15528938275708473,0.1451353268355987,0.13323942040878484,0.14573855431975868,0.1315601680443781
Onshore_Wind,0.26237550032689594,0.2912807751020005,0.26520916486231055,0.2650259144241926,0.246854284282341,0.2773029940922545,0.2717182075712074,0.2538114487917228,0.26261756545831655,0.2835138137485182,0.25081742430148163,0.2465448547985558,0.2742009644270262,0.2596512962417491,0.26962671654189296,0.2786688508311248,0.2644497424474358,0.26035950134875496,0.2665914935508965,0.24509807331149594
Offshore_Fixed,0.4099028103091658,0.44980245419635245,0.42565354431715063,0.41714497403090134,0.39175103345922974,0.431477155856862,0.4362577910120247,0.39783722447056147,0.41365162127094035,0.4350743057213422,0.3950437812662175,0.39187924202562346,0.43810136287278334,0.4097274206248538,0.4083695932764303,0.41918778462045936,0.426694878812206,0.4227865186702771,0.4121781092782309,0.38263272361194195
Offshore_Floating,0.349005574647056,0.4087111017802206,0.38774317863464536,0.35459097198541767,0.32282555136749025,0.3856443334940206,0.3545768728939436,0.3608992747376938,0.36509243252312107,0.3964146789829249,0.3375912489331273,0.3680224248251627,0.40360265228340925,0.3396341107217776,0.36528195628588145,0.3588107398295464,0.32797445232246647,0.36053350225723485,0.3869498697675252,0.36280849327201337
NGCC,0.004223744292363639,0.0052951883345473925,0.00596357383116084,0.003936319166031314,0.003641984757494651,0.006164383561661891,0.003881278538813121,0.003881278538819431,0.005436973249462254,0.0038422608363053393,0.0038812785388214173,0.00331503097195514,0.004062176164111063,0.003424657534246984,0.005190806038153526,0.003995433789955415,0.0034246575342467226,inf,0.0034246575344646472,0.0037671232876713033
NGCCS,0.12923807838549944,0.12754376633976425,0.12174827247019328,0.1282916458942968,0.1498192853151751,0.12928541343070185,0.12789226476613308,0.12552134885645413,0.13077506047998477,0.1191197098982524,0.15334617827491326,0.15051020726021236,0.11899033650580043,0.11751276669780478,0.12130321654861777,0.12059982637725504,0.12462099041437244,0.11907909732021199,0.12338703847354915,0.10836138647052378
4hr_Battery,0.1798201084942004,0.19818188443022636,0.19594029307335487,0.19451294433353744,0.21226598670156702,0.19805503851758183,0.20670392557808853,0.18613719308683577,0.17023767547097407,0.19644626701609788,0.16513455715640168,0.19228276426920926,0.1870599074617961,0.19655705322178646,0.18878635438891173,0.19243989822215787,0.21656802391295515,0.20061732458454828,0.17603264013802483,0.19374976177794048
Nuclear,,,,,,,,,,,,,,,,,,,,
Fusion,,,,,,,,,,,,,,,,,,,,
ROR,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.4529512359651829,0.45295123596518294,0.4529512359651832,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.4529512359651831,0.45295123596518283,0.4529512359651832,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.45295123596518283,0.45295123596518283
QC_Hydro,0.554622484847691,0.5580012216886127,0.5579662370927588,0.5581371442372416,0.5574064310965835,0.5568010367351459,0.555034355420064,0.5539457018316105,0.5580972845855735,0.5565277394985694,0.5582822579763104,0.5579521975650685,0.5575402043847872,0.5538758951417744,0.5627736470196585,0.5544964417703243,0.5551830765587028,0.5564005837170747,0.5600465355906948,0.5542755448985728
PHS,0.19421526939880154,0.21085789554498285,0.2012228978390495,0.19865920030801174,0.20001023883694205,0.2138584999656177,0.21281054357782928,0.19850540026935834,0.20839209580480142,0.20839779194561714,0.19749459911248948,0.19678158913462315,0.20487319659285672,0.19647377395203522,0.20039082325048208,0.19520173613200087,0.19928285464395584,0.20666161143480657,0.19715801912879546,0.20589918452925823
Commercial_Solar,0.09003346047122322,0.08697329239676273,0.0793083232546914,0.08040291693481294,0.07944524371964218,0.08029413826802344,0.08122439572547163,0.0764029791526332,0.07453721191641964,0.07753586666636694,0.07832047819935399,0.08400228417447878,0.08067676310432191,0.08014408219169954,0.08464580381849343,0.0860646472358978,0.07935051021894163,0.07373947996448557,0.08083324835440202,0.07289756276565207
Residential_Solar,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
