resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,21999.9999996468,21999.999999249358,21999.999999782664,21999.99999911707,21999.99999997871,21999.9999999728,21999.99999589488,21999.999998932257,21999.999998925243,21999.99999971491,21999.99999962016,21999.99999965673,21999.99999989212,21999.999999607626,21999.999998750496,21999.999999593518,21999.999999990287,21999.999999936543,21999.99999411628,21999.999999297284
Onshore_Wind,9999.999999973574,9999.999999292311,9999.999999992431,9999.9999998827,9999.99999997046,9999.999999985936,9999.999999858892,9999.999999860082,9999.999999917034,9999.999999958967,9999.999999726831,9999.99999999023,9999.99999994084,9999.999999975476,9999.999999989604,9999.999999834294,9999.999999905294,9999.99999999928,9999.999999971567,9999.999999939217
Offshore_Fixed,1600.0000001780224,5977.246036641595,3105.197528093821,1600.000056464763,1600.000000766063,4844.816477343825,4434.979842361774,1600.0000011593193,3966.9838143904944,2392.1531889351054,1600.0000009636717,1600.0000034403429,2575.363705257626,1600.000000006523,2099.740747411977,1600.000011865237,2175.0430406832725,1600.0000012920257,1600.0000089409746,1600.0000000448815
Offshore_Floating,7748.000000002686,7748.000000030282,7748.000001316202,7748.000003026207,7748.0000000262,7748.00000095332,7748.000000668706,7748.000000040536,7748.000000264682,7748.000002861654,7748.000002031224,7748.000001199764,7748.000002183539,7748.000000001777,7748.000011953385,7748.00001028052,7748.000000478315,7748.000000368613,7748.000000685017,7748.000000289328
NGCC,3179.0404015294635,4212.6502867048885,4388.806067852176,6177.556424723798,2900.887724154149,1904.2877107203003,2087.818752003235,4211.7304543391365,2963.5522964773754,2581.926849484932,3906.6646944148215,3072.777754721901,3135.7898477110293,3288.55554044702,4140.806461403318,5323.532011289347,3033.0818935249536,2665.176526379837,4740.018698914494,2183.48815104758
NGCCS,7045.588895735693,7510.124828469852,6290.720152232019,6433.008774317549,6537.341048668575,7541.356347482008,8221.155879387943,6972.0292904616745,7423.389679173347,7647.245256800399,6510.295753219262,6360.962516735264,7554.1434000647,8048.5555274900735,6519.205362340008,6575.316778752658,7700.540519354833,7144.338436874569,6035.605770508149,8778.841664833879
4hr_Battery,12799.243682763316,15306.319631706045,13797.551473227702,12036.653879064002,15750.986647013631,15124.409321049094,14582.445009762803,16606.992448434557,13947.333645618382,15937.204733908782,13850.798363233043,13763.547740856166,14930.04832076919,16050.41348143924,13616.436318202985,15481.49113174438,15156.89208987561,15603.931583690155,14468.75857279125,13938.819853205818
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion,8406.672208575126,6078.487210288432,7982.314905838472,8528.32232738299,8737.496057687742,6339.873492341408,7054.160760487312,8592.76759287314,7779.513820525691,7682.741385891898,8665.39599781534,8491.595240011804,7552.286284763205,8514.95939786583,8487.516629073916,8142.703077616486,8249.949742431032,8344.109735939634,8697.360520355513,8620.480181955796
ROR,1958.4999999947884,1958.4999999731103,1958.4999999936065,1958.4999999533416,1958.4999999845104,1958.4999999978445,1958.4999999996703,1958.4999999684196,1958.499999981291,1958.4999999797703,1958.499999973296,1958.4999989853984,1958.4999999860083,1958.499999996948,1958.4999999314975,1958.4999999797708,1958.4999999637575,1958.4999999984548,1958.499999994289,1958.499999986944
QC_Hydro,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0
PHS,1830.1999996956783,1830.1999999435104,1830.199999197044,1830.1999929044127,1830.199999725491,1830.1999996984296,1830.199999077653,1830.199998065381,1830.1999982062416,1830.1999999856373,1830.1999945472812,1830.199985440193,1830.199999305419,1830.1999998501487,1830.1999968210223,1830.1999962399325,1830.1999998257868,1830.1999999970444,1830.1999945131845,1830.199999127261
Commercial_Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential_Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
