resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,22000.0,22000.0,21999.99999999979,21999.99999999998,22000.0,22000.0,22000.0,21999.99999999997,22000.0,22000.0,21999.999999999985,21999.99999999995,22000.0,22000.0,22000.0,22000.0,22000.0,22000.0,22000.0,22000.0
Onshore_Wind,9999.999999999998,10000.0,9999.99999999925,9999.999999999998,9999.999999999998,9999.999999999998,10000.0,9999.999999999984,9999.999999999996,10000.0,9999.999999999987,9999.99999999999,10000.0,10000.0,9999.999999999998,10000.0,9999.999999999998,10000.0,10000.0,10000.0
Offshore_Fixed,22001.419794610905,18851.55996129758,23017.40938549717,23221.353324167943,26481.105980701963,20746.424818288702,22835.513882371168,25060.93521844392,24352.948986609343,20900.63916885816,24996.653907032836,23297.58852354872,20280.073555544197,24584.68666986401,22611.96264583941,21944.22585377719,23295.82269995517,23887.57711230688,22327.06461374455,26292.936077117924
Offshore_Floating,7748.000000000005,7748.000000000005,7748.000000000031,7748.00000000001,7748.000000000001,7748.000000000014,7748.0,7748.000000000071,7748.000000000002,7748.0,7748.000000000005,7748.000000000078,7748.000000000001,7748.0,7748.000000000001,7748.000000000001,7748.000000000033,7748.000000000001,7748.0,7748.0
NGCC,271.01008784332146,2688.0397656851724,2774.344373756164,840.9370116240078,909.2425650264524,101.07465106907236,223.28677496092,884.7673478939879,323.9253679815341,1384.3980630473177,88.33520219800518,401.967242814756,785.3858283902592,531.9561968386867,1576.0381502995028,1144.6095920567534,801.8552919566883,0.0,82.97076489953723,2024.752989571203
NGCCS,11450.429954910644,10698.542024134787,11040.584958259904,11386.211389615331,9750.045035597375,11481.777836083484,11590.073690942038,11628.818470437029,11274.32804750698,12114.35621316866,9696.327210067388,9821.10640956359,12285.126074177906,12542.18760474295,11688.481148881265,12020.167128857314,11761.461871897673,12511.976532045375,12054.84694319247,13129.449123067545
4hr_Battery,17064.485287385458,17361.42023263881,18053.23621945836,19398.633209511358,20769.203702324307,18057.027193423823,18734.837299145023,20710.716992563943,18963.681468286428,16924.464459826257,22875.592590287164,19243.163855997325,17917.162585294463,20968.02939589585,18366.69658719145,19786.232398750635,19060.879490129373,19229.62547305591,19275.0129449824,17982.856280389526
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR,1958.5,1958.5,1958.5,1958.4999999999995,1958.499999999991,1958.4999999999795,1958.5,1958.5,1958.5,1958.5,1958.5,1958.4999999999984,1958.5,1958.499999999998,1958.5,1958.5,1958.5,1958.5,1958.5,1958.5
QC_Hydro,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0,41108.0
PHS,1830.2,1830.199999999973,1830.2,1830.199999999972,1830.199999999989,1830.1999999999773,1830.2,1830.1999999999996,1830.1999999999912,1830.2,1830.1999999999807,1830.199999999904,1830.199999999999,1830.199999999971,1830.2,1830.2,1830.1999999999657,1830.199999999998,1830.2,1830.2
Commercial_Solar,15000.0,14999.999999999942,14999.99999999418,14999.999999999924,14999.999999999998,14999.999999999987,11955.033118754634,14999.999999999973,9502.618178141382,14999.999999999998,14999.999999999996,14999.999999999953,14999.99999999996,14999.999999999998,14999.999999999998,15000.0,14999.999999999962,15000.0,15000.0,15000.0
Residential_Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
