resource,fusion,no_fusion
Utility_Solar,647354446.4545757,563842765.4390322
Onshore_Wind,630881993.99598,509041795.8171661
Offshore_Fixed,293811786.1304151,1599417162.040094
Offshore_Floating,693671241.6878513,520102049.0003271
NGCC,5535307.027060323,1110699.3577314506
NGCCS,212273317.1477838,251249085.53158927
4hr_Battery,242819637.9217258,575525363.7035935
Nuclear,0.0,0.0
Fusion,960392653.0047677,0.0
ROR,155420795.2351935,155420794.16139472
QC_Hydro,4145235466.17588,4003160458.530815
PHS,28351599.5620568,65361981.70058023
Commercial_Solar,0.4665150099157724,210493476.2355373
Residential_Solar,0.1487039644846922,8921.277758196762
