resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,31552389.150413543,30194138.6396762,27658825.960990645,28452016.99122249,27794519.164557777,27912228.622826423,28945161.67822741,26886975.962205708,27336891.321437463,27843944.210004147,27335146.0396579,29297504.07078974,29647690.599775027,28276894.734312374,29272976.114913557,29927369.844945367,27970480.187756583,25677901.10118101,28086734.18850389,25354275.585512545
Onshore_Wind,22984093.82863608,25516195.898935243,23232322.841936663,23216270.103559267,21624435.303133067,24291742.28248149,23802514.98323777,22233882.91415488,23005298.73414852,24835810.084370192,21971606.368809763,21597329.28035347,24020004.483807493,22745453.55077722,23619300.36906982,24411391.33280653,23165797.43839537,22807492.318150934,23353414.835058533,21470591.222087044
Offshore_Fixed,79001567.72831982,74280226.71954699,85825590.92079689,84855236.46530241,90876245.56333044,78416089.3631904,87268616.58422159,87338714.69109431,88245058.63990565,79657580.22158371,86503008.66311005,79977410.06510627,77830216.08727524,88239657.4435552,80890172.78244229,80581062.4466974,87076224.21558297,88470267.16499296,80615890.95726085,88130310.62817472
Offshore_Floating,23687873.88512083,27740236.081356004,26317091.137016498,24066968.65426085,21910970.77867896,26174637.31218629,24066011.71395673,24495128.806648854,24779728.82457689,26905647.370974988,22913155.29138872,24978594.66849761,27393512.945052654,23051809.387281638,24792592.27237437,24353374.7628661,22260439.45576765,24470302.92128413,26263247.29679896,24624712.203434862
NGCC,10027.37325050249,124687.00885608733,144934.26575221456,28997.321132218756,29008.280649179105,5458.031157745894,7591.750348671937,30082.089828447097,15427.880390311286,46596.35370525222,3003.396874738856,11672.996610466796,27947.69018344559,15958.685905162503,71664.75711915038,40061.33572199717,24055.658758701684,1.1355717383957226e-08,2489.122947144617,66816.84865585095
NGCCS,12963324.501169216,11953303.334336985,11774947.996582048,12796220.80514546,12796124.264249977,13003575.215447895,12984779.57271474,12786665.224941067,12915752.166807087,12641193.31599866,13025197.755669922,12948828.42835742,12805466.86170368,12911076.373076012,12420369.152962102,12698759.402388236,12839751.238243677,13051654.271078125,13029727.924894536,12463073.720591463
4hr_Battery,26880389.338991977,30140698.248063307,30987242.026885416,33053978.89186473,38619296.72786624,31328258.49484562,33923664.27364861,33770104.21563036,28280197.531429693,29124791.29196431,33091345.46428505,32413127.75816456,29359865.110604286,36103587.25254373,30374263.61196111,33355106.40937609,36161078.56572978,33794293.092866026,29722955.21642275,30521365.294812728
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROR,7771039.761787221,7771039.761787221,7771039.761787221,7771039.76178722,7771039.761787187,7771039.761787146,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787219,7771039.761787221,7771039.761787219,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787221,7771039.761787221
QC_Hydro,199722928.8983614,200939632.57749727,200927034.411824,200988579.11366767,200725444.8689808,200507438.6786294,199871245.995646,199479215.2194301,200974225.4107553,200409022.68209097,201040835.45339787,200921978.69254237,200773617.44340453,199454077.40599543,202658211.9555529,199677540.01985976,199924801.38189435,200363233.1120676,201676162.5491456,199597993.71328905
PHS,3113766.4058302944,3380590.174935456,3226116.573195249,3185013.959216566,3206674.5546856737,3428697.5213407213,3411896.106059814,3182548.1520993006,3341057.1123794448,3341148.436053288,3166342.429990108,3154911.060443315,3284640.1777811963,3149975.9975222,3212776.294086163,3129581.9850265826,3195012.729787604,3313313.031732328,3160946.193899408,3301089.382722928
Commercial_Solar,11830396.705918731,11428290.620934578,10421113.675662408,10564943.285234366,10439105.02476098,10550649.768418271,8506313.386711888,10039351.460655984,6204696.304567323,10188212.879960615,10291310.835395113,11037900.140526475,10600926.67190787,10530932.399989318,11122458.621750036,11308894.64679697,10426657.042768903,9689367.667333404,10621488.833768426,9578739.747406682
Residential_Solar,8.23900464979754e-06,1.2416838457908418e-07,5.534402409282848e-06,3.394503175509534e-07,7.832169286370941e-07,4.7263341771811593e-07,1.0917949301185697e-08,2.60292264857326e-06,2.5825371588465445e-07,1.672123940394308e-06,2.1114910448769122e-07,1.0500252847388227e-06,6.908882869051947e-07,4.686991709141199e-07,1.849113029608477e-08,5.757365903476222e-07,3.792916090393405e-07,1.0732263104094444e-08,7.695285187275087e-09,3.752222480501743e-09
