Greenfield_year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2001,4.163378255480788e-08,2.4283415619805788e-08,3.206334381124087e-06,2.7138358076876462e-08,3.293530578184257e-07,2.0279343896015654e-08,3.803036567808127e-08,1.6374676368884836e-08,1.5224291393734734e-08,1.4688887551787135e-08,9.32838062173412e-09,5.303413779091817e-08,1.041335059029764,1.601131943476668e-08,1.1322146238588451e-08,2.0279343896015654e-08,4.4737078277003495e-08,1.3059532362318957e-09,9.382519437749252e-09,1.6280134217235669e-06
2002,4.163042356514305e-08,2.4276839032860876e-08,3.2062922345192364e-06,2.7160526493913222e-08,3.293193627383752e-07,2.0290904560077288e-08,3.803711046458095e-08,1.637347715508961e-08,1.5226065993749606e-08,1.4698291981712275e-08,9.327365669363117e-09,5.306134228065588e-08,1.0420036015483383,1.600996013651272e-08,1.1322427381246776e-08,2.0290904560077288e-08,4.47349170205024e-08,1.3058426198733371e-09,9.383958630320586e-09,1.6278957400716132e-06
2003,4.163311268061617e-08,2.428634430996461e-08,3.206224713509465e-06,2.71219759066099e-08,3.294754233324988e-07,2.026991868005166e-08,3.8006103774595615e-08,1.6381238033164042e-08,1.5230072246089962e-08,1.4671428765050316e-08,9.331860003574346e-09,5.300561402829869e-08,1.0401327352843492,1.6017537258177534e-08,1.1321578242768986e-08,2.026991868005166e-08,4.475372455743582e-08,1.3064417722022531e-09,9.377080285111233e-09,1.6285731388549367e-06
2004,4.1633627394082566e-08,2.4281727272646027e-08,3.206202989469487e-06,2.711391277657005e-08,3.293534552528454e-07,2.026366321669851e-08,3.8006667378794173e-08,1.6374774276946055e-08,1.5223769944354535e-08,1.4674807595791398e-08,9.32840247306955e-09,5.299983773654651e-08,1.0404569384306024,1.6011390767901702e-08,1.1319211661165695e-08,2.026366321669851e-08,4.473613300267452e-08,1.3059430701026417e-09,9.3771452981519e-09,1.6280505427880584e-06
2005,4.163474936247018e-08,2.4282832189552672e-08,3.2062242698618668e-06,2.7108068342690034e-08,3.2936775393157795e-07,2.0259992869556137e-08,3.800502929226155e-08,1.6375567535470147e-08,1.5223937927516427e-08,1.467047994916272e-08,9.328847955710857e-09,5.298925304044135e-08,1.0401182637542656,1.6011783365454693e-08,1.13194061731818e-08,2.0259992869556137e-08,4.47373517475491e-08,1.3059744645492547e-09,9.377433879842495e-09,1.628077724733569e-06
2006,4.1631005176855836e-08,2.4277419827095546e-08,3.2064416740165062e-06,2.7193140716519797e-08,3.2933140175712373e-07,2.03102206438575e-08,3.804581938472906e-08,1.637358949045047e-08,1.522758529038686e-08,1.4713957301790712e-08,9.32759172206523e-09,5.31029513766216e-08,1.0430065682891656,1.6010198445375257e-08,1.1323442105176379e-08,2.03102206438575e-08,4.473672024265803e-08,1.3058739295404583e-09,9.384874702235468e-09,1.6279194959278174e-06
2007,4.163245765193418e-08,2.4279975881018167e-08,3.2061301195349083e-06,2.7110234487765105e-08,3.2935145362406184e-07,2.0261235816419182e-08,3.80060148936712e-08,1.6374163564717687e-08,1.5222185271323104e-08,1.4671162096705528e-08,9.328379383529449e-09,5.300007999991671e-08,1.0400711799636344,1.6010653177058866e-08,1.1319047974468333e-08,2.0261235816419182e-08,4.473430962838652e-08,1.3058859653009151e-09,9.379342908046036e-09,1.6279625886909493e-06
2008,576.8994119222489,571.3323082936171,490.33450138193604,2.7122359022955564e-08,3.2937186631649003e-07,2.0267898842039612e-08,55.52096497150639,1.6376317359093456e-08,1.5224287864482974e-08,674.1886245493309,9.328963049089002e-09,5.300844189225628e-08,751.3150194029512,1.601339890868205e-08,70.33587709106648,2.0267898842039612e-08,4.474103786435963e-08,1.3061125730070427e-09,9.380130624080462e-09,66.83659177583792
2009,4.163288371937888e-08,2.428176155496177e-08,3.20610405347738e-06,2.712445239717121e-08,3.2933477016282736e-07,2.0270189735878077e-08,3.8009543015692335e-08,1.6374484685186207e-08,1.5223975050122116e-08,1.4680138196653693e-08,9.327897352824663e-09,5.301073843140283e-08,1.0408530009511088,1.6010897299084595e-08,1.131948869498873e-08,2.0270189735878077e-08,4.4736029955671994e-08,1.3059044291808603e-09,9.377386786484578e-09,1.6279984923786127e-06
2010,263.5397478906908,95.60673954084554,248.8343049288771,2.715020551360268e-08,3.2933487872339156e-07,2.0284355350260375e-08,3.802890737820015e-08,1.637393194563328e-08,1.5224509759220785e-08,263.7459425769662,9.327774632509649e-09,5.304822926556317e-08,275.1582629891194,1.601042438959971e-08,1.1321531977199288e-08,2.0284355350260375e-08,4.473545893273477e-08,1.3058909843008676e-09,9.385451853473502e-09,1.6279070631742125e-06
