Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,1,8760,1,1,18617.24053
,,,,,,,2,17112.23323
,,,,,,,3,16555.9138
,,,,,,,4,16091.05115
,,,,,,,5,15945.1159
,,,,,,,6,16607.06794
,,,,,,,7,17330.20267
,,,,,,,8,18327.94948
,,,,,,,9,19058.02376
,,,,,,,10,20542.48989
,,,,,,,11,21500.98563
,,,,,,,12,23025.37337
,,,,,,,13,24412.74766
,,,,,,,14,23908.45577
,,,,,,,15,23558.76071
,,,,,,,16,23239.74285
,,,,,,,17,23847.33048
,,,,,,,18,24243.20612
,,,,,,,19,27866.70264
,,,,,,,20,27671.55607
,,,,,,,21,26610.66957
,,,,,,,22,25403.56308
,,,,,,,23,23793.40634
,,,,,,,24,21294.58745
,,,,,,,25,17971.89132
,,,,,,,26,17046.38123
,,,,,,,27,16472.91114
,,,,,,,28,16523.325
,,,,,,,29,16567.64436
,,,,,,,30,17601.35331
,,,,,,,31,18997.27933
,,,,,,,32,21487.65947
,,,,,,,33,22738.05486
,,,,,,,34,23851.85569
,,,,,,,35,24451.43713
,,,,,,,36,25824.34668
,,,,,,,37,26704.95443
,,,,,,,38,25930.75213
,,,,,,,39,25671.09917
,,,,,,,40,26898.90613
,,,,,,,41,28969.17959
,,,,,,,42,31978.14594
,,,,,,,43,31249.70502
,,,,,,,44,27109.41347
,,,,,,,45,26026.39423
,,,,,,,46,24588.57668
,,,,,,,47,22761.8667
,,,,,,,48,20955.04218
,,,,,,,49,19861.19742
,,,,,,,50,19107.90483
,,,,,,,51,18752.78258
,,,,,,,52,18780.30004
,,,,,,,53,18940.08328
,,,,,,,54,20371.30593
,,,,,,,55,24284.83304
,,,,,,,56,29857.12681
,,,,,,,57,31214.19309
,,,,,,,58,31137.75591
,,,,,,,59,30346.6054
,,,,,,,60,30958.86603
,,,,,,,61,31083.99549
,,,,,,,62,29719.30744
,,,,,,,63,29507.23217
,,,,,,,64,30685.94972
,,,,,,,65,33202.28271
,,,,,,,66,36569.15613
,,,,,,,67,37118.65964
,,,,,,,68,34115.56626
,,,,,,,69,33266.9535
,,,,,,,70,26482.88621
,,,,,,,71,23696.87465
,,,,,,,72,21915.30835
,,,,,,,73,20491.02078
,,,,,,,74,19576.53313
,,,,,,,75,19289.48627
,,,,,,,76,19312.03444
,,,,,,,77,19703.30494
,,,,,,,78,21153.21981
,,,,,,,79,25708.53347
,,,,,,,80,32205.75325
,,,,,,,81,33590.72922
,,,,,,,82,33083.42185
,,,,,,,83,31692.77755
,,,,,,,84,32067.32641
,,,,,,,85,32438.11832
,,,,,,,86,31312.00576
,,,,,,,87,31214.22703
,,,,,,,88,32606.18196
,,,,,,,89,35461.56084
,,,,,,,90,38748.53588
,,,,,,,91,38681.6582
,,,,,,,92,35206.97944
,,,,,,,93,33888.72209
,,,,,,,94,26583.35389
,,,,,,,95,23525.37371
,,,,,,,96,21665.102
,,,,,,,97,19587.76235
,,,,,,,98,18865.49385
,,,,,,,99,18408.34977
,,,,,,,100,18353.33188
,,,,,,,101,18484.50881
,,,,,,,102,19838.83909
,,,,,,,103,24132.16837
,,,,,,,104,30329.81266
,,,,,,,105,32008.06203
,,,,,,,106,31728.57688
,,,,,,,107,30990.39057
,,,,,,,108,31637.55734
,,,,,,,109,31574.21957
,,,,,,,110,29892.8047
,,,,,,,111,29621.44888
,,,,,,,112,30890.29129
,,,,,,,113,33492.59499
,,,,,,,114,36576.11801
,,,,,,,115,36711.17776
,,,,,,,116,32919.86171
,,,,,,,117,31708.49206
,,,,,,,118,25407.43977
,,,,,,,119,22468.56799
,,,,,,,120,20560.38184
,,,,,,,121,18482.16454
,,,,,,,122,17196.8161
,,,,,,,123,16618.49265
,,,,,,,124,16326.89551
,,,,,,,125,16230.07633
,,,,,,,126,17197.36806
,,,,,,,127,20680.26605
,,,,,,,128,26240.87189
,,,,,,,129,27696.23937
,,,,,,,130,27947.46783
,,,,,,,131,27128.82026
,,,,,,,132,27797.12917
,,,,,,,133,28464.22878
,,,,,,,134,28074.4587
,,,,,,,135,28609.2394
,,,,,,,136,30313.97582
,,,,,,,137,32838.6004
,,,,,,,138,35657.48593
,,,,,,,139,34768.45899
,,,,,,,140,30703.63042
,,,,,,,141,29039.02253
,,,,,,,142,24008.14437
,,,,,,,143,21456.77548
,,,,,,,144,19681.65829
,,,,,,,145,18326.24248
,,,,,,,146,16671.41582
,,,,,,,147,16180.78958
,,,,,,,148,15962.03728
,,,,,,,149,15915.42866
,,,,,,,150,16883.43532
,,,,,,,151,17933.27823
,,,,,,,152,19356.40267
,,,,,,,153,20481.48048
,,,,,,,154,22262.50292
,,,,,,,155,23511.39833
,,,,,,,156,24773.83561
,,,,,,,157,26131.13564
,,,,,,,158,25332.94047
,,,,,,,159,25044.3743
,,,,,,,160,24306.94236
,,,,,,,161,24931.76831
,,,,,,,162,24731.67159
,,,,,,,163,27743.76722
,,,,,,,164,27285.45326
,,,,,,,165,26118.57101
,,,,,,,166,25025.06477
,,,,,,,167,23230.82533
,,,,,,,168,20601.14018
,,,,,,,169,17501.64926
,,,,,,,170,15848.25417
,,,,,,,171,15283.30328
,,,,,,,172,14986.72865
,,,,,,,173,14984.28765
,,,,,,,174,15646.57331
,,,,,,,175,16478.95556
,,,,,,,176,17800.15463
,,,,,,,177,18257.70031
,,,,,,,178,19675.54228
,,,,,,,179,20782.67034
,,,,,,,180,22188.76449
,,,,,,,181,23464.37626
,,,,,,,182,23170.52383
,,,,,,,183,23096.0429
,,,,,,,184,22652.18084
,,,,,,,185,23723.03702
,,,,,,,186,23820.54222
,,,,,,,187,27346.87206
,,,,,,,188,27144.75024
,,,,,,,189,25962.53219
,,,,,,,190,24540.23775
,,,,,,,191,22710.00895
,,,,,,,192,19971.62896
,,,,,,,193,16985.93081
,,,,,,,194,15938.43851
,,,,,,,195,15470.91671
,,,,,,,196,15477.0899
,,,,,,,197,15582.95224
,,,,,,,198,16868.10286
,,,,,,,199,20777.73131
,,,,,,,200,26668.32764
,,,,,,,201,27892.15072
,,,,,,,202,27532.88519
,,,,,,,203,26668.23257
,,,,,,,204,27311.58823
,,,,,,,205,27943.86335
,,,,,,,206,27560.44134
,,,,,,,207,27800.23143
,,,,,,,208,29368.69993
,,,,,,,209,31875.49004
,,,,,,,210,34893.2419
,,,,,,,211,35444.5855
,,,,,,,212,31948.73711
,,,,,,,213,30796.29351
,,,,,,,214,25131.88907
,,,,,,,215,22357.06189
,,,,,,,216,20477.49385
,,,,,,,217,18872.21642
,,,,,,,218,17926.05625
,,,,,,,219,17474.87088
,,,,,,,220,17574.70935
,,,,,,,221,17803.71491
,,,,,,,222,19269.11819
,,,,,,,223,23232.70355
,,,,,,,224,29292.7381
,,,,,,,225,31161.59775
,,,,,,,226,31149.19515
,,,,,,,227,30614.43583
,,,,,,,228,31379.20815
,,,,,,,229,31845.20424
,,,,,,,230,30861.08527
,,,,,,,231,30470.5009
,,,,,,,232,31447.64312
,,,,,,,233,33816.97325
,,,,,,,234,36835.70636
,,,,,,,235,36591.97845
,,,,,,,236,32854.32879
,,,,,,,237,31900.09628
,,,,,,,238,26693.09694
,,,,,,,239,24036.02431
,,,,,,,240,21830.8417
,,,,,,,241,19731.78369
,,,,,,,242,18665.49769
,,,,,,,243,18230.50982
,,,,,,,244,18304.09326
,,,,,,,245,18451.14969
,,,,,,,246,19766.32671
,,,,,,,247,23377.10831
,,,,,,,248,28970.36024
,,,,,,,249,29948.68865
,,,,,,,250,29566.45465
,,,,,,,251,28510.4514
,,,,,,,252,29154.20502
,,,,,,,253,29443.69929
,,,,,,,254,28309.99998
,,,,,,,255,28226.44808
,,,,,,,256,29551.68205
,,,,,,,257,31775.94458
,,,,,,,258,34942.39361
,,,,,,,259,34599.58994
,,,,,,,260,30923.8406
,,,,,,,261,29585.09502
,,,,,,,262,24125.44214
,,,,,,,263,21465.09135
,,,,,,,264,19441.39252
,,,,,,,265,17075.95415
,,,,,,,266,16116.63313
,,,,,,,267,15597.3757
,,,,,,,268,15534.85036
,,,,,,,269,15677.82882
,,,,,,,270,17001.2793
,,,,,,,271,20757.3118
,,,,,,,272,26286.08936
,,,,,,,273,28019.14531
,,,,,,,274,28350.57209
,,,,,,,275,28056.88688
,,,,,,,276,29138.27787
,,,,,,,277,30074.17621
,,,,,,,278,29513.89753
,,,,,,,279,29570.99607
,,,,,,,280,31170.09451
,,,,,,,281,33543.47738
,,,,,,,282,36131.04075
,,,,,,,283,35395.55288
,,,,,,,284,31687.87591
,,,,,,,285,30492.04264
,,,,,,,286,25590.71733
,,,,,,,287,22938.16433
,,,,,,,288,20924.33513
,,,,,,,289,19361.72636
,,,,,,,290,18435.61166
,,,,,,,291,17911.62251
,,,,,,,292,18019.54592
,,,,,,,293,18217.81656
,,,,,,,294,19613.71319
,,,,,,,295,22725.09437
,,,,,,,296,27763.15407
,,,,,,,297,30250.14542
,,,,,,,298,30809.7555
,,,,,,,299,30575.06441
,,,,,,,300,31306.68347
,,,,,,,301,30991.93496
,,,,,,,302,29772.75376
,,,,,,,303,29533.57803
,,,,,,,304,30480.74031
,,,,,,,305,32763.62687
,,,,,,,306,35550.48875
,,,,,,,307,34503.06517
,,,,,,,308,30403.26494
,,,,,,,309,29339.96491
,,,,,,,310,24806.00015
,,,,,,,311,22311.66623
,,,,,,,312,20610.19649
,,,,,,,313,19964.99969
,,,,,,,314,18219.4402
,,,,,,,315,17641.54809
,,,,,,,316,17435.75422
,,,,,,,317,17410.36357
,,,,,,,318,18235.74949
,,,,,,,319,19338.6029
,,,,,,,320,20615.86149
,,,,,,,321,21625.24635
,,,,,,,322,23083.0855
,,,,,,,323,24228.95909
,,,,,,,324,25515.39317
,,,,,,,325,26481.51093
,,,,,,,326,25305.46262
,,,,,,,327,24730.44537
,,,,,,,328,24221.57831
,,,,,,,329,25149.88916
,,,,,,,330,25026.66277
,,,,,,,331,27937.99329
,,,,,,,332,27787.6832
,,,,,,,333,26503.61628
,,,,,,,334,25276.90441
,,,,,,,335,23523.60809
,,,,,,,336,21381.43372
,,,,,,,337,19486.02674
,,,,,,,338,18113.19268
,,,,,,,339,17629.04991
,,,,,,,340,17414.43359
,,,,,,,341,17602.44111
,,,,,,,342,18441.89729
,,,,,,,343,19467.87139
,,,,,,,344,20707.37711
,,,,,,,345,21310.66274
,,,,,,,346,22428.76015
,,,,,,,347,23079.23633
,,,,,,,348,24264.92052
,,,,,,,349,25655.21672
,,,,,,,350,25710.03381
,,,,,,,351,26151.01513
,,,,,,,352,26487.57474
,,,,,,,353,27700.9185
,,,,,,,354,27604.2133
,,,,,,,355,30868.83921
,,,,,,,356,30656.02557
,,,,,,,357,29085.99437
,,,,,,,358,27927.31205
,,,,,,,359,26013.93715
,,,,,,,360,23471.07212
,,,,,,,361,19571.21579
,,,,,,,362,18685.26705
,,,,,,,363,18237.14005
,,,,,,,364,18278.2416
,,,,,,,365,18382.07539
,,,,,,,366,19497.0387
,,,,,,,367,21137.66743
,,,,,,,368,24193.05799
,,,,,,,369,25953.30792
,,,,,,,370,26613.30148
,,,,,,,371,26419.89682
,,,,,,,372,27332.4055
,,,,,,,373,27955.48041
,,,,,,,374,27058.13676
,,,,,,,375,27032.45629
,,,,,,,376,28534.25313
,,,,,,,377,30870.06166
,,,,,,,378,32994.5363
,,,,,,,379,32170.68859
,,,,,,,380,27841.18088
,,,,,,,381,26044.75968
,,,,,,,382,24618.57746
,,,,,,,383,22403.11686
,,,,,,,384,20444.43665
,,,,,,,385,17772.31453
,,,,,,,386,16584.62056
,,,,,,,387,16025.37925
,,,,,,,388,15807.71472
,,,,,,,389,15976.40827
,,,,,,,390,17302.98384
,,,,,,,391,21217.22417
,,,,,,,392,26850.60823
,,,,,,,393,28028.35305
,,,,,,,394,27796.15359
,,,,,,,395,26826.54817
,,,,,,,396,27375.87858
,,,,,,,397,28017.71641
,,,,,,,398,27576.41165
,,,,,,,399,27852.18009
,,,,,,,400,29618.72363
,,,,,,,401,32492.41536
,,,,,,,402,35487.79759
,,,,,,,403,34974.4814
,,,,,,,404,30983.08031
,,,,,,,405,29492.20891
,,,,,,,406,24152.7227
,,,,,,,407,21392.19764
,,,,,,,408,19335.6466
,,,,,,,409,17543.46148
,,,,,,,410,16622.18689
,,,,,,,411,16158.53977
,,,,,,,412,16138.40647
,,,,,,,413,16394.76493
,,,,,,,414,18001.43796
,,,,,,,415,21841.06522
,,,,,,,416,27184.05287
,,,,,,,417,28660.77895
,,,,,,,418,28692.02766
,,,,,,,419,28268.57799
,,,,,,,420,29046.36497
,,,,,,,421,29431.48508
,,,,,,,422,28434.40192
,,,,,,,423,28281.77774
,,,,,,,424,29623.01477
,,,,,,,425,32037.52322
,,,,,,,426,34836.35657
,,,,,,,427,34737.06242
,,,,,,,428,31191.50833
,,,,,,,429,29942.75259
,,,,,,,430,25111.27464
,,,,,,,431,22446.69078
,,,,,,,432,20500.12496
,,,,,,,433,19215.54183
,,,,,,,434,18210.07387
,,,,,,,435,17773.19767
,,,,,,,436,17675.64984
,,,,,,,437,17827.14883
,,,,,,,438,19116.95801
,,,,,,,439,23287.73058
,,,,,,,440,29376.13308
,,,,,,,441,30551.0874
,,,,,,,442,29898.72799
,,,,,,,443,28862.77436
,,,,,,,444,29199.96542
,,,,,,,445,29557.60406
,,,,,,,446,28912.52567
,,,,,,,447,28960.98614
,,,,,,,448,30495.9772
,,,,,,,449,33042.61594
,,,,,,,450,35702.33737
,,,,,,,451,35980.66573
,,,,,,,452,32988.94418
,,,,,,,453,31917.98984
,,,,,,,454,24963.99203
,,,,,,,455,22118.54723
