Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
50000,1,1,1,1,168,1,1,0,2511.3,2511.3,2511.3,2511.3,2511.3,2511.3
,,,,,,,2,0,2399.7,2399.7,2399.7,2399.7,2399.7,2399.7
,,,,,,,3,0,2295.5,2295.5,2295.5,2295.5,2295.5,2295.5
,,,,,,,4,0,2184.4,2184.4,2184.4,2184.4,2184.4,2184.4
,,,,,,,5,0,2086.2,2086.2,2086.2,2086.2,2086.2,2086.2
,,,,,,,6,0,1990.2,1990.2,1990.2,1990.2,1990.2,1990.2
,,,,,,,7,0,1917.7,1917.7,1917.7,1917.7,1917.7,1917.7
,,,,,,,8,0,1873.9,1873.9,1873.9,1873.9,1873.9,1873.9
,,,,,,,9,0,1861.0,1861.0,1861.0,1861.0,1861.0,1861.0
,,,,,,,10,0,1880.2,1880.2,1880.2,1880.2,1880.2,1880.2
,,,,,,,11,0,1940.7,1940.7,1940.7,1940.7,1940.7,1940.7
,,,,,,,12,0,2026.9,2026.9,2026.9,2026.9,2026.9,2026.9
,,,,,,,13,0,2097.5,2097.5,2097.5,2097.5,2097.5,2097.5
,,,,,,,14,0,2199.7,2199.7,2199.7,2199.7,2199.7,2199.7
,,,,,,,15,0,2291.9,2291.9,2291.9,2291.9,2291.9,2291.9
,,,,,,,16,0,2400.9,2400.9,2400.9,2400.9,2400.9,2400.9
,,,,,,,17,0,2430.4,2430.4,2430.4,2430.4,2430.4,2430.4
,,,,,,,18,0,2399.0,2399.0,2399.0,2399.0,2399.0,2399.0
,,,,,,,19,0,2358.0,2358.0,2358.0,2358.0,2358.0,2358.0
,,,,,,,20,0,2325.1,2325.1,2325.1,2325.1,2325.1,2325.1
,,,,,,,21,0,2362.6,2362.6,2362.6,2362.6,2362.6,2362.6
,,,,,,,22,0,2525.2,2525.2,2525.2,2525.2,2525.2,2525.2
,,,,,,,23,0,2634.7,2634.7,2634.7,2634.7,2634.7,2634.7
,,,,,,,24,0,2582.5,2582.5,2582.5,2582.5,2582.5,2582.5
,,,,,,,25,0,2493.8,2493.8,2493.8,2493.8,2493.8,2493.8
,,,,,,,26,0,2396.4,2396.4,2396.4,2396.4,2396.4,2396.4
,,,,,,,27,0,2280.6,2280.6,2280.6,2280.6,2280.6,2280.6
,,,,,,,28,0,2142.9,2142.9,2142.9,2142.9,2142.9,2142.9
,,,,,,,29,0,2009.2,2009.2,2009.2,2009.2,2009.2,2009.2
,,,,,,,30,0,1903.3,1903.3,1903.3,1903.3,1903.3,1903.3
,,,,,,,31,0,1828.5,1828.5,1828.5,1828.5,1828.5,1828.5
,,,,,,,32,0,1788.3,1788.3,1788.3,1788.3,1788.3,1788.3
,,,,,,,33,0,1769.5,1769.5,1769.5,1769.5,1769.5,1769.5
,,,,,,,34,0,1777.0,1777.0,1777.0,1777.0,1777.0,1777.0
,,,,,,,35,0,1822.3,1822.3,1822.3,1822.3,1822.3,1822.3
,,,,,,,36,0,1905.0,1905.0,1905.0,1905.0,1905.0,1905.0
,,,,,,,37,0,2001.5,2001.5,2001.5,2001.5,2001.5,2001.5
,,,,,,,38,0,2136.3,2136.3,2136.3,2136.3,2136.3,2136.3
,,,,,,,39,0,2327.6,2327.6,2327.6,2327.6,2327.6,2327.6
,,,,,,,40,0,2426.7,2426.7,2426.7,2426.7,2426.7,2426.7
,,,,,,,41,0,2480.6,2480.6,2480.6,2480.6,2480.6,2480.6
,,,,,,,42,0,2493.4,2493.4,2493.4,2493.4,2493.4,2493.4
,,,,,,,43,0,2415.6,2415.6,2415.6,2415.6,2415.6,2415.6
,,,,,,,44,0,2352.2,2352.2,2352.2,2352.2,2352.2,2352.2
,,,,,,,45,0,2309.3,2309.3,2309.3,2309.3,2309.3,2309.3
,,,,,,,46,0,2435.7,2435.7,2435.7,2435.7,2435.7,2435.7
,,,,,,,47,0,2581.6,2581.6,2581.6,2581.6,2581.6,2581.6
,,,,,,,48,0,2551.4,2551.4,2551.4,2551.4,2551.4,2551.4
,,,,,,,49,0,2475.3,2475.3,2475.3,2475.3,2475.3,2475.3
,,,,,,,50,0,2383.6,2383.6,2383.6,2383.6,2383.6,2383.6
,,,,,,,51,0,2276.4,2276.4,2276.4,2276.4,2276.4,2276.4
,,,,,,,52,0,2145.5,2145.5,2145.5,2145.5,2145.5,2145.5
,,,,,,,53,0,2019.1,2019.1,2019.1,2019.1,2019.1,2019.1
,,,,,,,54,0,1918.6,1918.6,1918.6,1918.6,1918.6,1918.6
,,,,,,,55,0,1856.0,1856.0,1856.0,1856.0,1856.0,1856.0
,,,,,,,56,0,1826.1,1826.1,1826.1,1826.1,1826.1,1826.1
,,,,,,,57,0,1820.3,1820.3,1820.3,1820.3,1820.3,1820.3
,,,,,,,58,0,1837.2,1837.2,1837.2,1837.2,1837.2,1837.2
,,,,,,,59,0,1885.0,1885.0,1885.0,1885.0,1885.0,1885.0
,,,,,,,60,0,1966.1,1966.1,1966.1,1966.1,1966.1,1966.1
,,,,,,,61,0,2057.0,2057.0,2057.0,2057.0,2057.0,2057.0
,,,,,,,62,0,2180.4,2180.4,2180.4,2180.4,2180.4,2180.4
,,,,,,,63,0,2311.5,2311.5,2311.5,2311.5,2311.5,2311.5
,,,,,,,64,0,2408.5,2408.5,2408.5,2408.5,2408.5,2408.5
,,,,,,,65,0,2488.1,2488.1,2488.1,2488.1,2488.1,2488.1
,,,,,,,66,0,2548.8,2548.8,2548.8,2548.8,2548.8,2548.8
,,,,,,,67,0,2533.3,2533.3,2533.3,2533.3,2533.3,2533.3
,,,,,,,68,0,2525.5,2525.5,2525.5,2525.5,2525.5,2525.5
,,,,,,,69,0,2542.8,2542.8,2542.8,2542.8,2542.8,2542.8
,,,,,,,70,0,2666.7,2666.7,2666.7,2666.7,2666.7,2666.7
,,,,,,,71,0,2758.0,2758.0,2758.0,2758.0,2758.0,2758.0
,,,,,,,72,0,2699.9,2699.9,2699.9,2699.9,2699.9,2699.9
,,,,,,,73,0,2596.0,2596.0,2596.0,2596.0,2596.0,2596.0
,,,,,,,74,0,2479.2,2479.2,2479.2,2479.2,2479.2,2479.2
,,,,,,,75,0,2330.5,2330.5,2330.5,2330.5,2330.5,2330.5
,,,,,,,76,0,2161.9,2161.9,2161.9,2161.9,2161.9,2161.9
,,,,,,,77,0,2015.8,2015.8,2015.8,2015.8,2015.8,2015.8
,,,,,,,78,0,1915.4,1915.4,1915.4,1915.4,1915.4,1915.4
,,,,,,,79,0,1858.6,1858.6,1858.6,1858.6,1858.6,1858.6
,,,,,,,80,0,1838.6,1838.6,1838.6,1838.6,1838.6,1838.6
