Time_Index,res_hydro_1,natural_gas_ccs_2,solar_pv_2,onshore_wind_2,battery_2,offshore_wind_2,natural_gas_2,nuclear_2,ror_hydro_2,pumped_hydro_2,fusion_2,natural_gas_ccs_3,solar_pv_3,onshore_wind_3,battery_3,offshore_wind_3,natural_gas_3,nuclear_3,ror_hydro_3,pumped_hydro_3,fusion_3,natural_gas_ccs_4,solar_pv_4,onshore_wind_4,battery_4,offshore_wind_4,natural_gas_4,nuclear_4,ror_hydro_4,pumped_hydro_4,fusion_4,natural_gas_ccs_5,solar_pv_5,onshore_wind_5,battery_5,offshore_wind_5,natural_gas_5,nuclear_5,ror_hydro_5,pumped_hydro_5,fusion_5,natural_gas_ccs_6,solar_pv_6,onshore_wind_6,battery_6,offshore_wind_6,natural_gas_6,nuclear_6,ror_hydro_6,pumped_hydro_6,fusion_6,natural_gas_ccs_7,solar_pv_7,onshore_wind_7,battery_7,offshore_wind_7,natural_gas_7,nuclear_7,ror_hydro_7,pumped_hydro_7,fusion_7
1,2.62E-01,1,0,0.591423424,1,0.81,1,1,0.552743642,1,1,1,0,0.512712708,1,0,1,1,0.552743642,1,1,1,0,0.532008,1,0,1,1,0.552743642,1,1,1,0,0.512712708,1,0,1,1,0.552743642,1,1,1,0,0.532008,1,0.81,1,1,0.552743642,1,1,1,0,0.548152163,1,0,1,1,0.552743642,1,1
2,2.62E-01,1,0,0.560163183,1,0.81,1,1,0.552743642,1,1,1,0,0.437919286,1,0,1,1,0.552743642,1,1,1,0,0.4732506,1,0,1,1,0.552743642,1,1,1,0,0.437919286,1,0,1,1,0.552743642,1,1,1,0,0.4732506,1,0.81,1,1,0.552743642,1,1,1,0,0.500278414,1,0,1,1,0.552743642,1,1
3,2.62E-01,1,0,0.580711191,1,0.81,1,1,0.552743642,1,1,1,0,0.476454505,1,0,1,1,0.552743642,1,1,1,0,0.48795696,1,0,1,1,0.552743642,1,1,1,0,0.476454505,1,0,1,1,0.552743642,1,1,1,0,0.48795696,1,0.81,1,1,0.552743642,1,1,1,0,0.539711073,1,0,1,1,0.552743642,1,1
4,2.62E-01,1,0,0.553177444,1,0.81,1,1,0.552743642,1,1,1,0,0.43497291,1,0,1,1,0.552743642,1,1,1,0,0.49141728,1,0,1,1,0.552743642,1,1,1,0,0.43497291,1,0,1,1,0.552743642,1,1,1,0,0.49141728,1,0.81,1,1,0.552743642,1,1,1,0,0.490631649,1,0,1,1,0.552743642,1,1
5,2.62E-01,1,0,0.547210645,1,0.81,1,1,0.552743642,1,1,1,0,0.485464311,1,0,1,1,0.552743642,1,1,1,0,0.56136888,1,0,1,1,0.552743642,1,1,1,0,0.485464311,1,0,1,1,0.552743642,1,1,1,0,0.56136888,1,0.81,1,1,0.552743642,1,1,1,0,0.48002429,1,0,1,1,0.552743642,1,1
6,2.62E-01,1,0,0.514492304,1,0.81,1,1,0.552743642,1,1,1,0,0.496841576,1,0,1,1,0.552743642,1,1,1,0,0.6185565,1,0,1,1,0.552743642,1,1,1,0,0.496841576,1,0,1,1,0.552743642,1,1,1,0,0.6185565,1,0.81,1,1,0.552743642,1,1,1,0,0.441335243,1,0,1,1,0.552743642,1,1
7,2.62E-01,1,0,0.457350476,1,0.81,1,1,0.552743642,1,1,1,0,0.424169242,1,0,1,1,0.552743642,1,1,1,0,0.51809058,1,0,1,1,0.552743642,1,1,1,0,0.424169242,1,0,1,1,0.552743642,1,1,1,0,0.51809058,1,0.81,1,1,0.552743642,1,1,1,0,0.389311442,1,0,1,1,0.552743642,1,1
8,2.62E-01,1,0.016795484,0.470677552,1,0.81,1,1,0.552743642,1,1,1,0.040059958,0.424078862,1,0,1,1,0.552743642,1,1,1,0.031898989,0.58238352,1,0,1,1,0.552743642,1,1,1,0.040059958,0.424078862,1,0,1,1,0.552743642,1,1,1,0.031898989,0.58238352,1,0.81,1,1,0.552743642,1,1,1,0.024572539,0.37696712,1,0,1,1,0.552743642,1,1
9,2.62E-01,1,0.234104981,0.462512224,1,0.81,1,1,0.552743642,1,1,1,0.31512662,0.454813098,1,0,1,1,0.552743642,1,1,1,0.315743136,0.56420064,1,0,1,1,0.552743642,1,1,1,0.31512662,0.454813098,1,0,1,1,0.552743642,1,1,1,0.315743136,0.56420064,1,0.81,1,1,0.552743642,1,1,1,0.252316919,0.388016458,1,0,1,1,0.552743642,1,1
10,2.62E-01,1,0.463872941,0.513256107,1,0.81,1,1,0.552743642,1,1,1,0.55232781,0.461230795,1,0,1,1,0.552743642,1,1,1,0.552967223,0.55466208,1,0,1,1,0.552743642,1,1,1,0.55232781,0.461230795,1,0,1,1,0.552743642,1,1,1,0.552967223,0.55466208,1,0.81,1,1,0.552743642,1,1,1,0.550721877,0.464888478,1,0,1,1,0.552743642,1,1
11,2.62E-01,1,0.654095231,0.514679549,1,0.81,1,1,0.552743642,1,1,1,0.774557697,0.477911773,1,0,1,1,0.552743642,1,1,1,0.775285612,0.631071,1,0,1,1,0.552743642,1,1,1,0.774557697,0.477911773,1,0,1,1,0.552743642,1,1,1,0.775285612,0.631071,1,0.81,1,1,0.552743642,1,1,1,0.773620287,0.461500363,1,0,1,1,0.552743642,1,1
