Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
50000,1,1,1,1,43800,1,1,26065.8,2630.074449,1809.275689,1213.656799,6566.580378,1803.294164,3748.81315
,,,,,,,2,25944.3,2426.298659,1715.424128,1110.251234,5935.982965,1683.01407,3381.553145
,,,,,,,3,25414.1,2572.198361,1694.525461,1148.320676,5674.219162,1651.014961,3261.812278
,,,,,,,4,25271.4,2597.628829,1674.042421,1110.194419,5438.632619,1654.367216,3240.890387
,,,,,,,5,25413.1,2670.62086,1681.956048,1121.991273,5245.236924,1689.195794,3142.323614
,,,,,,,6,25741.4,2854.716692,1787.743132,1197.861131,5357.117222,1857.483967,3363.228128
,,,,,,,7,26330.3,3018.373215,1865.827051,1270.656052,5555.081144,1985.541953,3517.788417
,,,,,,,8,27308.2,3221.473553,1985.408322,1339.91027,5858.889847,2064.137266,3634.861762
,,,,,,,9,27572.4,3156.598386,1995.819816,1348.53657,5959.831656,2105.945757,3675.799109
,,,,,,,10,28307.1,3474.960171,2165.030308,1462.789981,6513.284568,2272.361212,3877.06875
,,,,,,,11,28956,3523.155514,2315.686143,1544.730297,6906.62686,2284.815583,4209.017441
,,,,,,,12,28778,3728.852273,2515.812327,1669.283323,7596.380256,2445.250642,4526.599934
,,,,,,,13,28595.3,3859.509405,2594.523344,1731.818031,8303.629885,2469.604696,4814.210327
,,,,,,,14,28331.6,3651.106627,2496.72099,1617.082743,8337.70597,2354.758113,4679.817073
,,,,,,,15,27942.9,3403.795634,2419.448052,1532.016269,8461.348171,2178.596747,4667.824659
,,,,,,,16,28080.7,3267.676802,2296.911439,1459.31857,8371.15025,2047.362,4592.111898
,,,,,,,17,28879.9,3326.209892,2335.28115,1498.139616,8574.929333,2135.172315,4715.092361
,,,,,,,18,29407.2,3487.309614,2406.867706,1551.700759,8547.703687,2234.714302,4709.780801
,,,,,,,19,29154.4,3909.367232,2706.023287,1763.652526,10155.29769,2502.827048,5616.737288
,,,,,,,20,28456.3,3843.940785,2672.466143,1754.597105,10168.49342,2545.932009,5621.161933
,,,,,,,21,28190.6,3709.54683,2570.525131,1664.804867,9655.933112,2465.158062,5396.392588
,,,,,,,22,27602.7,3535.588272,2445.881121,1605.575064,9165.610095,2387.330794,5129.683181
,,,,,,,23,26457.6,3358.948111,2296.720066,1506.248374,8492.100669,2237.895708,4756.729874
,,,,,,,24,25854.6,3028.593355,2010.076399,1347.21474,7495.014164,2045.998106,4242.888797
,,,,,,,25,25241.7,2579.13479,1682.2709,1145.575058,5987.911483,1797.654121,3504.864038
,,,,,,,26,24983.8,2443.989921,1585.059658,1077.983509,5493.829374,1673.334686,3183.848902
,,,,,,,27,24775.3,2395.70553,1529.879994,1037.69933,5174.529284,1606.56483,2994.959024
,,,,,,,28,24890.9,2416.615321,1515.926273,1008.982136,5051.549354,1561.996698,2957.877893
,,,,,,,29,25197.2,2471.676441,1533.558597,1026.667231,4945.367678,1569.460771,2952.996454
,,,,,,,30,25515.3,2644.273288,1648.377717,1092.48364,5277.361726,1694.898472,3169.179209
,,,,,,,31,26077.9,2847.556876,1783.184758,1195.695535,5641.366788,1820.5699,3446.970644
,,,,,,,32,26177.2,3162.695102,2023.178533,1367.720653,6569.700538,2017.890345,3980.910703
,,,,,,,33,26364.9,3333.149877,2137.966434,1430.904122,6916.731288,2078.957423,4162.809836
,,,,,,,34,27228,3400.315255,2257.32439,1477.406058,7355.014543,2171.395751,4417.907361
,,,,,,,35,28016.9,3499.558807,2336.493511,1542.994362,7654.768349,2241.317975,4546.202467
,,,,,,,36,28159.6,3597.427994,2441.396383,1602.731201,8292.988931,2317.694464,4895.560755
,,,,,,,37,27702.6,3695.839835,2522.027343,1667.687247,8821.085421,2371.699085,5140.314192
,,,,,,,38,27472.7,3555.26336,2461.354207,1602.030471,8887.031005,2328.968308,5105.024585
,,,,,,,39,27600.8,3391.805384,2422.357197,1567.863092,9068.777477,2288.082742,5170.025503
,,,,,,,40,28219.1,3428.696383,2498.013882,1588.560379,9795.99193,2327.963939,5578.348357
,,,,,,,41,30367.7,3701.965627,2667.867536,1700.08756,10620.82779,2502.180648,6101.857933
,,,,,,,42,31466.3,4083.69065,2943.153693,1877.346514,11849.5745,2712.281742,6768.880176
,,,,,,,43,31538.5,3974.703811,2866.107041,1835.564279,11421.57169,2697.357606,6734.03585
,,,,,,,44,30983.5,3583.271163,2501.547135,1650.026707,9553.211759,2476.396732,5728.828784
,,,,,,,45,30427.1,3419.617051,2399.606517,1574.383539,8988.789115,2380.413802,5453.414636
,,,,,,,46,29566.9,3284.652514,2268.093148,1499.083679,8313.701715,2256.351573,5110.797075
,,,,,,,47,28875,3061.749379,2089.921301,1398.804338,7565.401897,2122.581631,4691.684836
,,,,,,,48,27866.4,2856.475156,1902.576447,1291.689337,6882.83959,1946.385339,4301.463641
,,,,,,,49,27790.9,2763.445401,1857.052869,1227.257914,6325.706621,1833.904247,4028.909052
,,,,,,,50,27588.4,2654.03728,1770.072617,1197.100335,5931.889585,1796.481719,3895.25984
,,,,,,,51,27731.7,2719.882212,1845.632749,1209.863566,5733.481685,1837.758589,3763.993018
,,,,,,,52,28085.7,2941.814658,1889.774321,1285.550091,5669.098451,1857.759832,3828.64777
,,,,,,,53,28853.4,3062.346629,1947.884638,1347.358767,5762.21789,2055.265189,3933.139187
,,,,,,,54,30244.7,3343.738729,2144.505422,1468.990431,6276.090813,2247.680928,4270.380569
,,,,,,,55,31841.3,3864.216184,2572.371421,1746.471238,7842.4772,2635.609996,5259.164568
,,,,,,,56,33048,4555.581485,3171.875714,2106.277558,10234.49069,3055.214468,6649.427108
,,,,,,,57,33715.3,4751.854144,3309.276415,2225.863813,10746.29083,3196.535325,6921.872895
,,,,,,,58,33963.6,4722.235834,3299.712001,2236.70193,10642.35278,3274.469594,6811.335853
,,,,,,,59,33386.4,4736.266449,3266.736984,2223.69488,10327.177,3225.808111,6622.584146
,,,,,,,60,34169.7,4828.499956,3375.482668,2258.553283,10678.74064,3282.425001,6785.436974
,,,,,,,61,33651.2,4871.746717,3424.644471,2345.634116,10978.7689,3321.657871,6922.953035
,,,,,,,62,33337.7,4694.28314,3307.456803,2255.076316,10906.12053,3208.998259,6823.162897
,,,,,,,63,33759.2,4547.079813,3236.495626,2182.351357,11059.26791,3071.417975,6863.381644
,,,,,,,64,35027.5,4629.5686,3350.609871,2233.003573,11797.65605,3047.732506,7252.790537
,,,,,,,65,37310.9,4972.877837,3623.195131,2422.268617,12936.96985,3244.324307,7902.015717
,,,,,,,66,38156.8,5384.417893,3992.094206,2578.02917,14366.92515,3512.963338,8737.85691
,,,,,,,67,37550.7,5402.656988,4001.165846,2595.316161,14458.62735,3644.90852,8989.610252
,,,,,,,68,37446.5,5087.808293,3720.22627,2439.235069,13060.41804,3529.484042,8312.17991
,,,,,,,69,36705.7,4966.835777,3616.212373,2371.748664,12581.6088,3409.201953,8125.758302
,,,,,,,70,36100.5,4357.863628,2980.089677,2031.404354,9776.317956,3022.280427,6395.218435
,,,,,,,71,35406.1,4052.528278,2712.16652,1861.055973,8644.791864,2869.665871,5771.376042
,,,,,,,72,32713,3815.187783,2535.623711,1743.037375,8008.504055,2700.6422,5386.302557
,,,,,,,73,32839,3683.764802,2424.479644,1664.716348,7439.561922,2516.610405,4927.694547
,,,,,,,74,33111.5,3554.44648,2340.567487,1618.60789,7030.63665,2438.465775,4701.942581
,,,,,,,75,33493.9,3548.317916,2314.744705,1599.616792,6842.170548,2417.919154,4618.609717
,,,,,,,76,33089.3,3581.944241,2346.273872,1596.997394,6823.681477,2435.481701,4654.490682
,,,,,,,77,33653.8,3681.881987,2405.114536,1632.925498,6898.824922,2507.346166,4745.16318
,,,,,,,78,34809.8,3878.141307,2567.042324,1730.631102,7430.112306,2651.440398,5069.822544
,,,,,,,79,36552.7,4427.533696,3025.042822,2016.356778,9243.242953,3009.458171,6207.791069
,,,,,,,80,37745,5286.072456,3699.984648,2386.493997,11900.52317,3429.768315,7668.562222
,,,,,,,81,37981.3,5395.292599,3876.74095,2484.305096,12560.12472,3594.673622,8069.620228
,,,,,,,82,37599.5,5315.86848,3832.997583,2452.396622,12326.86048,3612.936786,7889.085157
,,,,,,,83,36997.3,5267.710063,3772.010743,2408.90194,11733.56353,3555.567634,7463.959919
,,,,,,,84,37072.2,5322.058338,3794.720554,2444.865887,11880.14495,3591.756184,7541.728366
,,,,,,,85,36985.9,5348.470316,3793.405945,2435.948947,12082.05672,3533.513477,7598.116869
,,,,,,,86,37133.1,5041.837534,3611.821073,2322.652382,11825.17104,3276.325537,7287.065456
,,,,,,,87,37101.6,4813.618399,3491.03906,2238.839485,11889.14561,3103.395121,7270.201554
,,,,,,,88,37039.7,4852.791659,3577.039184,2240.061578,12675.99139,3027.641714,7700.400308
,,,,,,,89,37359.6,5112.801364,3817.642826,2375.61845,13867.85194,3274.485557,8417.764088
,,,,,,,90,38220.5,5399.197489,4124.654819,2530.485389,15296.57313,3601.812495,9134.085001
