Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
50000,1,1,1,1,168,1,1,0,6925.59738,3271.0498,1485.76274,2123.34088,2098.4131,4233.45797
,,,,,,,2,0,6226.5226,2991.03749,1345.01654,1916.70526,1912.67038,3800.27917
,,,,,,,3,0,5908.16006,2919.45826,1292.8827,1839.55924,1850.63542,3617.53352
,,,,,,,4,0,5635.07544,2859.86003,1218.16238,1781.70805,1796.1001,3512.32786
,,,,,,,5,0,5435.96734,2911.62248,1223.95365,1777.60454,1826.7869,3453.23638
,,,,,,,6,0,5582.10823,3057.42028,1279.3281,1858.33863,1946.01048,3578.07031
,,,,,,,7,0,5702.73818,3169.91783,1331.45991,1901.85124,2049.45606,3690.76665
,,,,,,,8,0,5998.93614,3378.88687,1406.25932,2020.53021,2125.53731,3863.73675
,,,,,,,9,0,6117.0321,3483.58514,1487.92909,2125.92393,2191.20037,3864.80819
,,,,,,,10,0,6668.19079,3689.45825,1562.84173,2296.87359,2351.52302,4112.8303
,,,,,,,11,0,7066.10568,3867.23194,1689.48782,2457.25796,2416.86207,4346.73794
,,,,,,,12,0,7759.09802,3965.78,1778.04536,2615.53263,2574.8785,4717.39141
,,,,,,,13,0,8490.40542,4170.54077,1868.60106,2732.54305,2606.91975,5088.57346
,,,,,,,14,0,8587.59953,4080.59834,1812.91701,2699.71213,2647.58387,5100.17159
,,,,,,,15,0,8773.92402,3945.01096,1774.37503,2671.30152,2557.60998,5177.16019
,,,,,,,16,0,8766.37976,3973.70195,1746.73201,2648.56111,2506.03197,5179.93023
,,,,,,,17,0,9029.97121,4154.04316,1835.59325,2754.51962,2676.49859,5387.37068
,,,,,,,18,0,9049.72682,4374.82434,1923.66119,2862.52642,2831.12956,5446.0953
,,,,,,,19,0,10655.4647,4766.99081,2133.39001,3187.98548,3114.07827,6373.61116
,,,,,,,20,0,10669.9954,4758.53057,2145.19554,3170.45557,3119.75884,6373.45044
,,,,,,,21,0,10148.088,4608.0313,2042.6007,3029.80793,3003.41461,6103.75049
,,,,,,,22,0,9679.06641,4460.11161,1985.8194,2909.69901,2952.70761,5817.56547
,,,,,,,23,0,9031.98854,4326.48646,1908.27113,2784.70044,2840.08926,5489.80461
,,,,,,,24,0,8051.75307,4050.66423,1774.18559,2521.38987,2685.26422,5001.84931
,,,,,,,25,0,6575.55053,3673.78027,1605.48277,2244.36041,2483.66571,4306.55332
,,,,,,,26,0,6137.65987,3633.36817,1579.14189,2199.42405,2435.0168,4036.92587
,,,,,,,27,0,5856.88583,3649.44505,1578.33516,2190.36703,2437.60668,3894.78135
,,,,,,,28,0,5779.9857,3746.12885,1589.22977,2235.9069,2489.41307,3911.35705
,,,,,,,29,0,5693.73245,3856.44361,1637.75396,2278.13585,2559.60829,3938.29576
,,,,,,,30,0,6046.12306,4077.10324,1714.61365,2415.59586,2699.09555,4173.64801
,,,,,,,31,0,6429.06047,4349.97072,1841.54287,2587.79827,2904.5895,4463.6325
,,,,,,,32,0,7387.49139,4749.88419,2033.5008,2878.37542,3144.38386,5021.42596
,,,,,,,33,0,7702.04039,4888.64737,2073.50029,2995.22426,3198.20256,5205.49317
,,,,,,,34,0,8131.13526,4963.34702,2126.42661,3128.25694,3298.73531,5461.43483
,,,,,,,35,0,8432.15095,5068.53823,2196.31803,3200.5906,3386.59019,5577.18683
,,,,,,,36,0,9069.72778,5178.59929,2276.36123,3303.55404,3470.81762,5925.95195
,,,,,,,37,0,9561.26593,5227.24365,2311.47121,3346.66362,3539.87669,6118.09118
,,,,,,,38,0,9569.22409,4990.6394,2189.15916,3203.03573,3369.27301,5981.55459
,,,,,,,39,0,9706.64819,4726.91848,2102.64269,3083.18894,3180.11813,5954.93297
,,,,,,,40,0,10441.8848,4747.6721,2105.44356,3120.09643,3161.40254,6309.21262
,,,,,,,41,0,11280.0134,5041.09744,2238.51669,3292.93373,3383.79073,6859.02022
,,,,,,,42,0,12521.6932,5418.60425,2426.34209,3592.24516,3615.28857,7538.36392
,,,,,,,43,0,12076.8245,5287.47809,2385.50095,3511.91363,3607.93824,7464.92923
,,,,,,,44,0,10201.8859,4869.17491,2170.10919,3145.2698,3377.72046,6435.63418
,,,,,,,45,0,9648.82771,4713.79461,2110.18571,3038.36901,3229.39502,6170.35568
,,,,,,,46,0,9009.23368,4616.46433,2051.86926,2928.90394,3123.41243,5827.66685
,,,,,,,47,0,8292.12623,4422.54699,1954.793,2769.83463,2993.75969,5418.95992
,,,,,,,48,0,7647.83764,4264.80959,1875.21218,2603.2779,2847.55728,5044.95733
,,,,,,,49,0,7133.73257,4230.06295,1853.42988,2577.01783,2737.6096,4832.26901
,,,,,,,50,0,6750.89453,4192.80712,1853.72893,2528.52966,2716.43576,4648.53824
,,,,,,,51,0,6583.21528,4295.52907,1890.32925,2555.47669,2780.27052,4560.54889
,,,,,,,52,0,6595.88437,4440.44302,1933.95023,2623.85882,2868.38178,4656.33659
,,,,,,,53,0,6627.52995,4599.60566,2002.25919,2695.66173,2991.91861,4750.50924
,,,,,,,54,0,7129.80908,4884.45492,2112.22158,2880.3676,3169.69653,5075.03191
,,,,,,,55,0,8672.89119,5411.7312,2382.79447,3305.84972,3545.77298,6067.31285
,,,,,,,56,0,11062.1514,6102.34579,2755.64544,3934.08999,3978.67042,7497.70496
,,,,,,,57,0,11564.5788,6274.59745,2850.96192,4045.58459,4084.69557,7793.25526
,,,,,,,58,0,11440.0135,6228.70327,2862.5534,4037.73837,4144.19683,7678.03459
,,,,,,,59,0,11121.6252,6228.16751,2847.23931,4006.32298,4099.74154,7493.70785
,,,,,,,60,0,11455.8985,6275.65612,2867.85537,4094.54048,4158.00686,7645.26239
,,,,,,,61,0,11690.0609,6221.43267,2901.29749,4079.81986,4180.20594,7671.00539
,,,,,,,62,0,11564.1888,5942.66963,2773.39887,3915.68488,4041.41565,7473.10472
,,,,,,,63,0,11669.3543,5718.00779,2659.22887,3800.85891,3897.80136,7460.22863
,,,,,,,64,0,12361.5992,5728.04639,2676.48121,3863.37902,3843.33131,7799.26871
,,,,,,,65,0,13439.7986,5930.1162,2809.65088,4070.47215,3949.26788,8394.47444
,,,,,,,66,0,14832.4373,6264.33172,2932.16499,4418.4365,4163.42779,9207.42099
,,,,,,,67,0,14892.8904,6209.66888,2924.42093,4401.04847,4242.82279,9410.21147
,,,,,,,68,0,13463.4349,5862.36548,2745.75513,4110.98303,4078.192,8726.62633
,,,,,,,69,0,12961.5341,5666.02495,2649.70888,3972.52654,3892.07732,8531.33164
,,,,,,,70,0,10162.6372,5058.70749,2313.27383,3345.80121,3479.45492,6834.89783
,,,,,,,71,0,9021.56893,4731.72076,2139.5124,3082.50695,3314.82707,6213.50708
,,,,,,,72,0,8375.24426,4459.76855,2017.21523,2906.68243,3107.43413,5803.97925
,,,,,,,73,0,7797.43486,4309.03549,1932.026,2797.67288,2889.72967,5326.14207
,,,,,,,74,0,7383.85802,4167.65768,1879.77899,2690.62175,2772.81454,5085.44549
,,,,,,,75,0,7196.94105,4154.62571,1853.21107,2654.12134,2714.71006,4988.84165
,,,,,,,76,0,7165.7225,4163.92966,1838.36783,2669.53637,2695.05637,5006.52274
,,,,,,,77,0,7218.43466,4251.84146,1863.69579,2695.84943,2750.74778,5065.39934
,,,,,,,78,0,7744.36485,4446.79848,1961.17815,2835.86576,2892.18256,5385.02287
,,,,,,,79,0,9541.85454,4969.86734,2235.16744,3274.54208,3249.44641,6503.76725
,,,,,,,80,0,12180.8666,5785.48695,2593.55058,3940.48441,3666.24045,7948.14516
,,,,,,,81,0,12789.5564,5817.29105,2646.17331,4055.769,3778.30353,8286.22369
,,,,,,,82,0,12537.7302,5690.07534,2606.40617,3995.54768,3802.05031,8083.25839
,,,,,,,83,0,11928.5212,5615.12537,2554.71495,3920.95728,3736.4153,7641.63189
,,,,,,,84,0,12036.1958,5590.35519,2555.49695,3905.02165,3772.77845,7676.80293
,,,,,,,85,0,12216.1015,5596.61825,2537.95812,3904.36633,3736.55108,7731.11709
,,,,,,,86,0,11950.5885,5242.44888,2407.63693,3699.01228,3469.40384,7420.5465
,,,,,,,87,0,12012.6709,4951.52743,2293.48416,3540.73645,3254.42239,7403.40485
,,,,,,,88,0,12805.7412,5017.5792,2299.27805,3632.94684,3165.67837,7829.66364
,,,,,,,89,0,14000.6324,5302.67675,2453.06819,3876.23822,3398.56582,8544.87764
,,,,,,,90,0,15368.8266,5570.59253,2597.62112,4176.81838,3729.09698,9258.05712
,,,,,,,91,0,15310.0221,5454.96514,2582.08312,4149.56213,3800.91921,9271.50889
,,,,,,,92,0,13723.5108,5141.32142,2447.97661,3873.74626,3567.49263,8436.07965
,,,,,,,93,0,13035.7154,4937.0857,2328.7105,3694.02651,3418.24762,8064.12251
,,,,,,,94,0,9750.73225,4235.62357,1956.24016,2971.23303,2938.25454,6210.74682
,,,,,,,95,0,8565.49249,3906.41284,1818.68578,2681.47242,2685.70769,5470.95872
,,,,,,,96,0,7868.86671,3718.98997,1697.5162,2502.35549,2579.7024,5073.76005
,,,,,,,97,0,6994.00505,3478.79969,1575.30075,2292.93293,2425.31187,4617.98626
,,,,,,,98,0,6556.13048,3344.0637,1521.80799,2189.63034,2369.42038,4394.17644
,,,,,,,99,0,6311.01773,3326.97083,1487.57215,2147.43642,2350.13906,4264.89888
,,,,,,,100,0,6246.21854,3321.30078,1466.66785,2152.46684,2352.15788,4252.08461
,,,,,,,101,0,6250.45758,3362.64511,1480.7419,2180.53313,2405.85072,4291.38416
,,,,,,,102,0,6758.49402,3571.62608,1583.25468,2332.59378,2554.72976,4560.25794
,,,,,,,103,0,8359.21984,4083.49817,1852.36996,2761.11059,2883.88774,5566.65233
,,,,,,,104,0,10871.1247,4755.62874,2234.57615,3374.4345,3284.39398,6979.27671
,,,,,,,105,0,11386.7994,4830.26733,2278.95176,3500.63821,3366.48406,7202.92692
,,,,,,,106,0,11217.237,4814.72097,2223.1044,3450.63241,3391.69278,7080.70682
,,,,,,,107,0,10864.8754,4748.70449,2189.48789,3371.64837,3350.06633,6789.96568
,,,,,,,108,0,11233.0142,4776.77612,2192.31899,3401.40829,3422.00877,6905.81044
,,,,,,,109,0,11298.9101,4826.52396,2196.08432,3406.63735,3368.31568,6892.82418
,,,,,,,110,0,11193.7592,4587.25112,2076.85732,3235.67904,3131.26313,6620.88351
,,,,,,,111,0,11397.3165,4366.33338,2017.95806,3140.9123,2917.02446,6570.93134
,,,,,,,112,0,12280.2281,4418.37999,2036.7616,3235.81011,2915.43062,7072.99714
,,,,,,,113,0,13389.7318,4731.6742,2205.98439,3508.73561,3132.33623,7761.49014
,,,,,,,114,0,14622.2756,5127.82001,2392.13935,3825.77752,3375.97504,8489.47547
,,,,,,,115,0,14573.4169,5125.23123,2405.02819,3813.59414,3451.33209,8618.31959
,,,,,,,116,0,12765.555,4772.36946,2207.55988,3492.08434,3269.04304,7727.50302
,,,,,,,117,0,12298.7822,4680.4577,2162.32021,3372.93884,3143.01548,7530.49099
,,,,,,,118,0,9653.81551,4110.1695,1892.96892,2832.81311,2771.26076,6031.16808
,,,,,,,119,0,8496.02427,3825.78217,1749.89836,2616.49066,2602.77979,5397.95246
,,,,,,,120,0,7758.24217,3676.1938,1666.0886,2436.77169,2460.58867,4994.54984
,,,,,,,121,0,6974.34471,3530.24625,1602.89116,2251.15335,2298.23865,4484.83706
,,,,,,,122,0,6525.21538,3386.9896,1520.62013,2148.55062,2209.07927,4211.22683
,,,,,,,123,0,6291.88959,3381.81805,1481.14028,2109.12563,2180.26457,4113.41009
,,,,,,,124,0,6191.9432,3353.85519,1443.76811,2101.62331,2192.99403,4096.88949
,,,,,,,125,0,6142.06643,3457.69203,1475.59617,2143.39201,2205.38966,4112.52669
,,,,,,,126,0,6582.66053,3624.18573,1554.30879,2300.9837,2322.17518,4363.82449
,,,,,,,127,0,7975.2702,4063.28906,1778.28824,2698.36521,2590.94656,5217.64962
,,,,,,,128,0,10319.3002,4744.42154,2106.02351,3285.13606,2960.93607,6510.48315
,,,,,,,129,0,10893.3318,4975.41138,2221.17552,3471.12926,3124.32613,6779.83202
,,,,,,,130,0,10954.8476,5062.22552,2244.95242,3490.90852,3239.05054,6720.94461
,,,,,,,131,0,10620.3874,5088.3474,2226.0323,3441.92163,3195.32662,6453.66846
,,,,,,,132,0,10912.232,5154.00747,2275.13619,3521.39364,3253.84809,6599.61557
,,,,,,,133,0,11121.2283,5193.02824,2308.27972,3557.399,3261.28231,6711.48172
,,,,,,,134,0,10982.0022,5056.4951,2212.21449,3408.76057,3213.85503,6574.39507
,,,,,,,135,0,11133.0987,4672.11181,2076.73002,3243.3361,3116.40796,6591.39932
,,,,,,,136,0,11865.4133,4767.78056,2107.12613,3347.10478,3021.15339,6798.62483
,,,,,,,137,0,12883.6419,5010.2168,2194.32041,3561.93218,3197.99248,7347.60199
,,,,,,,138,0,14061.7888,5273.3881,2328.20573,3795.40645,3426.35762,7985.14053
,,,,,,,139,0,13546.3333,5113.93189,2296.40729,3737.50415,3366.13654,7844.20451
,,,,,,,140,0,11687.6799,4663.93636,2106.96765,3327.17924,3135.09927,6895.17151
