Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7
50000,1,1,1,1,168,1,1,26065.8,2123.34088,3271.0498,1485.76274,6925.59738,2098.4131,4233.45797
,,,,,,,2,25944.3,1916.70526,2991.03749,1345.01654,6226.5226,1912.67038,3800.27917
,,,,,,,3,25414.1,1839.55924,2919.45826,1292.8827,5908.16006,1850.63542,3617.53352
,,,,,,,4,25271.4,1781.70805,2859.86003,1218.16238,5635.07544,1796.1001,3512.32786
,,,,,,,5,25413.1,1777.60454,2911.62248,1223.95365,5435.96734,1826.7869,3453.23638
,,,,,,,6,25741.4,1858.33863,3057.42028,1279.3281,5582.10823,1946.01048,3578.07031
,,,,,,,7,26330.3,1901.85124,3169.91783,1331.45991,5702.73818,2049.45606,3690.76665
,,,,,,,8,27308.2,2020.53021,3378.88687,1406.25932,5998.93614,2125.53731,3863.73675
,,,,,,,9,27572.4,2125.92393,3483.58514,1487.92909,6117.0321,2191.20037,3864.80819
,,,,,,,10,28307.1,2296.87359,3689.45825,1562.84173,6668.19079,2351.52302,4112.8303
,,,,,,,11,28956.0,2457.25796,3867.23194,1689.48782,7066.10568,2416.86207,4346.73794
,,,,,,,12,28778.0,2615.53263,3965.78,1778.04536,7759.09802,2574.8785,4717.39141
,,,,,,,13,28595.3,2732.54305,4170.54077,1868.60106,8490.40542,2606.91975,5088.57346
,,,,,,,14,28331.6,2699.71213,4080.59834,1812.91701,8587.59953,2647.58387,5100.17159
,,,,,,,15,27942.9,2671.30152,3945.01096,1774.37503,8773.92402,2557.60998,5177.16019
,,,,,,,16,28080.7,2648.56111,3973.70195,1746.73201,8766.37976,2506.03197,5179.93023
,,,,,,,17,28879.9,2754.51962,4154.04316,1835.59325,9029.97121,2676.49859,5387.37068
,,,,,,,18,29407.2,2862.52642,4374.82434,1923.66119,9049.72682,2831.12956,5446.0953
,,,,,,,19,29154.4,3187.98548,4766.99081,2133.39001,10655.4647,3114.07827,6373.61116
